Date,VIPCLOTHNG
2017-01-02,52.5
2017-01-03,53.55
2017-01-04,53.7
2017-01-05,54.35
2017-01-06,52.8
2017-01-09,52.75
2017-01-10,53.15
2017-01-11,53.6
2017-01-12,52.65
2017-01-13,52.65
2017-01-16,52.7
2017-01-17,53.65
2017-01-18,53.4
2017-01-19,53.1
2017-01-20,52.35
2017-01-23,52.15
2017-01-24,55.2
2017-01-25,53.9
2017-01-27,53.25
2017-01-30,52.35
2017-01-31,51.8
2017-02-01,52.2
2017-02-02,51.3
2017-02-03,54.1
2017-02-06,52.75
2017-02-07,52.75
2017-02-08,52.75
2017-02-09,55.2
2017-02-10,55.75
2017-02-13,54.15
2017-02-14,52.85
2017-02-15,51.4
2017-02-16,51.3
2017-02-17,51.35
2017-02-20,51.35
2017-02-21,51.95
2017-02-22,52.15
2017-02-23,51.65
2017-02-27,51.75
2017-02-28,51.75
2017-03-01,52.3
2017-03-02,50.15
2017-03-03,50.0
2017-03-06,50.25
2017-03-07,49.45
2017-03-08,48.7
2017-03-09,49.25
2017-03-10,48.25
2017-03-14,48.5
2017-03-15,49.3
2017-03-16,49.25
2017-03-17,52.3
2017-03-20,53.0
2017-03-21,52.9
2017-03-22,52.25
2017-03-23,51.8
2017-03-24,51.9
2017-03-27,50.1
2017-03-28,50.05
2017-03-29,50.15
2017-03-30,50.95
2017-03-31,50.75
2017-04-03,53.2
2017-04-05,57.1
2017-04-06,56.2
2017-04-07,57.2
2017-04-10,56.5
2017-04-11,56.5
2017-04-12,55.0
2017-04-13,54.35
2017-04-17,54.55
2017-04-18,53.1
2017-04-19,53.5
2017-04-20,54.2
2017-04-21,56.55
2017-04-24,57.35
2017-04-25,57.25
2017-04-26,55.4
2017-04-27,55.3
2017-04-28,54.4
2017-05-02,53.3
2017-05-03,53.85
2017-05-04,55.65
2017-05-05,54.9
2017-05-08,54.6
2017-05-09,54.2
2017-05-10,53.95
2017-05-11,54.0
2017-05-12,64.8
2017-05-15,69.3
2017-05-16,68.45
2017-05-17,67.1
2017-05-18,63.35
2017-05-19,63.9
2017-05-22,60.85
2017-05-23,59.5
2017-05-24,57.8
2017-05-25,61.6
2017-05-26,63.2
2017-05-29,59.95
2017-05-30,60.6
2017-05-31,59.6
2017-06-01,61.55
2017-06-02,63.35
2017-06-05,61.8
2017-06-06,63.05
2017-06-07,62.3
2017-06-08,61.85
2017-06-09,61.9
2017-06-12,61.25
2017-06-13,60.8
2017-06-14,66.05
2017-06-15,65.85
2017-06-16,65.4
2017-06-19,68.7
2017-06-20,67.75
2017-06-21,67.45
2017-06-22,65.9
2017-06-23,64.8
2017-06-27,62.45
2017-06-28,62.95
2017-06-29,64.1
2017-06-30,64.2
2017-07-03,66.05
2017-07-04,69.1
2017-07-05,71.5
2017-07-06,70.15
2017-07-07,71.8
2017-07-10,70.55
2017-07-11,68.45
2017-07-12,69.45
2017-07-13,67.65
2017-07-14,66.0
2017-07-17,65.55
2017-07-18,64.5
2017-07-19,66.45
2017-07-20,64.7
2017-07-21,64.8
2017-07-24,64.15
2017-07-25,63.8
2017-07-26,63.2
2017-07-27,61.75
2017-07-28,61.25
2017-07-31,63.05
2017-08-01,62.35
2017-08-02,61.8
2017-08-03,61.35
2017-08-04,60.95
2017-08-07,60.5
2017-08-08,59.75
2017-08-09,58.9
2017-08-10,56.05
2017-08-11,53.3
2017-08-14,55.25
2017-08-16,58.6
2017-08-17,58.9
2017-08-18,57.7
2017-08-21,56.25
2017-08-22,55.2
2017-08-23,56.3
2017-08-24,58.0
2017-08-28,59.25
2017-08-29,58.25
2017-08-30,60.55
2017-08-31,63.5
2017-09-01,63.05
2017-09-04,61.3
2017-09-05,63.3
2017-09-06,63.5
2017-09-07,63.7
2017-09-08,62.45
2017-09-11,62.15
2017-09-12,62.3
2017-09-13,61.0
2017-09-14,58.65
2017-09-15,58.2
2017-09-18,59.2
2017-09-19,61.95
2017-09-20,60.85
2017-09-21,59.8
2017-09-22,58.05
2017-09-25,56.65
2017-09-26,56.9
2017-09-27,54.1
2017-09-28,54.45
2017-09-29,56.9
2017-10-03,55.8
2017-10-04,57.05
2017-10-05,57.8
2017-10-06,60.6
2017-10-09,58.4
2017-10-10,58.7
2017-10-11,56.8
2017-10-12,57.8
2017-10-13,57.35
2017-10-16,56.65
2017-10-17,56.65
2017-10-18,57.25
2017-10-19,57.65
2017-10-23,57.1
2017-10-24,58.15
2017-10-25,56.8
2017-10-26,56.1
2017-10-27,60.15
2017-10-30,61.35
2017-10-31,61.1
2017-11-01,61.25
2017-11-02,59.6
2017-11-03,59.25
2017-11-06,58.8
2017-11-07,58.7
2017-11-08,59.9
2017-11-09,61.75
2017-11-10,60.7
2017-11-13,60.7
2017-11-14,62.05
2017-11-15,61.0
2017-11-16,63.15
2017-11-17,54.3
2017-11-20,54.1
2017-11-21,53.8
2017-11-22,52.65
2017-11-23,53.1
2017-11-24,53.15
2017-11-27,53.05
2017-11-28,53.05
2017-11-29,52.1
2017-11-30,52.35
2017-12-01,62.8
2017-12-04,58.5
2017-12-05,61.7
2017-12-06,59.85
2017-12-07,60.25
2017-12-08,60.95
2017-12-11,62.1
2017-12-12,62.05
2017-12-13,61.45
2017-12-14,60.05
2017-12-15,64.5
2017-12-18,62.1
2017-12-19,68.95
2017-12-20,77.6
2017-12-21,80.0
2017-12-22,77.85
2017-12-26,78.35
2017-12-27,79.0
2017-12-28,77.3
2017-12-29,78.9
