Date,MOHOTAIND
2017-01-02,63.95
2017-01-03,63.7
2017-01-04,69.3
2017-01-05,71.15
2017-01-06,71.4
2017-01-09,71.55
2017-01-10,69.35
2017-01-11,70.65
2017-01-12,71.75
2017-01-13,71.1
2017-01-16,71.9
2017-01-17,71.55
2017-01-18,72.85
2017-01-19,75.5
2017-01-20,74.95
2017-01-23,74.1
2017-01-24,70.9
2017-01-25,73.05
2017-01-27,73.3
2017-01-30,70.55
2017-01-31,73.95
2017-02-01,71.75
2017-02-02,70.95
2017-02-03,71.3
2017-02-06,77.9
2017-02-07,77.85
2017-02-08,76.15
2017-02-09,75.05
2017-02-10,73.75
2017-02-13,72.7
2017-02-14,74.95
2017-02-15,74.9
2017-02-16,80.15
2017-02-17,78.45
2017-02-20,77.4
2017-02-21,75.85
2017-02-22,75.95
2017-02-23,75.75
2017-02-27,76.75
2017-02-28,74.8
2017-03-01,74.75
2017-03-02,73.95
2017-03-03,73.0
2017-03-06,74.65
2017-03-07,74.5
2017-03-08,73.1
2017-03-09,71.65
2017-03-10,71.6
2017-03-14,72.95
2017-03-15,71.5
2017-03-16,71.65
2017-03-17,72.0
2017-03-20,70.45
2017-03-21,69.8
2017-03-22,70.7
2017-03-23,67.65
2017-03-24,80.95
2017-03-27,79.0
2017-03-28,77.0
2017-03-29,72.7
2017-03-30,70.85
2017-03-31,71.8
2017-04-03,72.3
2017-04-05,73.0
2017-04-06,72.0
2017-04-07,69.6
2017-04-10,69.95
2017-04-11,69.5
2017-04-12,69.1
2017-04-13,68.65
2017-04-17,69.75
2017-04-18,68.75
2017-04-19,68.9
2017-04-20,68.45
2017-04-21,69.0
2017-04-24,69.6
2017-04-25,69.5
2017-04-26,68.55
2017-04-27,68.15
2017-04-28,68.7
2017-05-02,66.45
2017-05-03,68.05
2017-05-04,67.2
2017-05-05,67.9
2017-05-08,69.2
2017-05-09,68.45
2017-05-10,68.35
2017-05-11,67.15
2017-05-12,66.8
2017-05-15,68.15
2017-05-16,68.85
2017-05-17,68.0
2017-05-18,72.6
2017-05-19,71.95
2017-05-22,81.85
2017-05-23,80.05
2017-05-24,75.5
2017-05-25,75.35
2017-05-26,74.85
2017-05-29,77.3
2017-05-30,77.3
2017-05-31,77.1
2017-06-01,78.05
2017-06-02,85.6
2017-06-05,86.5
2017-06-06,85.35
2017-06-07,89.3
2017-06-08,87.65
2017-06-09,87.3
2017-06-12,88.6
2017-06-13,88.5
2017-06-14,96.2
2017-06-15,96.55
2017-06-16,100.2
2017-06-19,100.95
2017-06-20,98.75
2017-06-21,98.85
2017-06-22,103.55
2017-06-23,104.8
2017-06-27,101.55
2017-06-28,105.95
2017-06-29,115.4
2017-06-30,117.3
2017-07-03,120.55
2017-07-04,126.4
2017-07-05,132.6
2017-07-06,129.95
2017-07-07,135.8
2017-07-10,134.35
2017-07-11,141.4
2017-07-12,140.65
2017-07-13,146.1
2017-07-14,142.75
2017-07-17,143.05
2017-07-18,139.85
2017-07-19,136.9
2017-07-20,138.15
2017-07-21,136.05
2017-07-24,131.2
2017-07-25,138.2
2017-07-26,138.75
2017-07-27,137.15
2017-07-28,135.3
2017-07-31,162.05
2017-08-01,158.75
2017-08-02,164.5
2017-08-03,163.0
2017-08-04,158.25
2017-08-07,162.7
2017-08-08,157.1
2017-08-09,155.8
2017-08-10,149.95
2017-08-11,147.75
2017-08-14,151.65
2017-08-16,153.3
2017-08-17,172.6
2017-08-18,168.25
2017-08-21,168.45
2017-08-22,167.05
2017-08-23,165.95
2017-08-24,166.6
2017-08-28,168.7
2017-08-29,165.6
2017-08-30,165.25
2017-08-31,181.95
2017-09-01,197.9
2017-09-04,203.85
2017-09-05,203.6
2017-09-06,197.15
2017-09-07,200.55
2017-09-08,198.05
2017-09-11,222.4
2017-09-12,220.9
2017-09-13,220.25
2017-09-14,215.35
2017-09-15,218.65
2017-09-18,222.65
2017-09-19,220.65
2017-09-20,238.25
2017-09-21,241.0
2017-09-22,240.9
2017-09-25,233.9
2017-09-26,244.8
2017-09-27,240.65
2017-09-28,255.8
2017-09-29,269.85
2017-10-03,268.65
2017-10-04,267.35
2017-10-05,248.25
2017-10-06,251.55
2017-10-09,256.95
2017-10-10,299.4
2017-10-11,290.4
2017-10-12,307.05
2017-10-13,318.4
2017-10-16,317.55
2017-10-17,313.4
2017-10-18,305.45
2017-10-19,311.95
2017-10-23,325.05
2017-10-24,324.65
2017-10-25,324.15
2017-10-26,317.1
2017-10-27,313.45
2017-10-30,316.1
2017-10-31,312.95
2017-11-01,315.45
2017-11-02,317.5
2017-11-03,311.55
2017-11-06,320.65
2017-11-07,323.15
2017-11-08,333.2
2017-11-09,332.15
2017-11-10,345.7
2017-11-13,350.15
2017-11-14,361.25
2017-11-15,374.2
2017-11-16,369.1
2017-11-17,369.25
2017-11-20,381.45
2017-11-21,400.1
2017-11-22,415.65
2017-11-23,410.1
2017-11-24,400.6
2017-11-27,412.35
2017-11-28,407.95
2017-11-29,411.75
2017-11-30,413.3
2017-12-01,395.5
2017-12-04,399.3
2017-12-05,396.15
2017-12-06,385.2
2017-12-07,388.2
2017-12-08,405.35
2017-12-11,407.45
2017-12-12,399.8
2017-12-13,390.0
2017-12-14,380.65
2017-12-15,397.95
2017-12-18,390.3
2017-12-19,384.4
2017-12-20,382.6
2017-12-21,385.2
2017-12-22,416.75
2017-12-26,424.7
2017-12-27,417.4
2017-12-28,432.9
2017-12-29,425.55
