Date,NH
2017-01-02,344.35
2017-01-03,339.45
2017-01-04,334.9
2017-01-05,339.65
2017-01-06,339.65
2017-01-09,339.8
2017-01-10,339.95
2017-01-11,340.0
2017-01-12,339.3
2017-01-13,339.1
2017-01-16,339.8
2017-01-17,334.4
2017-01-18,339.25
2017-01-19,338.55
2017-01-20,337.7
2017-01-23,340.05
2017-01-24,339.0
2017-01-25,339.4
2017-01-27,337.5
2017-01-30,337.05
2017-01-31,339.75
2017-02-01,334.8
2017-02-02,334.6
2017-02-03,334.05
2017-02-06,328.65
2017-02-07,325.2
2017-02-08,328.95
2017-02-09,330.45
2017-02-10,331.6
2017-02-13,329.35
2017-02-14,327.3
2017-02-15,321.95
2017-02-16,323.6
2017-02-17,329.35
2017-02-20,325.3
2017-02-21,327.15
2017-02-22,323.35
2017-02-23,321.2
2017-02-27,321.45
2017-02-28,325.0
2017-03-01,320.05
2017-03-02,325.55
2017-03-03,324.0
2017-03-06,320.6
2017-03-07,323.35
2017-03-08,317.75
2017-03-09,315.25
2017-03-10,311.35
2017-03-14,314.25
2017-03-15,309.5
2017-03-16,315.25
2017-03-17,314.2
2017-03-20,311.5
2017-03-21,314.95
2017-03-22,315.8
2017-03-23,316.6
2017-03-24,321.1
2017-03-27,309.15
2017-03-28,306.95
2017-03-29,305.6
2017-03-30,315.8
2017-03-31,313.85
2017-04-03,315.9
2017-04-05,321.45
2017-04-06,319.85
2017-04-07,324.05
2017-04-10,323.65
2017-04-11,322.15
2017-04-12,321.8
2017-04-13,323.45
2017-04-17,321.95
2017-04-18,319.2
2017-04-19,319.85
2017-04-20,319.25
2017-04-21,316.8
2017-04-24,318.35
2017-04-25,316.95
2017-04-26,317.3
2017-04-27,322.65
2017-04-28,322.0
2017-05-02,318.0
2017-05-03,316.0
2017-05-04,313.8
2017-05-05,310.3
2017-05-08,296.95
2017-05-09,307.55
2017-05-10,312.05
2017-05-11,309.6
2017-05-12,304.8
2017-05-15,304.0
2017-05-16,301.8
2017-05-17,299.65
2017-05-18,299.75
2017-05-19,300.15
2017-05-22,297.4
2017-05-23,291.05
2017-05-24,295.5
2017-05-25,294.4
2017-05-26,294.8
2017-05-29,295.75
2017-05-30,317.65
2017-05-31,330.85
2017-06-01,339.95
2017-06-02,333.6
2017-06-05,335.25
2017-06-06,324.55
2017-06-07,315.75
2017-06-08,322.8
2017-06-09,333.0
2017-06-12,337.45
2017-06-13,334.8
2017-06-14,328.5
2017-06-15,320.15
2017-06-16,320.1
2017-06-19,318.6
2017-06-20,317.85
2017-06-21,314.5
2017-06-22,308.3
2017-06-23,307.55
2017-06-27,313.85
2017-06-28,312.9
2017-06-29,314.7
2017-06-30,314.25
2017-07-03,315.1
2017-07-04,315.4
2017-07-05,316.35
2017-07-06,298.5
2017-07-07,304.95
2017-07-10,306.6
2017-07-11,305.1
2017-07-12,304.45
2017-07-13,304.85
2017-07-14,304.0
2017-07-17,306.4
2017-07-18,306.65
2017-07-19,303.75
2017-07-20,302.0
2017-07-21,300.05
2017-07-24,299.6
2017-07-25,298.55
2017-07-26,298.4
2017-07-27,298.85
2017-07-28,304.15
2017-07-31,307.0
2017-08-01,305.65
2017-08-02,309.15
2017-08-03,299.05
2017-08-04,299.85
2017-08-07,303.65
2017-08-08,300.05
2017-08-09,299.5
2017-08-10,295.9
2017-08-11,300.45
2017-08-14,299.95
2017-08-16,298.95
2017-08-17,297.7
2017-08-18,295.1
2017-08-21,291.45
2017-08-22,303.45
2017-08-23,304.5
2017-08-24,305.3
2017-08-28,306.1
2017-08-29,305.25
2017-08-30,304.7
2017-08-31,297.85
2017-09-01,297.6
2017-09-04,293.55
2017-09-05,300.15
2017-09-06,300.5
2017-09-07,298.5
2017-09-08,297.0
2017-09-11,299.05
2017-09-12,301.0
2017-09-13,300.0
2017-09-14,301.95
2017-09-15,299.1
2017-09-18,300.0
2017-09-19,303.2
2017-09-20,301.5
2017-09-21,300.8
2017-09-22,299.15
2017-09-25,300.35
2017-09-26,300.2
2017-09-27,297.25
2017-09-28,298.35
2017-09-29,303.1
2017-10-03,301.95
2017-10-04,298.85
2017-10-05,300.45
2017-10-06,301.65
2017-10-09,300.9
2017-10-10,301.2
2017-10-11,302.4
2017-10-12,302.1
2017-10-13,301.1
2017-10-16,306.0
2017-10-17,303.45
2017-10-18,306.85
2017-10-19,306.5
2017-10-23,306.25
2017-10-24,302.85
2017-10-25,307.5
2017-10-26,305.35
2017-10-27,300.2
2017-10-30,302.95
2017-10-31,307.0
2017-11-01,306.45
2017-11-02,304.9
2017-11-03,299.95
2017-11-06,304.0
2017-11-07,295.85
2017-11-08,294.4
2017-11-09,298.35
2017-11-10,299.65
2017-11-13,294.55
2017-11-14,295.3
2017-11-15,291.85
2017-11-16,299.65
2017-11-17,297.3
2017-11-20,293.85
2017-11-21,296.95
2017-11-22,294.8
2017-11-23,297.2
2017-11-24,295.15
2017-11-27,293.9
2017-11-28,296.15
2017-11-29,301.35
2017-11-30,298.95
2017-12-01,295.2
2017-12-04,296.15
2017-12-05,294.9
2017-12-06,288.0
2017-12-07,285.85
2017-12-08,288.3
2017-12-11,295.1
2017-12-12,292.05
2017-12-13,289.05
2017-12-14,288.55
2017-12-15,285.45
2017-12-18,285.2
2017-12-19,283.0
2017-12-20,283.15
2017-12-21,289.2
2017-12-22,297.2
2017-12-26,298.75
2017-12-27,298.45
2017-12-28,298.95
2017-12-29,298.25
