Date,TOKYOPLAST
2017-01-02,95.75
2017-01-03,95.8
2017-01-04,105.2
2017-01-05,104.4
2017-01-06,100.7
2017-01-09,112.8
2017-01-10,112.1
2017-01-11,116.55
2017-01-12,112.15
2017-01-13,112.5
2017-01-16,112.7
2017-01-17,108.25
2017-01-18,107.85
2017-01-19,108.0
2017-01-20,106.2
2017-01-23,107.25
2017-01-24,109.15
2017-01-25,108.55
2017-01-27,107.35
2017-01-30,106.75
2017-01-31,103.85
2017-02-01,105.5
2017-02-02,104.7
2017-02-03,104.85
2017-02-06,107.7
2017-02-07,108.6
2017-02-08,107.6
2017-02-09,102.05
2017-02-10,106.7
2017-02-13,109.35
2017-02-14,107.85
2017-02-15,101.95
2017-02-16,103.2
2017-02-17,105.55
2017-02-20,106.15
2017-02-21,105.1
2017-02-22,102.15
2017-02-23,101.3
2017-02-27,101.95
2017-02-28,102.7
2017-03-01,101.7
2017-03-02,101.55
2017-03-03,102.5
2017-03-06,102.35
2017-03-07,101.6
2017-03-08,101.05
2017-03-09,101.05
2017-03-10,101.1
2017-03-14,102.45
2017-03-15,113.75
2017-03-16,108.8
2017-03-17,108.1
2017-03-20,110.15
2017-03-21,110.35
2017-03-22,109.1
2017-03-23,108.35
2017-03-24,108.65
2017-03-27,113.0
2017-03-28,112.1
2017-03-29,110.35
2017-03-30,111.85
2017-03-31,115.3
2017-04-03,120.8
2017-04-05,119.2
2017-04-06,117.35
2017-04-07,135.7
2017-04-10,140.9
2017-04-11,142.1
2017-04-12,137.45
2017-04-13,131.85
2017-04-17,132.0
2017-04-18,132.25
2017-04-19,133.3
2017-04-20,135.75
2017-04-21,133.05
2017-04-24,134.15
2017-04-25,134.7
2017-04-26,132.9
2017-04-27,132.15
2017-04-28,132.5
2017-05-02,132.6
2017-05-03,130.9
2017-05-04,130.0
2017-05-05,125.3
2017-05-08,123.25
2017-05-09,121.3
2017-05-10,126.55
2017-05-11,127.4
2017-05-12,124.3
2017-05-15,123.05
2017-05-16,122.9
2017-05-17,123.05
2017-05-18,121.65
2017-05-19,122.4
2017-05-22,121.5
2017-05-23,113.95
2017-05-24,115.05
2017-05-25,117.45
2017-05-26,116.3
2017-05-29,116.0
2017-05-30,120.55
2017-05-31,125.3
2017-06-01,124.85
2017-06-02,121.3
2017-06-05,121.4
2017-06-06,118.4
2017-06-07,118.1
2017-06-08,119.1
2017-06-09,118.95
2017-06-12,119.1
2017-06-13,117.75
2017-06-14,116.35
2017-06-15,121.65
2017-06-16,121.15
2017-06-19,121.25
2017-06-20,125.0
2017-06-21,134.75
2017-06-22,135.75
2017-06-23,137.45
2017-06-27,147.2
2017-06-28,145.6
2017-06-29,149.85
2017-06-30,154.15
2017-07-03,159.65
2017-07-04,157.3
2017-07-05,160.15
2017-07-06,159.4
2017-07-07,156.95
2017-07-10,157.6
2017-07-11,152.85
2017-07-12,154.9
2017-07-13,152.05
2017-07-14,150.9
2017-07-17,151.9
2017-07-18,152.0
2017-07-19,151.0
2017-07-20,152.35
2017-07-21,152.65
2017-07-24,147.4
2017-07-25,147.95
2017-07-26,144.85
2017-07-27,140.35
2017-07-28,147.1
2017-07-31,149.75
2017-08-01,149.55
2017-08-02,148.6
2017-08-03,144.7
2017-08-04,144.0
2017-08-07,144.85
2017-08-08,143.6
2017-08-09,141.7
2017-08-10,133.9
2017-08-11,122.6
2017-08-14,114.9
2017-08-16,115.8
2017-08-17,138.75
2017-08-18,128.6
2017-08-21,120.95
2017-08-22,116.9
2017-08-23,118.15
2017-08-24,121.65
2017-08-28,120.25
2017-08-29,117.3
2017-08-30,120.05
2017-08-31,121.35
2017-09-01,126.5
2017-09-04,129.35
2017-09-05,133.3
2017-09-06,131.15
2017-09-07,127.75
2017-09-08,136.45
2017-09-11,135.1
2017-09-12,133.15
2017-09-13,133.9
2017-09-14,136.15
2017-09-15,133.05
2017-09-18,133.65
2017-09-19,130.3
2017-09-20,132.45
2017-09-21,131.05
2017-09-22,124.8
2017-09-25,122.8
2017-09-26,122.85
2017-09-27,121.5
2017-09-28,121.45
2017-09-29,122.15
2017-10-03,122.25
2017-10-04,128.75
2017-10-05,133.6
2017-10-06,133.8
2017-10-09,133.4
2017-10-10,133.35
2017-10-11,127.95
2017-10-12,128.95
2017-10-13,127.85
2017-10-16,125.4
2017-10-17,125.25
2017-10-18,126.5
2017-10-19,126.55
2017-10-23,126.2
2017-10-24,125.95
2017-10-25,125.2
2017-10-26,122.7
2017-10-27,123.0
2017-10-30,123.5
2017-10-31,122.4
2017-11-01,122.75
2017-11-02,122.55
2017-11-03,123.0
2017-11-06,127.3
2017-11-07,126.6
2017-11-08,130.7
2017-11-09,137.8
2017-11-10,133.45
2017-11-13,128.65
2017-11-14,127.4
2017-11-15,122.1
2017-11-16,120.3
2017-11-17,119.95
2017-11-20,120.4
2017-11-21,119.75
2017-11-22,119.05
2017-11-23,118.8
2017-11-24,121.2
2017-11-27,114.85
2017-11-28,137.8
2017-11-29,135.55
2017-11-30,132.95
2017-12-01,131.85
2017-12-04,131.85
2017-12-05,127.05
2017-12-06,123.1
2017-12-07,124.65
2017-12-08,131.0
2017-12-11,130.3
2017-12-12,127.7
2017-12-13,126.35
2017-12-14,125.3
2017-12-15,126.25
2017-12-18,126.15
2017-12-19,126.65
2017-12-20,131.05
2017-12-21,130.1
2017-12-22,130.4
2017-12-26,128.95
2017-12-27,129.8
2017-12-28,129.65
2017-12-29,130.55
