Date,CREST
2017-01-02,89.0
2017-01-03,93.45
2017-01-04,93.0
2017-01-05,97.65
2017-01-06,97.6
2017-01-09,95.75
2017-01-10,97.5
2017-01-11,98.65
2017-01-12,96.6
2017-01-13,98.25
2017-01-16,97.0
2017-01-17,95.2
2017-01-18,93.85
2017-01-19,94.2
2017-01-20,93.25
2017-01-23,91.05
2017-01-24,95.6
2017-01-25,100.0
2017-01-27,96.9
2017-01-30,96.95
2017-01-31,99.5
2017-02-01,97.95
2017-02-02,96.25
2017-02-03,101.05
2017-02-06,103.15
2017-02-07,113.45
2017-02-08,115.55
2017-02-09,127.1
2017-02-10,139.75
2017-02-13,132.8
2017-02-14,126.2
2017-02-15,119.9
2017-02-16,118.5
2017-02-17,124.4
2017-02-20,124.2
2017-02-21,122.6
2017-02-22,126.25
2017-02-23,120.25
2017-02-27,115.9
2017-02-28,117.7
2017-03-01,122.05
2017-03-02,128.15
2017-03-03,134.55
2017-03-06,135.65
2017-03-07,130.4
2017-03-08,133.85
2017-03-09,137.4
2017-03-10,143.6
2017-03-14,148.1
2017-03-15,147.05
2017-03-16,148.35
2017-03-17,144.1
2017-03-20,151.3
2017-03-21,158.85
2017-03-22,166.75
2017-03-23,175.05
2017-03-24,183.8
2017-03-27,183.65
2017-03-28,174.5
2017-03-29,178.6
2017-05-30,147.5
2017-05-31,147.95
2017-06-01,147.8
2017-06-02,150.6
2017-06-05,155.85
2017-06-06,160.3
2017-06-07,160.95
2017-06-08,160.05
2017-06-09,159.2
2017-06-12,160.05
2017-06-13,159.95
2017-06-14,158.55
2017-06-15,160.9
2017-06-16,160.45
2017-06-19,158.5
2017-06-20,158.1
2017-06-21,159.65
2017-06-22,159.5
2017-06-23,158.6
2017-06-27,154.75
2017-06-28,156.1
2017-06-29,162.85
2017-06-30,161.9
2017-07-03,164.2
2017-07-04,164.75
2017-07-05,163.1
2017-07-06,160.2
2017-07-07,161.1
2017-07-10,157.5
2017-07-11,169.3
2017-07-12,171.1
2017-07-13,182.65
2017-07-14,181.0
2017-07-17,186.15
2017-07-18,184.3
2017-07-19,184.75
2017-07-20,189.45
2017-07-21,198.75
2017-07-24,197.55
2017-07-25,200.1
2017-07-26,191.9
2017-07-27,188.1
2017-07-28,186.3
2017-07-31,186.15
2017-08-01,186.15
2017-08-02,185.85
2017-08-03,178.05
2017-08-04,179.65
2017-08-07,181.05
2017-08-08,176.85
2017-08-09,174.4
2017-08-10,159.35
2017-08-11,157.1
2017-08-14,160.25
2017-08-16,158.4
2017-08-17,177.0
2017-08-18,170.65
2017-08-21,164.7
2017-08-22,163.9
2017-08-23,165.7
2017-08-24,166.0
2017-08-28,165.3
2017-08-29,167.65
2017-08-30,166.65
2017-08-31,166.3
2017-09-01,170.0
2017-09-04,170.0
2017-09-05,167.1
2017-09-06,172.3
2017-09-07,180.45
2017-09-08,177.35
2017-09-11,178.0
2017-09-12,179.25
2017-09-13,175.0
2017-09-14,175.55
2017-09-15,174.75
2017-09-18,177.35
2017-09-19,175.3
2017-09-20,175.3
2017-09-21,172.9
2017-09-22,170.0
2017-09-25,167.35
2017-09-26,170.0
2017-09-27,170.95
2017-09-28,170.15
2017-09-29,170.6
2017-10-03,169.05
2017-10-04,171.95
2017-10-05,170.0
2017-10-06,170.4
2017-10-09,169.1
2017-10-10,166.6
2017-10-11,165.1
2017-10-12,165.15
2017-10-13,166.3
2017-10-16,167.6
2017-10-17,171.75
2017-10-18,170.0
2017-10-19,185.95
2017-10-23,183.25
2017-10-24,180.85
2017-10-25,188.95
2017-10-26,189.3
2017-10-27,193.35
2017-10-30,186.4
2017-10-31,185.45
2017-11-01,184.1
2017-11-02,193.0
2017-11-03,190.55
2017-11-06,211.85
2017-11-07,211.85
2017-11-08,206.9
2017-11-09,248.25
2017-11-10,259.8
2017-11-13,239.9
2017-11-14,252.7
2017-11-15,238.5
2017-11-16,240.65
2017-11-17,239.1
2017-11-20,237.9
2017-11-21,239.5
2017-11-22,238.05
2017-11-23,240.65
2017-11-24,239.6
2017-11-27,263.5
2017-11-28,269.3
2017-11-29,260.3
2017-11-30,258.35
2017-12-01,248.75
2017-12-04,239.3
2017-12-05,251.4
2017-12-06,254.0
2017-12-07,252.7
2017-12-08,253.25
2017-12-11,259.8
2017-12-12,253.9
2017-12-13,248.1
2017-12-14,245.95
2017-12-15,245.25
2017-12-18,245.25
2017-12-19,248.8
2017-12-20,248.7
2017-12-21,262.4
2017-12-22,262.65
2017-12-26,255.8
2017-12-27,248.75
2017-12-28,258.8
2017-12-29,274.9
