Date,KIRIINDUS
2017-01-02,287.75
2017-01-03,323.1
2017-01-04,323.2
2017-01-05,331.1
2017-01-06,322.2
2017-01-09,318.9
2017-01-10,322.1
2017-01-11,318.7
2017-01-12,312.7
2017-01-13,326.55
2017-01-16,326.8
2017-01-17,323.4
2017-01-18,322.25
2017-01-19,320.0
2017-01-20,310.9
2017-01-23,327.75
2017-01-24,336.5
2017-01-25,325.0
2017-01-27,314.7
2017-01-30,309.75
2017-01-31,298.25
2017-02-01,303.75
2017-02-02,308.7
2017-02-03,301.85
2017-02-06,300.15
2017-02-07,300.65
2017-02-08,301.6
2017-02-09,301.8
2017-02-10,297.05
2017-02-13,293.9
2017-02-14,292.3
2017-02-15,281.35
2017-02-16,288.8
2017-02-17,285.0
2017-02-20,298.25
2017-02-21,309.95
2017-02-22,302.35
2017-02-23,304.3
2017-02-27,298.35
2017-02-28,300.5
2017-03-01,300.0
2017-03-02,292.05
2017-03-03,295.5
2017-03-06,295.05
2017-03-07,296.25
2017-03-08,297.7
2017-03-09,295.45
2017-03-10,288.0
2017-03-14,286.1
2017-03-15,285.45
2017-03-16,287.55
2017-03-17,296.3
2017-03-20,296.85
2017-03-21,292.35
2017-03-22,286.05
2017-03-23,276.4
2017-03-24,276.55
2017-03-27,272.7
2017-03-28,275.65
2017-03-29,270.15
2017-03-30,275.25
2017-03-31,281.9
2017-04-03,287.95
2017-04-05,298.15
2017-04-06,293.75
2017-04-07,292.4
2017-04-10,288.35
2017-04-11,289.45
2017-04-12,284.65
2017-04-13,283.65
2017-04-17,292.0
2017-04-18,289.4
2017-04-19,290.1
2017-04-20,289.25
2017-04-21,283.4
2017-04-24,283.85
2017-04-25,281.9
2017-04-26,281.2
2017-04-27,279.1
2017-04-28,279.3
2017-05-02,278.25
2017-05-03,276.15
2017-05-04,287.55
2017-05-05,282.05
2017-05-08,279.5
2017-05-09,278.65
2017-05-10,281.0
2017-05-11,280.4
2017-05-12,276.3
2017-05-15,278.2
2017-05-16,279.1
2017-05-17,278.05
2017-05-18,270.5
2017-05-19,267.95
2017-05-22,271.6
2017-05-23,261.8
2017-05-24,258.35
2017-05-25,262.7
2017-05-26,276.5
2017-05-29,269.65
2017-05-30,269.85
2017-05-31,266.6
2017-06-01,265.15
2017-06-02,267.8
2017-06-05,266.7
2017-06-06,264.8
2017-06-07,278.85
2017-06-08,274.95
2017-06-09,272.3
2017-06-12,272.5
2017-06-13,275.55
2017-06-14,276.25
2017-06-15,273.9
2017-06-16,272.95
2017-06-19,272.55
2017-06-20,265.5
2017-06-21,263.95
2017-06-22,263.75
2017-06-23,259.15
2017-06-27,257.9
2017-06-28,260.3
2017-06-29,263.2
2017-06-30,267.1
2017-07-03,265.6
2017-07-04,265.35
2017-07-05,271.75
2017-07-06,285.5
2017-07-07,280.15
2017-07-10,284.8
2017-07-11,277.95
2017-07-12,280.6
2017-07-13,282.2
2017-07-14,276.6
2017-07-17,273.6
2017-07-18,272.2
2017-07-19,273.45
2017-07-20,273.1
2017-07-21,272.6
2017-07-24,272.7
2017-07-25,280.15
2017-07-26,283.65
2017-07-27,286.1
2017-07-28,298.85
2017-07-31,314.45
2017-08-01,308.75
2017-08-02,315.05
2017-08-03,308.85
2017-08-04,300.7
2017-08-07,293.15
2017-08-08,292.35
2017-08-09,287.65
2017-08-10,246.55
2017-08-11,266.05
2017-08-14,281.25
2017-08-16,290.2
2017-08-17,293.6
2017-08-18,296.55
2017-08-21,300.25
2017-08-22,299.65
2017-08-23,298.35
2017-08-24,294.95
2017-08-28,300.6
2017-08-29,301.1
2017-08-30,316.05
2017-08-31,368.2
2017-09-01,368.15
2017-09-04,387.15
2017-09-05,391.45
2017-09-06,384.6
2017-09-07,373.45
2017-09-08,377.75
2017-09-11,376.8
2017-09-12,374.0
2017-09-13,367.55
2017-09-14,420.25
2017-09-15,422.5
2017-09-18,433.9
2017-09-19,430.6
2017-09-20,427.95
2017-09-21,421.5
2017-09-22,393.0
2017-09-25,379.55
2017-09-26,385.75
2017-09-27,367.9
2017-09-28,362.3
2017-09-29,364.45
2017-10-03,353.3
2017-10-04,370.9
2017-10-05,383.15
2017-10-06,396.9
2017-10-09,428.75
2017-10-10,438.1
2017-10-11,454.55
2017-10-12,468.55
2017-10-13,466.0
2017-10-16,456.6
2017-10-17,461.55
2017-10-18,453.25
2017-10-19,450.3
2017-10-23,463.4
2017-10-24,508.7
2017-10-25,501.5
2017-10-26,507.7
2017-10-27,505.7
2017-10-30,527.4
2017-10-31,597.5
2017-11-01,596.85
2017-11-02,594.75
2017-11-03,606.0
2017-11-06,606.0
2017-11-07,582.1
2017-11-08,564.9
2017-11-09,579.7
2017-11-10,581.0
2017-11-13,570.75
2017-11-14,544.6
2017-11-15,509.7
2017-11-16,532.75
2017-11-17,557.6
2017-11-20,565.45
2017-11-21,574.3
2017-11-22,576.7
2017-11-23,576.5
2017-11-24,591.85
2017-11-27,579.7
2017-11-28,556.4
2017-11-29,548.4
2017-11-30,546.55
2017-12-01,557.95
2017-12-04,543.9
2017-12-05,527.6
2017-12-06,522.25
2017-12-07,549.15
2017-12-08,560.1
2017-12-11,565.05
2017-12-12,549.35
2017-12-13,538.4
2017-12-14,526.3
2017-12-15,525.45
2017-12-18,520.75
2017-12-19,514.95
2017-12-20,512.4
2017-12-21,528.4
2017-12-22,526.9
2017-12-26,522.9
2017-12-27,514.15
2017-12-28,509.6
2017-12-29,504.0
