Date,RAIN
2017-01-02,54.95
2017-01-03,54.85
2017-01-04,54.85
2017-01-05,54.8
2017-01-06,53.7
2017-01-09,53.9
2017-01-10,54.6
2017-01-11,56.9
2017-01-12,55.95
2017-01-13,55.5
2017-01-16,56.75
2017-01-17,56.5
2017-01-18,64.5
2017-01-19,65.0
2017-01-20,64.65
2017-01-23,65.85
2017-01-24,65.85
2017-01-25,68.1
2017-01-27,67.1
2017-01-30,67.2
2017-01-31,66.5
2017-02-01,69.1
2017-02-02,73.2
2017-02-03,77.8
2017-02-06,76.05
2017-02-07,79.05
2017-02-08,77.95
2017-02-09,78.0
2017-02-10,77.45
2017-02-13,78.9
2017-02-14,78.6
2017-02-15,76.6
2017-02-16,78.9
2017-02-17,78.2
2017-02-20,81.5
2017-02-21,84.45
2017-02-22,84.5
2017-02-23,85.15
2017-02-27,84.4
2017-02-28,85.3
2017-03-01,88.35
2017-03-02,93.3
2017-03-03,99.05
2017-03-06,103.05
2017-03-07,106.85
2017-03-08,105.2
2017-03-09,99.5
2017-03-10,100.6
2017-03-14,102.2
2017-03-15,100.65
2017-03-16,100.75
2017-03-17,101.85
2017-03-20,99.1
2017-03-21,99.55
2017-03-22,99.95
2017-03-23,101.0
2017-03-24,99.95
2017-03-27,103.1
2017-03-28,106.2
2017-03-29,109.5
2017-03-30,106.9
2017-03-31,109.6
2017-04-03,110.75
2017-04-05,110.0
2017-04-06,107.55
2017-04-07,103.65
2017-04-10,106.65
2017-04-11,107.2
2017-04-12,104.65
2017-04-13,106.5
2017-04-17,105.35
2017-04-18,102.8
2017-04-19,102.9
2017-04-20,105.45
2017-04-21,104.0
2017-04-24,105.35
2017-04-25,111.7
2017-04-26,109.0
2017-04-27,111.05
2017-04-28,112.1
2017-05-02,120.15
2017-05-03,117.8
2017-05-04,119.95
2017-05-05,112.85
2017-05-08,108.65
2017-05-09,107.7
2017-05-10,106.3
2017-05-11,106.2
2017-05-12,104.55
2017-05-15,107.4
2017-05-16,109.0
2017-05-17,108.95
2017-05-18,104.8
2017-05-19,103.45
2017-05-22,99.65
2017-05-23,94.2
2017-05-24,94.0
2017-05-25,96.15
2017-05-26,100.75
2017-05-29,99.8
2017-05-30,99.9
2017-05-31,103.4
2017-06-01,105.15
2017-06-02,103.4
2017-06-05,101.9
2017-06-06,99.3
2017-06-07,99.65
2017-06-08,98.15
2017-06-09,97.8
2017-06-12,97.2
2017-06-13,97.5
2017-06-14,97.05
2017-06-15,98.4
2017-06-16,98.65
2017-06-19,97.7
2017-06-20,98.4
2017-06-21,97.85
2017-06-22,102.25
2017-06-23,104.55
2017-06-27,107.15
2017-06-28,104.05
2017-06-29,111.25
2017-06-30,116.45
2017-07-03,115.2
2017-07-04,113.25
2017-07-05,117.95
2017-07-06,122.35
2017-07-07,129.1
2017-07-10,129.7
2017-07-11,124.1
2017-07-12,124.85
2017-07-13,124.1
2017-07-14,131.3
2017-07-17,129.0
2017-07-18,124.65
2017-07-19,129.05
2017-07-20,126.2
2017-07-21,128.75
2017-07-24,127.8
2017-07-25,127.2
2017-07-26,129.8
2017-07-27,128.4
2017-07-28,129.95
2017-07-31,129.85
2017-08-01,128.6
2017-08-02,128.25
2017-08-03,129.7
2017-08-04,129.25
2017-08-07,132.8
2017-08-08,132.8
2017-08-09,131.45
2017-08-10,113.1
2017-08-11,115.75
2017-08-14,119.85
2017-08-16,126.6
2017-08-17,129.8
2017-08-18,138.15
2017-08-21,139.9
2017-08-22,137.65
2017-08-23,144.1
2017-08-24,145.3
2017-08-28,144.8
2017-08-29,139.75
2017-08-30,143.1
2017-08-31,142.4
2017-09-01,143.85
2017-09-04,142.9
2017-09-05,142.75
2017-09-06,141.5
2017-09-07,141.65
2017-09-08,141.95
2017-09-11,162.8
2017-09-12,154.9
2017-09-13,153.15
2017-09-14,152.15
2017-09-15,152.6
2017-09-18,155.05
2017-09-19,181.0
2017-09-20,179.1
2017-09-21,179.65
2017-09-22,165.85
2017-09-25,169.0
2017-09-26,173.4
2017-09-27,164.8
2017-09-28,173.2
2017-09-29,175.95
2017-10-03,173.65
2017-10-04,176.1
2017-10-05,176.95
2017-10-06,180.45
2017-10-09,187.4
2017-10-10,187.75
2017-10-11,182.25
2017-10-12,188.35
2017-10-13,206.3
2017-10-16,214.1
2017-10-17,217.4
2017-10-18,216.3
2017-10-19,216.85
2017-10-23,222.3
2017-10-24,245.0
2017-10-25,251.1
2017-10-26,242.0
2017-10-27,245.7
2017-10-30,261.8
2017-10-31,270.85
2017-11-01,262.1
2017-11-02,280.05
2017-11-03,309.2
2017-11-06,329.05
2017-11-07,322.15
2017-11-08,340.25
2017-11-09,373.75
2017-11-10,387.5
2017-11-13,396.4
2017-11-14,384.9
2017-11-15,365.7
2017-11-16,347.45
2017-11-17,330.1
2017-11-20,318.7
2017-11-21,304.1
2017-11-22,319.3
2017-11-23,334.1
2017-11-24,327.5
2017-11-27,343.6
2017-11-28,346.65
2017-11-29,340.55
2017-11-30,354.65
2017-12-01,345.25
2017-12-04,347.85
2017-12-05,349.3
2017-12-06,351.7
2017-12-07,378.45
2017-12-08,378.35
2017-12-11,369.65
2017-12-12,369.3
2017-12-13,354.5
2017-12-14,366.45
2017-12-15,371.2
2017-12-18,365.0
2017-12-19,367.35
2017-12-20,359.65
2017-12-21,356.65
2017-12-22,361.2
2017-12-26,361.8
2017-12-27,363.7
2017-12-28,362.65
2017-12-29,370.35
