Date,MADHAV
2017-01-02,61.9
2017-01-03,59.65
2017-01-04,60.35
2017-01-05,60.5
2017-01-06,58.4
2017-01-09,57.95
2017-01-10,60.3
2017-01-11,60.85
2017-01-12,59.8
2017-01-13,60.05
2017-01-16,59.8
2017-01-17,59.1
2017-01-18,59.15
2017-01-19,59.65
2017-01-20,58.8
2017-01-23,58.9
2017-01-24,58.85
2017-01-25,58.3
2017-01-27,60.4
2017-01-30,59.5
2017-01-31,58.25
2017-02-01,59.9
2017-02-02,58.75
2017-02-03,58.65
2017-02-06,70.35
2017-02-07,67.2
2017-02-08,64.45
2017-02-09,65.45
2017-02-10,66.35
2017-02-13,61.5
2017-02-14,61.4
2017-02-15,59.35
2017-02-16,60.15
2017-02-17,60.7
2017-02-20,61.6
2017-02-21,62.0
2017-02-22,61.45
2017-02-23,61.05
2017-02-27,60.2
2017-02-28,61.3
2017-03-01,61.8
2017-03-02,62.15
2017-03-03,61.25
2017-03-06,60.4
2017-03-07,60.25
2017-03-08,59.8
2017-03-09,59.15
2017-03-10,58.75
2017-03-14,60.05
2017-03-15,61.0
2017-03-16,66.45
2017-03-17,67.05
2017-03-20,65.35
2017-03-21,64.0
2017-03-22,62.9
2017-03-23,63.3
2017-03-24,64.0
2017-03-27,63.3
2017-03-28,63.65
2017-03-29,63.5
2017-03-30,64.9
2017-03-31,65.9
2017-04-03,66.7
2017-04-05,67.15
2017-04-06,66.9
2017-04-07,66.95
2017-04-10,67.65
2017-04-11,66.65
2017-04-12,70.1
2017-04-13,70.65
2017-04-17,70.25
2017-04-18,66.65
2017-04-19,66.85
2017-04-20,69.4
2017-04-21,68.15
2017-04-24,67.45
2017-04-25,68.65
2017-04-26,68.95
2017-04-27,69.15
2017-04-28,68.7
2017-05-02,69.95
2017-05-03,73.95
2017-05-04,74.8
2017-05-05,71.45
2017-05-08,75.7
2017-05-09,74.55
2017-05-10,75.5
2017-05-11,75.95
2017-05-12,74.35
2017-05-15,74.55
2017-05-16,75.1
2017-05-17,73.65
2017-05-18,67.65
2017-05-19,67.2
2017-05-22,66.1
2017-05-23,63.95
2017-05-24,61.3
2017-05-25,61.75
2017-05-26,63.45
2017-05-29,62.85
2017-05-30,65.1
2017-05-31,68.2
2017-06-01,66.4
2017-06-02,66.55
2017-06-05,67.55
2017-06-06,65.85
2017-06-07,67.05
2017-06-08,60.9
2017-06-09,62.3
2017-06-12,61.2
2017-06-13,61.9
2017-06-14,66.3
2017-06-15,64.0
2017-06-16,64.55
2017-06-19,65.65
2017-06-20,64.7
2017-06-21,63.15
2017-06-22,62.5
2017-06-23,61.95
2017-06-27,61.55
2017-06-28,61.1
2017-06-29,64.6
2017-06-30,63.1
2017-07-03,64.35
2017-07-04,66.55
2017-07-05,69.45
2017-07-06,70.3
2017-07-07,67.6
2017-07-10,67.55
2017-07-11,66.15
2017-07-12,66.25
2017-07-13,66.95
2017-07-14,66.6
2017-07-17,67.3
2017-07-18,67.7
2017-07-19,69.9
2017-07-20,68.65
2017-07-21,66.9
2017-07-24,67.65
2017-07-25,66.3
2017-07-26,65.4
2017-07-27,65.0
2017-07-28,64.95
2017-07-31,64.6
2017-08-01,64.25
2017-08-02,63.3
2017-08-03,62.65
2017-08-04,62.85
2017-08-07,62.6
2017-08-08,61.4
2017-08-09,58.55
2017-08-10,54.45
2017-08-11,56.3
2017-08-14,57.55
2017-08-16,60.3
2017-08-17,62.9
2017-08-18,66.55
2017-08-21,68.85
2017-08-22,68.75
2017-08-23,69.25
2017-08-24,68.6
2017-08-28,70.05
2017-08-29,68.5
2017-08-30,68.8
2017-08-31,66.9
2017-09-01,67.9
2017-09-04,66.4
2017-09-05,67.8
2017-09-06,67.4
2017-09-07,67.2
2017-09-08,66.9
2017-09-11,71.25
2017-09-12,69.4
2017-09-13,67.6
2017-09-14,67.85
2017-09-15,67.05
2017-09-18,66.4
2017-09-19,66.6
2017-09-20,65.75
2017-09-21,65.3
2017-09-22,63.8
2017-09-25,62.95
2017-09-26,62.7
2017-09-27,60.4
2017-09-28,61.65
2017-09-29,62.9
2017-10-03,61.0
2017-10-04,61.2
2017-10-05,62.35
2017-10-06,62.75
2017-10-09,61.7
2017-10-10,62.3
2017-10-11,67.15
2017-10-12,68.95
2017-10-13,71.65
2017-10-16,74.7
2017-10-17,72.85
2017-10-18,71.25
2017-10-19,73.15
2017-10-23,70.5
2017-10-24,70.4
2017-10-25,69.4
2017-10-26,70.05
2017-10-27,72.2
2017-10-30,72.25
2017-10-31,70.75
2017-11-01,69.55
2017-11-02,69.45
2017-11-03,68.95
2017-11-06,68.2
2017-11-07,67.0
2017-11-08,66.8
2017-11-09,67.25
2017-11-10,71.7
2017-11-13,67.4
2017-11-14,66.15
2017-11-15,65.8
2017-11-16,66.45
2017-11-17,65.45
2017-11-20,65.35
2017-11-21,65.95
2017-11-22,64.3
2017-11-23,64.55
2017-11-24,64.65
2017-11-27,70.45
2017-11-28,67.2
2017-11-29,67.4
2017-11-30,66.5
2017-12-01,66.95
2017-12-04,67.05
2017-12-05,67.9
2017-12-06,65.85
2017-12-07,66.9
2017-12-08,67.15
2017-12-11,67.8
2017-12-12,65.75
2017-12-13,66.45
2017-12-14,66.35
2017-12-15,66.0
2017-12-18,65.75
2017-12-19,66.4
2017-12-20,66.1
2017-12-21,65.95
2017-12-22,66.75
2017-12-26,68.0
2017-12-27,69.75
2017-12-28,68.35
2017-12-29,72.25
