Date,TCS
2017-01-02,2361.35
2017-01-03,2368.25
2017-01-04,2379.5
2017-01-05,2334.4
2017-01-06,2281.4
2017-01-09,2303.7
2017-01-10,2315.35
2017-01-11,2324.4
2017-01-12,2344.35
2017-01-13,2249.3
2017-01-16,2258.55
2017-01-17,2278.75
2017-01-18,2295.1
2017-01-19,2291.0
2017-01-20,2285.35
2017-01-23,2306.7
2017-01-24,2318.35
2017-01-25,2353.0
2017-01-27,2357.8
2017-01-30,2332.9
2017-01-31,2229.8
2017-02-01,2167.9
2017-02-02,2207.65
2017-02-03,2232.55
2017-02-06,2240.75
2017-02-07,2244.6
2017-02-08,2270.95
2017-02-09,2317.3
2017-02-10,2397.95
2017-02-13,2414.25
2017-02-14,2406.25
2017-02-15,2413.7
2017-02-16,2447.75
2017-02-17,2407.9
2017-02-20,2502.2
2017-02-21,2465.35
2017-02-22,2411.5
2017-02-23,2481.8
2017-02-27,2489.85
2017-02-28,2466.25
2017-03-01,2479.55
2017-03-02,2501.45
2017-03-03,2494.05
2017-03-06,2472.5
2017-03-07,2499.8
2017-03-08,2512.2
2017-03-09,2519.75
2017-03-10,2542.25
2017-03-14,2567.5
2017-03-15,2498.3
2017-03-16,2520.9
2017-03-17,2525.75
2017-03-20,2480.0
2017-03-21,2486.7
2017-03-22,2478.95
2017-03-23,2460.35
2017-03-24,2427.2
2017-03-27,2412.05
2017-03-28,2429.95
2017-03-29,2444.6
2017-03-30,2441.0
2017-03-31,2431.8
2017-04-03,2411.7
2017-04-05,2401.25
2017-04-06,2400.05
2017-04-07,2429.05
2017-04-10,2422.25
2017-04-11,2419.3
2017-04-12,2393.25
2017-04-13,2328.65
2017-04-17,2314.85
2017-04-18,2308.8
2017-04-19,2299.15
2017-04-20,2325.5
2017-04-21,2310.8
2017-04-24,2328.1
2017-04-25,2311.5
2017-04-26,2310.35
2017-04-27,2302.65
2017-04-28,2273.15
2017-05-02,2289.9
2017-05-03,2337.3
2017-05-04,2330.1
2017-05-05,2320.5
2017-05-08,2342.45
2017-05-09,2352.55
2017-05-10,2332.45
2017-05-11,2349.45
2017-05-12,2360.65
2017-05-15,2365.1
2017-05-16,2429.15
2017-05-17,2455.35
2017-05-18,2536.2
2017-05-19,2507.15
2017-05-22,2531.35
2017-05-23,2521.7
2017-05-24,2559.15
2017-05-25,2624.6
2017-05-26,2578.25
2017-05-29,2572.85
2017-05-30,2551.1
2017-05-31,2546.6
2017-06-01,2553.6
2017-06-02,2564.9
2017-06-05,2603.95
2017-06-06,2696.0
2017-06-07,2615.25
2017-06-08,2521.6
2017-06-09,2507.0
2017-06-12,2487.2
2017-06-13,2451.55
2017-06-14,2470.2
2017-06-15,2411.2
2017-06-16,2399.7
2017-06-19,2431.7
2017-06-20,2445.0
2017-06-21,2406.3
2017-06-22,2394.85
2017-06-23,2361.7
2017-06-27,2342.85
2017-06-28,2350.05
2017-06-29,2333.25
2017-06-30,2362.35
2017-07-03,2373.6
2017-07-04,2366.85
2017-07-05,2356.0
2017-07-06,2347.55
2017-07-07,2331.95
2017-07-10,2434.95
2017-07-11,2475.8
2017-07-12,2439.45
2017-07-13,2446.4
2017-07-14,2397.45
2017-07-17,2395.45
2017-07-18,2408.35
2017-07-19,2449.6
2017-07-20,2444.7
2017-07-21,2491.2
2017-07-24,2530.7
2017-07-25,2571.5
2017-07-26,2556.0
2017-07-27,2481.7
2017-07-28,2484.3
2017-07-31,2491.8
2017-08-01,2501.65
2017-08-02,2473.8
2017-08-03,2489.45
2017-08-04,2522.8
2017-08-07,2503.45
2017-08-08,2503.05
2017-08-09,2512.0
2017-08-10,2511.45
2017-08-11,2496.05
2017-08-14,2469.4
2017-08-16,2492.35
2017-08-17,2485.65
2017-08-18,2513.8
2017-08-21,2528.8
2017-08-22,2497.55
2017-08-23,2489.45
2017-08-24,2496.6
2017-08-28,2487.3
2017-08-29,2470.85
2017-08-30,2484.55
2017-08-31,2496.35
2017-09-01,2456.45
2017-09-04,2456.2
2017-09-05,2484.35
2017-09-06,2453.2
2017-09-07,2460.1
2017-09-08,2470.6
2017-09-11,2454.45
2017-09-12,2488.45
2017-09-13,2489.2
2017-09-14,2486.95
2017-09-15,2506.05
2017-09-18,2499.05
2017-09-19,2498.25
2017-09-20,2493.55
2017-09-21,2524.9
2017-09-22,2503.6
2017-09-25,2510.75
2017-09-26,2474.65
2017-09-27,2495.0
2017-09-28,2476.45
2017-09-29,2435.95
2017-10-03,2448.45
2017-10-04,2442.3
2017-10-05,2429.6
2017-10-06,2446.65
2017-10-09,2454.1
2017-10-10,2459.25
2017-10-11,2500.35
2017-10-12,2548.2
2017-10-13,2558.6
2017-10-16,2584.4
2017-10-17,2594.55
2017-10-18,2586.6
2017-10-19,2583.9
2017-10-23,2587.9
2017-10-24,2578.4
2017-10-25,2559.9
2017-10-26,2538.85
2017-10-27,2584.3
2017-10-30,2616.2
2017-10-31,2624.0
2017-11-01,2602.85
