Date,DELTACORP
2017-01-02,116.15
2017-01-03,117.95
2017-01-04,117.3
2017-01-05,122.25
2017-01-06,122.7
2017-01-09,125.75
2017-01-10,129.5
2017-01-11,132.4
2017-01-12,129.1
2017-01-13,134.1
2017-01-16,134.9
2017-01-17,135.4
2017-01-18,132.75
2017-01-19,128.45
2017-01-20,125.0
2017-01-23,124.45
2017-01-24,121.85
2017-01-25,130.75
2017-01-27,130.5
2017-01-30,127.6
2017-01-31,124.8
2017-02-01,129.65
2017-02-02,129.4
2017-02-03,128.5
2017-02-06,132.15
2017-02-07,129.1
2017-02-08,128.05
2017-02-09,129.6
2017-02-10,127.75
2017-02-13,124.45
2017-02-14,123.75
2017-02-15,116.7
2017-02-16,114.6
2017-02-17,118.75
2017-02-20,128.25
2017-02-21,131.8
2017-02-22,137.0
2017-02-23,136.8
2017-02-27,145.55
2017-02-28,143.0
2017-03-01,153.3
2017-03-02,149.5
2017-03-03,153.3
2017-03-06,154.3
2017-03-07,171.15
2017-03-08,170.4
2017-03-09,170.4
2017-03-10,171.25
2017-03-14,174.35
2017-03-15,172.0
2017-03-16,172.9
2017-03-17,170.6
2017-03-20,160.75
2017-03-21,169.4
2017-03-22,177.5
2017-03-23,178.3
2017-03-24,177.3
2017-03-27,175.2
2017-03-28,176.95
2017-03-29,178.1
2017-03-30,180.45
2017-03-31,181.1
2017-04-03,214.0
2017-04-05,201.7
2017-04-06,185.2
2017-04-07,181.95
2017-04-10,178.8
2017-04-11,181.45
2017-04-12,168.95
2017-04-13,169.95
2017-04-17,172.85
2017-04-18,168.8
2017-04-19,171.3
2017-04-20,170.6
2017-04-21,170.4
2017-04-24,166.7
2017-04-25,177.3
2017-04-26,168.55
2017-04-27,165.8
2017-04-28,159.5
2017-05-02,161.35
2017-05-03,164.1
2017-05-04,161.4
2017-05-05,159.6
2017-05-08,161.6
2017-05-09,161.2
2017-05-10,166.2
2017-05-11,173.3
2017-05-12,168.65
2017-05-15,167.15
2017-05-16,165.85
2017-05-17,162.7
2017-05-18,155.95
2017-05-19,152.85
2017-05-22,146.8
2017-05-23,141.8
2017-05-24,144.9
2017-05-25,147.85
2017-05-26,154.25
2017-05-29,149.5
2017-05-30,150.7
2017-05-31,155.7
2017-06-01,157.5
2017-06-02,156.65
2017-06-05,155.3
2017-06-06,154.15
2017-06-07,151.55
2017-06-08,152.5
2017-06-09,157.05
2017-06-12,160.65
2017-06-13,162.8
2017-06-14,161.65
2017-06-15,166.85
2017-06-16,167.75
2017-06-19,165.1
2017-06-20,162.75
2017-06-21,165.4
2017-06-22,161.7
2017-06-23,151.95
2017-06-27,150.6
2017-06-28,154.7
2017-06-29,153.85
2017-06-30,155.25
2017-07-03,154.35
2017-07-04,154.9
2017-07-05,158.8
2017-07-06,164.7
2017-07-07,167.8
2017-07-10,167.75
2017-07-11,163.6
2017-07-12,164.65
2017-07-13,163.45
2017-07-14,162.4
2017-07-17,165.0
2017-07-18,165.25
2017-07-19,165.25
2017-07-20,162.85
2017-07-21,170.8
2017-07-24,173.8
2017-07-25,168.55
2017-07-26,170.45
2017-07-27,164.4
2017-07-28,172.75
2017-07-31,170.75
2017-08-01,168.55
2017-08-02,169.15
2017-08-03,167.3
2017-08-04,165.45
2017-08-07,175.6
2017-08-08,168.3
2017-08-09,168.85
2017-08-10,162.45
2017-08-11,164.1
2017-08-14,167.95
2017-08-16,169.75
2017-08-17,170.4
2017-08-18,169.9
2017-08-21,171.3
2017-08-22,173.2
2017-08-23,182.25
2017-08-24,182.15
2017-08-28,186.45
2017-08-29,185.05
2017-08-30,188.25
2017-08-31,194.3
2017-09-01,197.25
2017-09-04,189.4
2017-09-05,189.1
2017-09-06,186.6
2017-09-07,188.45
2017-09-08,188.5
2017-09-11,196.1
2017-09-12,198.4
2017-09-13,193.85
2017-09-14,192.3
2017-09-15,193.95
2017-09-18,197.1
2017-09-19,201.1
2017-09-20,197.4
2017-09-21,206.15
2017-09-22,196.8
2017-09-25,192.55
2017-09-26,199.3
2017-09-27,191.15
2017-09-28,194.25
2017-09-29,194.15
2017-10-03,195.4
2017-10-04,203.5
2017-10-05,208.7
2017-10-06,213.2
2017-10-09,219.35
2017-10-10,233.3
2017-10-11,222.85
2017-10-12,230.8
2017-10-13,228.3
2017-10-16,227.75
2017-10-17,223.2
2017-10-18,230.0
2017-10-19,227.6
2017-10-23,236.55
2017-10-24,247.0
2017-10-25,250.25
2017-10-26,254.85
2017-10-27,251.35
2017-10-30,258.35
2017-10-31,265.45
2017-11-01,279.65
2017-11-02,273.2
2017-11-03,276.2
2017-11-06,279.6
2017-11-07,280.8
2017-11-08,264.85
2017-11-09,264.6
2017-11-10,264.15
2017-11-13,265.45
2017-11-14,252.9
2017-11-15,243.55
2017-11-16,259.7
2017-11-17,257.85
2017-11-20,262.2
2017-11-21,263.2
2017-11-22,262.0
2017-11-23,252.95
2017-11-24,251.7
2017-11-27,261.0
2017-11-28,268.1
2017-11-29,267.05
2017-11-30,261.3
2017-12-01,262.65
2017-12-04,253.25
2017-12-05,244.1
2017-12-06,244.7
2017-12-07,253.7
2017-12-08,254.4
2017-12-11,257.85
2017-12-12,246.2
2017-12-13,246.9
2017-12-14,247.4
2017-12-15,260.85
2017-12-18,270.15
2017-12-19,304.45
2017-12-20,309.7
2017-12-21,303.7
2017-12-22,311.4
2017-12-26,320.15
2017-12-27,307.95
2017-12-28,304.75
2017-12-29,308.2
