Date,THYROCARE
2017-01-02,697.15
2017-01-03,706.5
2017-01-04,700.9
2017-01-05,699.85
2017-01-06,696.2
2017-01-09,698.75
2017-01-10,698.3
2017-01-11,702.0
2017-01-12,696.9
2017-01-13,693.45
2017-01-16,695.0
2017-01-17,693.7
2017-01-18,700.45
2017-01-19,691.85
2017-01-20,680.65
2017-01-23,689.5
2017-01-24,703.7
2017-01-25,705.15
2017-01-27,720.85
2017-01-30,709.0
2017-01-31,713.65
2017-02-01,725.75
2017-02-02,726.8
2017-02-03,734.95
2017-02-06,737.8
2017-02-07,732.05
2017-02-08,725.4
2017-02-09,724.7
2017-02-10,720.6
2017-02-13,718.8
2017-02-14,716.9
2017-02-15,698.3
2017-02-16,704.35
2017-02-17,696.55
2017-02-20,710.05
2017-02-21,713.15
2017-02-22,713.45
2017-02-23,708.3
2017-02-27,699.0
2017-02-28,699.65
2017-03-01,691.35
2017-03-02,694.3
2017-03-03,682.75
2017-03-06,674.5
2017-03-07,686.65
2017-03-08,678.95
2017-03-09,672.25
2017-03-10,670.05
2017-03-14,684.9
2017-03-15,692.4
2017-03-16,714.75
2017-03-17,704.15
2017-03-20,713.75
2017-03-21,707.6
2017-03-22,701.95
2017-03-23,710.05
2017-03-24,702.15
2017-03-27,701.1
2017-03-28,694.35
2017-03-29,700.35
2017-03-30,699.2
2017-03-31,717.8
2017-04-03,716.65
2017-04-05,722.55
2017-04-06,761.15
2017-04-07,753.55
2017-04-10,744.45
2017-04-11,742.6
2017-04-12,754.35
2017-04-13,724.95
2017-04-17,729.2
2017-04-18,726.95
2017-04-19,730.8
2017-04-20,729.05
2017-04-21,729.7
2017-04-24,724.4
2017-04-25,725.8
2017-04-26,723.25
2017-04-27,721.2
2017-04-28,717.05
2017-05-02,719.15
2017-05-03,718.45
2017-05-04,710.5
2017-05-05,709.2
2017-05-08,714.2
2017-05-09,713.5
2017-05-10,727.7
2017-05-11,734.45
2017-05-12,735.45
2017-05-15,730.0
2017-05-16,741.6
2017-05-17,738.3
2017-05-18,734.3
2017-05-19,724.2
2017-05-22,709.9
2017-05-23,694.9
2017-05-24,690.0
2017-05-25,699.45
2017-05-26,711.05
2017-05-29,707.7
2017-05-30,702.5
2017-05-31,715.65
2017-06-01,715.15
2017-06-02,711.55
2017-06-05,713.95
2017-06-06,709.8
2017-06-07,706.6
2017-06-08,706.9
2017-06-09,718.45
2017-06-12,713.85
2017-06-13,719.25
2017-06-14,715.75
2017-06-15,722.6
2017-06-16,745.8
2017-06-19,738.95
2017-06-20,743.8
2017-06-21,731.0
2017-06-22,723.0
2017-06-23,718.85
2017-06-27,714.95
2017-06-28,720.45
2017-06-29,725.15
2017-06-30,727.4
2017-07-03,757.8
2017-07-04,737.45
2017-07-05,735.95
2017-07-06,738.1
2017-07-07,738.15
2017-07-10,740.35
2017-07-11,738.9
2017-07-12,746.0
2017-07-13,729.0
2017-07-14,724.25
2017-07-17,725.05
2017-07-18,726.1
2017-07-19,729.6
2017-07-20,722.3
2017-07-21,723.2
2017-07-24,709.45
2017-07-25,725.75
2017-07-26,722.35
2017-07-27,716.1
2017-07-28,720.15
2017-07-31,719.95
2017-08-01,710.3
2017-08-02,714.45
2017-08-03,715.1
2017-08-04,713.9
2017-08-07,710.55
2017-08-08,713.85
2017-08-09,702.55
2017-08-10,706.5
2017-08-11,696.8
2017-08-14,706.15
2017-08-16,709.55
2017-08-17,709.65
2017-08-18,708.2
2017-08-21,706.6
2017-08-22,706.9
2017-08-23,705.95
2017-08-24,709.1
2017-08-28,694.85
2017-08-29,681.05
2017-08-30,701.15
2017-08-31,688.65
2017-09-01,682.55
2017-09-04,675.6
2017-09-05,675.75
2017-09-06,680.75
2017-09-07,682.75
2017-09-08,681.6
2017-09-11,679.4
2017-09-12,678.6
2017-09-13,679.0
2017-09-14,676.35
2017-09-15,680.55
2017-09-18,685.7
2017-09-19,679.8
2017-09-20,683.4
2017-09-21,679.7
2017-09-22,678.6
2017-09-25,668.35
2017-09-26,670.55
2017-09-27,678.0
2017-09-28,680.4
2017-09-29,682.3
2017-10-03,677.95
2017-10-04,677.25
2017-10-05,670.45
2017-10-06,669.95
2017-10-09,673.65
2017-10-10,674.5
2017-10-11,687.75
2017-10-12,699.35
2017-10-13,694.7
2017-10-16,699.2
2017-10-17,681.95
2017-10-18,684.95
2017-10-19,690.2
2017-10-23,695.85
2017-10-24,694.8
2017-10-25,697.45
2017-10-26,688.95
2017-10-27,692.5
2017-10-30,695.85
2017-10-31,692.0
2017-11-01,685.8
2017-11-02,681.55
2017-11-03,688.9
2017-11-06,689.6
2017-11-07,678.4
2017-11-08,676.05
2017-11-09,670.7
2017-11-10,682.35
2017-11-13,676.4
2017-11-14,672.35
2017-11-15,667.75
2017-11-16,669.4
2017-11-17,674.25
2017-11-20,672.3
2017-11-21,683.25
2017-11-22,682.3
2017-11-23,666.9
2017-11-24,667.0
2017-11-27,668.45
2017-11-28,665.05
2017-11-29,664.95
2017-11-30,661.0
2017-12-01,649.6
2017-12-04,650.0
2017-12-05,644.0
2017-12-06,670.3
2017-12-07,671.55
2017-12-08,669.8
2017-12-11,674.25
2017-12-12,674.8
2017-12-13,664.5
2017-12-14,654.4
2017-12-15,645.0
2017-12-18,666.25
2017-12-19,663.0
2017-12-20,669.55
2017-12-21,674.5
2017-12-22,688.9
2017-12-26,695.55
2017-12-27,693.75
2017-12-28,695.2
2017-12-29,699.1
