Date,DECCANCE
2017-01-02,966.95
2017-01-03,962.25
2017-01-04,953.9
2017-01-05,948.8
2017-01-06,976.0
2017-01-09,957.15
2017-01-10,986.5
2017-01-11,983.85
2017-01-12,982.35
2017-01-13,994.5
2017-01-16,997.45
2017-01-17,1002.45
2017-01-18,1007.8
2017-01-19,996.85
2017-01-20,985.35
2017-01-23,988.75
2017-01-24,1001.8
2017-01-25,1046.6
2017-01-27,1023.75
2017-01-30,1049.75
2017-01-31,1019.55
2017-02-01,1084.3
2017-02-02,1058.8
2017-02-03,1100.85
2017-02-06,1109.4
2017-02-07,1093.55
2017-02-08,1093.75
2017-02-09,1100.1
2017-02-10,1098.9
2017-02-13,1091.25
2017-02-14,1068.2
2017-02-15,1029.75
2017-02-16,1035.75
2017-02-17,1035.15
2017-02-20,1060.75
2017-02-21,1068.65
2017-02-22,1050.5
2017-02-23,1064.95
2017-02-27,1051.05
2017-02-28,1058.65
2017-03-01,1058.25
2017-03-02,1030.35
2017-03-03,1034.65
2017-03-06,1036.6
2017-03-07,1027.8
2017-03-08,1027.0
2017-03-09,995.05
2017-03-10,993.1
2017-03-14,1013.75
2017-03-15,1014.5
2017-03-16,1018.5
2017-03-17,1010.15
2017-03-20,1009.0
2017-03-21,1018.9
2017-03-22,1016.2
2017-03-23,1064.85
2017-03-24,1038.6
2017-03-27,1026.1
2017-03-28,1078.6
2017-03-29,1126.6
2017-03-30,1132.9
2017-03-31,1124.35
2017-04-03,1134.55
2017-04-05,1146.0
2017-04-06,1179.35
2017-04-07,1167.6
2017-04-10,1178.85
2017-04-11,1180.45
2017-04-12,1170.65
2017-04-13,1169.55
2017-04-17,1156.0
2017-04-18,1133.15
2017-04-19,1127.65
2017-04-20,1126.5
2017-04-21,1141.85
2017-04-24,1205.35
2017-04-25,1211.7
2017-04-26,1240.6
2017-04-27,1256.35
2017-04-28,1268.85
2017-05-02,1243.05
2017-05-03,1222.2
2017-05-04,1263.6
2017-05-05,1228.65
2017-05-08,1237.85
2017-05-09,1232.1
2017-05-10,1244.7
2017-05-11,1238.35
2017-05-12,1222.7
2017-05-15,1247.55
2017-05-16,1259.8
2017-05-17,1241.95
2017-05-18,1223.05
2017-05-19,1186.95
2017-05-22,1184.7
2017-05-23,1130.0
2017-05-24,1129.5
2017-05-25,1160.25
2017-05-26,1168.2
2017-05-29,1123.75
2017-05-30,1112.3
2017-05-31,1097.2
2017-06-01,1140.8
2017-06-02,1161.7
2017-06-05,1201.9
2017-06-06,1184.55
2017-06-07,1157.55
2017-06-08,1150.2
2017-06-09,1152.1
2017-06-12,1148.95
2017-06-13,1134.7
2017-06-14,1123.0
2017-06-15,1128.75
2017-06-16,1163.25
2017-06-19,1148.95
2017-06-20,1146.5
2017-06-21,1148.2
2017-06-22,1111.95
2017-06-23,1106.1
2017-06-27,1073.35
2017-06-28,1081.4
2017-06-29,1116.2
2017-06-30,1159.0
2017-07-03,1161.3
2017-07-04,1154.8
2017-07-05,1145.6
2017-07-06,1148.35
2017-07-07,1135.35
2017-07-10,1161.25
2017-07-11,1174.5
2017-07-12,1150.85
2017-07-13,1156.65
2017-07-14,1177.65
2017-07-17,1154.5
2017-07-18,1183.3
2017-07-19,1172.1
2017-07-20,1173.95
2017-07-21,1171.15
2017-07-24,1160.5
2017-07-25,1163.6
2017-07-26,1163.7
2017-07-27,1162.8
2017-07-28,1158.1
2017-07-31,1155.25
2017-08-01,1145.25
2017-08-02,1140.25
2017-08-03,1120.15
2017-08-04,1111.55
2017-08-07,1121.2
2017-08-08,1116.95
2017-08-09,1112.05
2017-08-10,1057.45
2017-08-11,1091.9
2017-08-14,1128.45
2017-08-16,1142.05
2017-08-17,1154.25
2017-08-18,1146.6
2017-08-21,1137.75
2017-08-22,1119.95
2017-08-23,1127.6
2017-08-24,1120.8
2017-08-28,1120.65
2017-08-29,1116.4
2017-08-30,1108.3
2017-08-31,1108.05
2017-09-01,1128.95
2017-09-04,1125.35
2017-09-05,1133.9
2017-09-06,1139.85
2017-09-07,1159.6
2017-09-08,1159.75
2017-09-11,590.15
2017-09-12,604.25
2017-09-13,605.9
2017-09-14,592.65
2017-09-15,588.1
2017-09-18,593.4
2017-09-19,591.65
2017-09-20,596.7
2017-09-21,593.25
2017-09-22,592.3
2017-09-25,575.55
2017-09-26,581.55
2017-09-27,570.7
2017-09-28,561.4
2017-09-29,561.0
2017-10-03,568.25
2017-10-04,569.7
2017-10-05,575.45
2017-10-06,572.45
2017-10-09,564.6
2017-10-10,560.5
2017-10-11,566.0
2017-10-12,566.25
2017-10-13,566.05
2017-10-16,565.2
2017-10-17,565.3
2017-10-18,565.4
2017-10-19,567.2
2017-10-23,563.15
2017-10-24,569.9
2017-10-25,564.35
2017-10-26,566.8
2017-10-27,573.5
2017-10-30,578.1
2017-10-31,580.85
2017-11-01,571.5
2017-11-02,580.7
2017-11-03,578.6
2017-11-06,581.75
2017-11-07,568.95
2017-11-08,561.25
2017-11-09,559.25
2017-11-10,574.0
2017-11-13,568.3
2017-11-14,565.3
2017-11-15,543.25
2017-11-16,558.25
2017-11-17,564.15
2017-11-20,558.9
2017-11-21,551.25
2017-11-22,547.65
2017-11-23,559.75
2017-11-24,565.05
2017-11-27,587.65
2017-11-28,569.75
2017-11-29,567.0
2017-11-30,563.9
2017-12-01,565.05
2017-12-04,559.2
2017-12-05,552.3
2017-12-06,547.35
2017-12-07,553.4
2017-12-08,560.9
2017-12-11,565.7
2017-12-12,555.7
2017-12-13,551.6
2017-12-14,545.05
2017-12-15,551.35
2017-12-18,546.25
2017-12-19,567.75
2017-12-20,567.7
2017-12-21,572.7
2017-12-22,568.7
2017-12-26,564.85
2017-12-27,564.25
2017-12-28,564.5
2017-12-29,557.7
