Date,MCLEODRUSS
2017-01-02,140.65
2017-01-03,139.35
2017-01-04,139.7
2017-01-05,140.45
2017-01-06,141.25
2017-01-09,144.95
2017-01-10,146.55
2017-01-11,148.6
2017-01-12,148.55
2017-01-13,153.9
2017-01-16,153.9
2017-01-17,154.35
2017-01-18,154.35
2017-01-19,152.7
2017-01-20,151.15
2017-01-23,153.8
2017-01-24,154.55
2017-01-25,153.65
2017-01-27,152.5
2017-01-30,160.05
2017-01-31,156.25
2017-02-01,158.85
2017-02-02,164.9
2017-02-03,164.15
2017-02-06,162.9
2017-02-07,160.2
2017-02-08,170.2
2017-02-09,171.2
2017-02-10,171.85
2017-02-13,171.7
2017-02-14,172.0
2017-02-15,167.9
2017-02-16,168.4
2017-02-17,171.55
2017-02-20,171.35
2017-02-21,169.65
2017-02-22,164.75
2017-02-23,165.45
2017-02-27,171.85
2017-02-28,172.4
2017-03-01,175.7
2017-03-02,171.3
2017-03-03,170.85
2017-03-06,173.65
2017-03-07,173.2
2017-03-08,171.8
2017-03-09,170.35
2017-03-10,168.0
2017-03-14,168.4
2017-03-15,168.2
2017-03-16,169.2
2017-03-17,170.05
2017-03-20,167.95
2017-03-21,165.85
2017-03-22,165.1
2017-03-23,167.95
2017-03-24,165.1
2017-03-27,163.8
2017-03-28,165.1
2017-03-29,163.25
2017-03-30,164.15
2017-03-31,166.05
2017-04-03,166.9
2017-04-05,167.6
2017-04-06,180.7
2017-04-07,177.4
2017-04-10,185.1
2017-04-11,183.7
2017-04-12,180.05
2017-04-13,181.45
2017-04-17,181.3
2017-04-18,179.1
2017-04-19,179.75
2017-04-20,181.75
2017-04-21,182.05
2017-04-24,180.0
2017-04-25,180.5
2017-04-26,191.5
2017-04-27,190.7
2017-04-28,191.55
2017-05-02,192.0
2017-05-03,190.2
2017-05-04,186.4
2017-05-05,184.8
2017-05-08,190.3
2017-05-09,185.95
2017-05-10,185.0
2017-05-11,183.6
2017-05-12,181.6
2017-05-15,179.75
2017-05-16,183.75
2017-05-17,182.1
2017-05-18,175.9
2017-05-19,176.15
2017-05-22,173.55
2017-05-23,169.7
2017-05-24,166.55
2017-05-25,165.7
2017-05-26,168.9
2017-05-29,167.1
2017-05-30,166.9
2017-05-31,166.35
2017-06-01,166.4
2017-06-02,169.45
2017-06-05,173.35
2017-06-06,178.85
2017-06-07,180.05
2017-06-08,178.35
2017-06-09,183.8
2017-06-12,175.8
2017-06-13,177.25
2017-06-14,183.35
2017-06-15,182.05
2017-06-16,181.3
2017-06-19,180.0
2017-06-20,181.15
2017-06-21,180.9
2017-06-22,180.15
2017-06-23,177.1
2017-06-27,173.95
2017-06-28,174.65
2017-06-29,175.05
2017-06-30,173.7
2017-07-03,175.65
2017-07-04,174.85
2017-07-05,174.95
2017-07-06,174.95
2017-07-07,178.6
2017-07-10,180.8
2017-07-11,178.85
2017-07-12,177.3
2017-07-13,175.5
2017-07-14,174.6
2017-07-17,174.4
2017-07-18,172.8
2017-07-19,172.8
2017-07-20,172.45
2017-07-21,173.0
2017-07-24,173.45
2017-07-25,173.0
2017-07-26,172.4
2017-07-27,171.35
2017-07-28,174.4
2017-07-31,176.0
2017-08-01,179.25
2017-08-02,176.95
2017-08-03,177.0
2017-08-04,177.95
2017-08-07,181.0
2017-08-08,180.95
2017-08-09,178.0
2017-08-10,173.6
2017-08-11,169.75
2017-08-14,174.1
2017-08-16,175.35
2017-08-17,176.65
2017-08-18,175.2
2017-08-21,175.95
2017-08-22,177.8
2017-08-23,177.6
2017-08-24,177.95
2017-08-28,176.65
2017-08-29,174.75
2017-08-30,176.4
2017-08-31,176.0
2017-09-01,174.45
2017-09-04,173.05
2017-09-05,174.9
2017-09-06,174.65
2017-09-07,173.0
2017-09-08,173.0
2017-09-11,173.0
2017-09-12,173.25
2017-09-13,170.55
2017-09-14,170.25
2017-09-15,170.1
2017-09-18,171.6
2017-09-19,169.55
2017-09-20,167.55
2017-09-21,167.4
2017-09-22,163.9
2017-09-25,157.5
2017-09-26,156.1
2017-09-27,155.65
2017-09-28,158.9
2017-09-29,163.5
2017-10-03,160.05
2017-10-04,156.0
2017-10-05,160.7
2017-10-06,161.6
2017-10-09,164.7
2017-10-10,165.2
2017-10-11,160.0
2017-10-12,164.0
2017-10-13,161.95
2017-10-16,160.0
2017-10-17,160.15
2017-10-18,159.65
2017-10-19,159.95
2017-10-23,160.9
2017-10-24,160.45
2017-10-25,160.25
2017-10-26,160.6
2017-10-27,162.15
2017-10-30,163.7
2017-10-31,165.95
2017-11-01,166.9
2017-11-02,167.55
2017-11-03,170.35
2017-11-06,170.05
2017-11-07,166.95
2017-11-08,166.45
2017-11-09,167.6
2017-11-10,167.35
2017-11-13,165.1
2017-11-14,165.4
2017-11-15,164.2
2017-11-16,165.1
2017-11-17,165.95
2017-11-20,172.45
2017-11-21,192.55
2017-11-22,195.65
2017-11-23,195.15
2017-11-24,198.3
2017-11-27,211.15
2017-11-28,225.8
2017-11-29,218.7
2017-11-30,234.9
2017-12-01,219.15
2017-12-04,209.2
2017-12-05,211.6
2017-12-06,206.85
2017-12-07,208.45
2017-12-08,212.45
2017-12-11,208.55
2017-12-12,205.2
2017-12-13,201.35
2017-12-14,199.9
2017-12-15,201.75
2017-12-18,201.65
2017-12-19,203.6
2017-12-20,204.65
2017-12-21,208.65
2017-12-22,207.75
2017-12-26,208.75
2017-12-27,205.85
2017-12-28,208.25
2017-12-29,205.1
