Date,ORTINLABSS
2017-01-02,20.2
2017-01-03,20.2
2017-01-04,21.0
2017-01-05,21.55
2017-01-06,21.75
2017-01-09,21.05
2017-01-10,21.25
2017-01-11,21.4
2017-01-12,21.05
2017-01-13,20.6
2017-01-16,20.3
2017-01-17,20.45
2017-01-18,19.95
2017-01-19,20.35
2017-01-20,20.25
2017-01-23,19.85
2017-01-24,20.05
2017-01-25,20.3
2017-01-27,19.9
2017-01-30,19.8
2017-01-31,19.55
2017-02-01,19.45
2017-02-02,20.3
2017-02-03,20.6
2017-02-06,22.15
2017-02-07,21.95
2017-02-08,22.65
2017-02-09,22.55
2017-02-10,22.4
2017-02-13,22.85
2017-02-14,22.05
2017-02-15,20.45
2017-02-16,20.6
2017-02-17,20.4
2017-02-20,20.75
2017-02-21,20.45
2017-02-22,20.95
2017-02-23,20.85
2017-02-27,20.35
2017-02-28,20.2
2017-03-01,20.45
2017-03-02,19.95
2017-03-03,20.0
2017-03-06,20.0
2017-03-07,20.05
2017-03-08,19.9
2017-03-09,19.55
2017-03-10,19.6
2017-03-14,19.5
2017-03-15,19.2
2017-03-16,19.15
2017-03-17,19.75
2017-03-20,19.4
2017-03-21,19.25
2017-03-22,19.05
2017-03-23,19.0
2017-03-24,19.0
2017-03-27,19.05
2017-03-28,18.7
2017-03-29,18.25
2017-03-30,18.85
2017-03-31,18.6
2017-04-03,19.95
2017-04-05,23.9
2017-04-06,24.8
2017-04-07,23.6
2017-04-10,23.65
2017-04-11,23.1
2017-04-12,21.95
2017-05-30,17.95
2017-05-31,18.0
2017-06-01,17.85
2017-06-02,17.6
2017-06-05,17.55
2017-06-06,17.3
2017-06-07,17.25
2017-06-08,17.0
2017-06-09,17.0
2017-06-12,17.5
2017-06-13,16.9
2017-06-14,17.0
2017-06-15,16.6
2017-06-16,16.75
2017-06-19,15.95
2017-06-20,16.5
2017-06-21,16.7
2017-06-22,16.8
2017-06-23,16.25
2017-06-27,16.0
2017-06-28,15.9
2017-06-29,16.25
2017-06-30,16.0
2017-07-03,16.5
2017-07-04,16.7
2017-07-05,18.35
2017-07-06,19.2
2017-07-07,18.85
2017-07-10,19.4
2017-07-11,18.85
2017-07-12,18.5
2017-07-13,18.4
2017-07-14,18.5
2017-07-17,18.15
2017-07-18,17.95
2017-07-19,17.85
2017-07-20,18.3
2017-07-21,18.15
2017-07-24,17.6
2017-07-25,17.5
2017-07-26,17.05
2017-07-27,16.9
2017-07-28,16.85
2017-07-31,17.05
2017-08-01,16.65
2017-08-02,16.7
2017-08-03,16.3
2017-08-04,16.2
2017-08-07,17.1
2017-08-08,16.95
2017-08-09,16.25
2017-08-10,15.25
2017-08-11,15.0
2017-08-14,16.6
2017-08-16,17.0
2017-08-17,16.95
2017-08-18,16.0
2017-08-21,16.3
2017-08-22,16.7
2017-08-23,16.1
2017-08-24,16.0
2017-08-28,16.1
2017-08-29,15.8
2017-08-30,15.95
2017-08-31,17.25
2017-09-01,17.15
2017-09-04,16.6
2017-09-05,16.95
2017-09-06,16.8
2017-09-07,18.45
2017-09-08,17.65
2017-09-11,16.85
2017-09-12,16.85
2017-09-13,16.45
2017-09-14,19.7
2017-09-15,18.9
2017-09-18,18.6
2017-09-19,18.35
2017-09-20,18.15
2017-09-21,17.9
2017-09-22,17.1
2017-09-25,16.45
2017-09-26,16.4
2017-09-27,16.8
2017-09-28,16.45
2017-09-29,16.6
2017-10-03,17.45
2017-10-04,16.8
2017-10-05,17.2
2017-10-06,16.9
2017-10-09,16.75
2017-10-10,16.8
2017-10-11,16.9
2017-10-12,16.8
2017-10-13,16.8
2017-10-16,16.55
2017-10-17,16.7
2017-10-18,16.3
2017-10-19,16.25
2017-10-23,16.55
2017-10-24,16.5
2017-10-25,16.2
2017-10-26,16.3
2017-10-27,16.2
2017-10-30,17.45
2017-10-31,17.7
2017-11-01,17.05
2017-11-02,17.0
2017-11-03,17.05
2017-11-06,16.95
2017-11-07,16.65
2017-11-08,16.35
2017-11-09,16.65
2017-11-10,16.4
2017-11-13,16.45
2017-11-14,16.45
2017-11-15,16.25
2017-11-16,17.3
2017-11-17,16.8
2017-11-20,20.15
2017-11-21,19.05
2017-11-22,19.9
2017-11-23,19.65
2017-11-24,19.2
2017-11-27,19.85
2017-11-28,19.6
2017-11-29,19.15
2017-11-30,19.0
2017-12-01,19.45
2017-12-04,18.6
2017-12-05,19.05
2017-12-06,18.6
2017-12-07,18.9
2017-12-08,19.7
2017-12-11,20.3
2017-12-12,21.2
2017-12-13,25.25
2017-12-14,23.6
2017-12-15,22.45
2017-12-18,22.65
2017-12-19,23.2
2017-12-20,24.1
2017-12-21,24.1
2017-12-22,28.9
2017-12-26,33.15
2017-12-27,32.05
2017-12-28,31.2
2017-12-29,30.5
