Date,VOLTAS
2017-01-02,328.4
2017-01-03,332.7
2017-01-04,335.8
2017-01-05,344.45
2017-01-06,336.45
2017-01-09,341.9
2017-01-10,344.4
2017-01-11,343.6
2017-01-12,340.4
2017-01-13,343.65
2017-01-16,345.05
2017-01-17,344.9
2017-01-18,349.6
2017-01-19,352.15
2017-01-20,342.95
2017-01-23,338.2
2017-01-24,324.2
2017-01-25,326.05
2017-01-27,336.75
2017-01-30,337.15
2017-01-31,326.95
2017-02-01,333.65
2017-02-02,331.05
2017-02-03,330.1
2017-02-06,335.6
2017-02-07,331.25
2017-02-08,334.7
2017-02-09,342.65
2017-02-10,346.65
2017-02-13,339.9
2017-02-14,342.85
2017-02-15,339.3
2017-02-16,345.05
2017-02-17,346.0
2017-02-20,349.75
2017-02-21,362.8
2017-02-22,354.75
2017-02-23,356.8
2017-02-27,366.75
2017-02-28,373.5
2017-03-01,378.05
2017-03-02,369.8
2017-03-03,371.75
2017-03-06,383.95
2017-03-07,386.65
2017-03-08,385.1
2017-03-09,385.75
2017-03-10,380.95
2017-03-14,384.95
2017-03-15,389.0
2017-03-16,390.1
2017-03-17,388.45
2017-03-20,390.4
2017-03-21,388.4
2017-03-22,384.35
2017-03-23,385.95
2017-03-24,388.2
2017-03-27,388.0
2017-03-28,391.25
2017-03-29,413.25
2017-03-30,413.35
2017-03-31,412.1
2017-04-03,413.9
2017-04-05,415.05
2017-04-06,413.05
2017-04-07,410.05
2017-04-10,411.75
2017-04-11,414.25
2017-04-12,408.9
2017-04-13,404.55
2017-04-17,407.45
2017-04-18,407.8
2017-04-19,414.4
2017-04-20,418.95
2017-04-21,413.8
2017-04-24,415.25
2017-04-25,417.6
2017-04-26,411.75
2017-04-27,409.45
2017-04-28,411.05
2017-05-02,415.25
2017-05-03,415.6
2017-05-04,425.7
2017-05-05,419.9
2017-05-08,424.05
2017-05-09,428.05
2017-05-10,440.7
2017-05-11,439.65
2017-05-12,433.55
2017-05-15,431.85
2017-05-16,432.45
2017-05-17,430.2
2017-05-18,414.1
2017-05-19,415.75
2017-05-22,415.65
2017-05-23,409.85
2017-05-24,446.5
2017-05-25,474.75
2017-05-26,498.5
2017-05-29,484.6
2017-05-30,485.6
2017-05-31,486.35
2017-06-01,508.85
2017-06-02,500.45
2017-06-05,494.95
2017-06-06,487.0
2017-06-07,483.25
2017-06-08,487.65
2017-06-09,492.35
2017-06-12,486.55
2017-06-13,491.55
2017-06-14,491.45
2017-06-15,494.4
2017-06-16,489.55
2017-06-19,474.15
2017-06-20,470.85
2017-06-21,468.3
2017-06-22,465.7
2017-06-23,454.3
2017-06-27,446.05
2017-06-28,449.85
2017-06-29,453.65
2017-06-30,457.25
2017-07-03,469.0
2017-07-04,463.35
2017-07-05,475.75
2017-07-06,470.75
2017-07-07,466.55
2017-07-10,467.0
2017-07-11,463.1
2017-07-12,473.6
2017-07-13,484.75
2017-07-14,482.85
2017-07-17,483.8
2017-07-18,485.55
2017-07-19,493.75
2017-07-20,490.9
2017-07-21,499.7
2017-07-24,502.3
2017-07-25,504.15
2017-07-26,499.05
2017-07-27,515.9
2017-07-28,510.8
2017-07-31,504.25
2017-08-01,533.65
2017-08-02,542.35
2017-08-03,538.3
2017-08-04,541.7
2017-08-07,536.85
2017-08-08,537.45
2017-08-09,527.6
2017-08-10,520.15
2017-08-11,517.2
2017-08-14,554.2
2017-08-16,542.5
2017-08-17,543.35
2017-08-18,537.7
2017-08-21,532.6
2017-08-22,524.9
2017-08-23,522.0
2017-08-24,521.0
2017-08-28,538.2
2017-08-29,520.05
2017-08-30,523.2
2017-08-31,524.75
2017-09-01,526.8
2017-09-04,519.35
2017-09-05,522.7
2017-09-06,526.25
2017-09-07,531.55
2017-09-08,537.25
2017-09-11,534.65
2017-09-12,562.5
2017-09-13,549.2
2017-09-14,545.35
2017-09-15,544.75
2017-09-18,552.05
2017-09-19,548.35
2017-09-20,549.15
2017-09-21,535.1
2017-09-22,515.25
2017-09-25,509.65
2017-09-26,518.7
2017-09-27,512.55
2017-09-28,501.0
2017-09-29,506.05
2017-10-03,522.95
2017-10-04,520.3
2017-10-05,518.9
2017-10-06,528.6
2017-10-09,520.0
2017-10-10,528.45
2017-10-11,522.5
2017-10-12,535.45
2017-10-13,532.5
2017-10-16,531.75
2017-10-17,539.15
2017-10-18,537.45
2017-10-19,533.35
2017-10-23,543.85
2017-10-24,537.95
2017-10-25,534.3
2017-10-26,534.15
2017-10-27,542.4
2017-10-30,559.8
2017-10-31,567.6
2017-11-01,561.8
2017-11-02,545.65
2017-11-03,548.95
2017-11-06,552.85
2017-11-07,547.85
2017-11-08,556.65
2017-11-09,563.75
2017-11-10,571.7
2017-11-13,576.6
2017-11-14,600.0
2017-11-15,583.85
2017-11-16,614.15
2017-11-17,611.5
2017-11-20,630.45
2017-11-21,629.05
2017-11-22,622.85
2017-11-23,624.8
2017-11-24,623.55
2017-11-27,649.1
2017-11-28,636.5
2017-11-29,643.4
2017-11-30,636.6
2017-12-01,616.4
2017-12-04,610.4
2017-12-05,620.95
2017-12-06,599.8
2017-12-07,617.6
2017-12-08,625.75
2017-12-11,625.7
2017-12-12,629.35
2017-12-13,619.6
2017-12-14,616.95
2017-12-15,631.55
2017-12-18,629.45
2017-12-19,633.35
2017-12-20,637.6
2017-12-21,649.6
2017-12-22,658.95
2017-12-26,654.55
2017-12-27,668.55
2017-12-28,656.15
2017-12-29,655.9
