Date,AROGRANITE
2017-01-02,64.05
2017-01-03,68.3
2017-01-04,67.75
2017-01-05,68.1
2017-01-06,69.15
2017-01-09,70.65
2017-01-10,71.45
2017-01-11,71.3
2017-01-12,70.1
2017-01-13,71.0
2017-01-16,70.95
2017-01-17,70.5
2017-01-18,69.8
2017-01-19,70.8
2017-01-20,69.85
2017-01-23,68.6
2017-01-24,68.95
2017-01-25,73.95
2017-01-27,75.15
2017-01-30,76.3
2017-01-31,74.75
2017-02-01,76.85
2017-02-02,74.8
2017-02-03,75.0
2017-02-06,76.0
2017-02-07,75.65
2017-02-08,74.55
2017-02-09,75.85
2017-02-10,74.7
2017-02-13,74.3
2017-02-14,72.2
2017-02-15,71.1
2017-02-16,73.6
2017-02-17,73.0
2017-02-20,72.4
2017-02-21,76.85
2017-02-22,76.0
2017-02-23,74.6
2017-02-27,73.9
2017-02-28,74.8
2017-03-01,74.1
2017-03-02,73.4
2017-03-03,72.5
2017-03-06,72.75
2017-03-07,72.1
2017-03-08,72.0
2017-03-09,72.6
2017-03-10,71.4
2017-03-14,71.0
2017-03-15,71.6
2017-03-16,73.0
2017-03-17,74.05
2017-03-20,73.0
2017-03-21,71.95
2017-03-22,72.65
2017-03-23,71.85
2017-03-24,71.7
2017-03-27,70.3
2017-03-28,71.7
2017-03-29,71.65
2017-03-30,74.05
2017-03-31,78.55
2017-04-03,80.15
2017-04-05,78.0
2017-04-06,80.35
2017-04-07,82.75
2017-04-10,81.35
2017-04-11,81.7
2017-04-12,80.3
2017-04-13,82.9
2017-04-17,86.95
2017-04-18,86.35
2017-04-19,85.4
2017-04-20,87.75
2017-04-21,86.1
2017-04-24,76.95
2017-04-25,75.7
2017-04-26,74.85
2017-04-27,76.1
2017-04-28,72.45
2017-05-02,72.95
2017-05-03,72.45
2017-05-04,72.9
2017-05-05,71.2
2017-05-08,71.35
2017-05-09,75.15
2017-05-10,75.25
2017-05-11,73.45
2017-05-12,73.05
2017-05-15,73.05
2017-05-16,76.4
2017-05-17,75.5
2017-05-18,73.0
2017-05-19,72.35
2017-05-22,71.05
2017-05-23,69.15
2017-05-24,67.5
2017-05-25,70.45
2017-05-26,71.0
2017-05-29,74.3
2017-05-30,73.65
2017-05-31,72.85
2017-06-01,72.0
2017-06-02,72.25
2017-06-05,73.1
2017-06-06,72.2
2017-06-07,72.0
2017-06-08,71.6
2017-06-09,71.65
2017-06-12,70.65
2017-06-13,74.3
2017-06-14,77.2
2017-06-15,78.0
2017-06-16,80.95
2017-06-19,77.8
2017-06-20,80.15
2017-06-21,79.1
2017-06-22,77.8
2017-06-23,75.0
2017-06-27,73.05
2017-06-28,73.0
2017-06-29,74.2
2017-06-30,75.85
2017-07-03,75.55
2017-07-04,75.4
2017-07-05,76.0
2017-07-06,77.55
2017-07-07,75.95
2017-07-10,75.8
2017-07-11,75.4
2017-07-12,76.15
2017-07-13,75.4
2017-07-14,77.4
2017-07-17,78.0
2017-07-18,78.5
2017-07-19,77.7
2017-07-20,77.25
2017-07-21,77.15
2017-07-24,69.35
2017-07-25,70.25
2017-07-26,69.6
2017-07-27,68.85
2017-07-28,68.1
2017-07-31,67.8
2017-08-01,69.3
2017-08-02,67.9
2017-08-03,66.6
2017-08-04,66.95
2017-08-07,66.25
2017-08-08,64.8
2017-08-09,64.1
2017-08-10,62.05
2017-08-11,59.45
2017-08-14,61.25
2017-08-16,64.55
2017-08-17,64.55
2017-08-18,63.65
2017-08-21,63.65
2017-08-22,64.1
2017-08-23,65.45
2017-08-24,66.35
2017-08-28,67.85
2017-08-29,66.55
2017-08-30,67.0
2017-08-31,65.95
2017-09-01,67.45
2017-09-04,70.35
2017-09-05,69.8
2017-09-06,69.55
2017-09-07,71.25
2017-09-08,71.75
2017-09-11,70.25
2017-09-12,69.75
2017-09-13,68.9
2017-09-14,68.35
2017-09-15,69.75
2017-09-18,68.35
2017-09-19,68.45
2017-09-20,71.4
2017-09-21,70.55
2017-09-22,67.35
2017-09-25,66.05
2017-09-26,65.35
2017-09-27,64.65
2017-09-28,65.45
2017-09-29,65.15
2017-10-03,64.95
2017-10-04,64.65
2017-10-05,63.85
2017-10-06,65.5
2017-10-09,70.35
2017-10-10,70.0
2017-10-11,67.55
2017-10-12,68.45
2017-10-13,69.05
2017-10-16,68.1
2017-10-17,68.3
2017-10-18,68.95
2017-10-19,68.65
2017-10-23,68.15
2017-10-24,67.65
2017-10-25,68.8
2017-10-26,68.25
2017-10-27,66.65
2017-10-30,61.85
2017-10-31,62.0
2017-11-01,62.75
2017-11-02,61.45
2017-11-03,62.1
2017-11-06,61.95
2017-11-07,67.4
2017-11-08,68.2
2017-11-09,68.0
2017-11-10,69.2
2017-11-13,68.65
2017-11-14,66.7
2017-11-15,64.4
2017-11-16,65.15
2017-11-17,65.35
2017-11-20,65.35
2017-11-21,66.65
2017-11-22,66.2
2017-11-23,65.7
2017-11-24,68.0
2017-11-27,68.15
2017-11-28,67.3
2017-11-29,70.35
2017-11-30,72.8
2017-12-01,69.85
2017-12-04,68.1
2017-12-05,68.2
2017-12-06,68.3
2017-12-07,68.2
2017-12-08,67.8
2017-12-11,68.5
2017-12-12,68.1
2017-12-13,68.2
2017-12-14,67.8
2017-12-15,67.9
2017-12-18,68.6
2017-12-19,68.95
2017-12-20,69.75
2017-12-21,69.75
2017-12-22,73.15
2017-12-26,71.4
2017-12-27,70.75
2017-12-28,73.45
2017-12-29,81.9
