Date,GARWALLROP
2017-01-02,609.6
2017-01-03,620.75
2017-01-04,612.65
2017-01-05,614.5
2017-01-06,629.35
2017-01-09,623.3
2017-01-10,626.1
2017-01-11,616.35
2017-01-12,616.9
2017-01-13,617.75
2017-01-16,630.8
2017-01-17,618.05
2017-01-18,612.75
2017-01-19,622.8
2017-01-20,617.65
2017-01-23,615.2
2017-01-24,620.75
2017-01-25,623.75
2017-01-27,622.75
2017-01-30,602.35
2017-01-31,585.25
2017-02-01,589.45
2017-02-02,595.95
2017-02-03,614.65
2017-02-06,630.7
2017-02-07,626.8
2017-02-08,628.7
2017-02-09,629.2
2017-02-10,628.85
2017-02-13,607.05
2017-02-14,614.45
2017-02-15,607.75
2017-02-16,618.15
2017-02-17,639.2
2017-02-20,645.4
2017-02-21,658.75
2017-02-22,647.15
2017-02-23,665.6
2017-02-27,682.25
2017-02-28,687.8
2017-03-01,695.25
2017-03-02,671.65
2017-03-03,671.55
2017-03-06,674.7
2017-03-07,679.45
2017-03-08,680.85
2017-03-09,697.7
2017-03-10,688.7
2017-03-14,685.45
2017-03-15,677.6
2017-03-16,687.75
2017-03-17,694.2
2017-03-20,693.9
2017-03-21,690.0
2017-03-22,687.9
2017-03-23,690.9
2017-03-24,697.8
2017-03-27,698.25
2017-03-28,706.35
2017-03-29,702.6
2017-03-30,708.1
2017-03-31,709.85
2017-04-03,723.05
2017-04-05,729.65
2017-04-06,723.15
2017-04-07,694.3
2017-04-10,677.7
2017-04-11,677.95
2017-04-12,696.7
2017-04-13,701.55
2017-04-17,730.3
2017-04-18,755.35
2017-04-19,758.3
2017-04-20,758.65
2017-04-21,756.5
2017-04-24,741.5
2017-04-25,745.7
2017-04-26,747.35
2017-04-27,752.6
2017-04-28,752.5
2017-05-02,794.8
2017-05-03,784.05
2017-05-04,802.7
2017-05-05,811.15
2017-05-08,800.95
2017-05-09,790.1
2017-05-10,796.95
2017-05-11,809.9
2017-05-12,794.95
2017-05-15,805.1
2017-05-16,803.75
2017-05-17,805.1
2017-05-18,790.3
2017-05-19,793.9
2017-05-22,785.85
2017-05-23,763.8
2017-05-24,763.75
2017-05-25,788.25
2017-05-26,780.6
2017-05-29,779.3
2017-05-30,803.05
2017-05-31,793.9
2017-06-01,809.75
2017-06-02,806.2
2017-06-05,819.35
2017-06-06,828.1
2017-06-07,799.95
2017-06-08,819.85
2017-06-09,820.4
2017-06-12,809.7
2017-06-13,814.35
2017-06-14,849.5
2017-06-15,849.45
2017-06-16,841.15
2017-06-19,831.7
2017-06-20,838.65
2017-06-21,839.4
2017-06-22,822.35
2017-06-23,829.55
2017-06-27,820.35
2017-06-28,817.55
2017-06-29,815.0
2017-06-30,815.65
2017-07-03,827.15
2017-07-04,832.9
2017-07-05,877.6
2017-07-06,868.2
2017-07-07,915.75
2017-07-10,940.45
2017-07-11,977.5
2017-07-12,966.4
2017-07-13,952.6
2017-07-14,937.85
2017-07-17,936.2
2017-07-18,897.5
2017-07-19,910.5
2017-07-20,890.8
2017-07-21,881.0
2017-07-24,889.8
2017-07-25,889.85
2017-07-26,895.15
2017-07-27,900.75
2017-07-28,898.5
2017-07-31,887.6
2017-08-01,891.5
2017-08-02,886.45
2017-08-03,891.6
2017-08-04,887.65
2017-08-07,889.3
2017-08-08,900.2
2017-08-09,872.8
2017-08-10,869.55
2017-08-11,875.7
2017-08-14,877.6
2017-08-16,883.5
2017-08-17,894.3
2017-08-18,875.95
2017-08-21,871.6
2017-08-22,856.45
2017-08-23,860.95
2017-08-24,867.1
2017-08-28,863.3
2017-08-29,858.85
2017-08-30,857.15
2017-08-31,843.4
2017-09-01,921.1
2017-09-04,925.95
2017-09-05,920.45
2017-09-06,924.95
2017-09-07,935.35
2017-09-08,914.1
2017-09-11,909.95
2017-09-12,923.15
2017-09-13,894.45
2017-09-14,882.1
2017-09-15,879.9
2017-09-18,874.9
2017-09-19,864.55
2017-09-20,867.3
2017-09-21,872.05
2017-09-22,863.15
2017-09-25,851.05
2017-09-26,855.75
2017-09-27,851.8
2017-09-28,880.25
2017-09-29,879.8
2017-10-03,881.55
2017-10-04,913.55
2017-10-05,900.1
2017-10-06,921.5
2017-10-09,924.7
2017-10-10,927.75
2017-10-11,910.85
2017-10-12,905.15
2017-10-13,909.45
2017-10-16,891.15
2017-10-17,902.9
2017-10-18,900.2
2017-10-19,895.95
2017-10-23,900.4
2017-10-24,901.65
2017-10-25,901.55
2017-10-26,910.3
2017-10-27,942.55
2017-10-30,952.75
2017-10-31,938.0
2017-11-01,918.4
2017-11-02,923.05
2017-11-03,920.3
2017-11-06,902.5
2017-11-07,898.25
2017-11-08,900.0
2017-11-09,900.0
2017-11-10,899.85
2017-11-13,900.1
2017-11-14,906.15
2017-11-15,915.0
2017-11-16,901.8
2017-11-17,905.1
2017-11-20,931.35
2017-11-21,933.4
2017-11-22,934.6
2017-11-23,921.6
2017-11-24,916.7
2017-11-27,904.45
2017-11-28,916.35
2017-11-29,913.0
2017-11-30,914.3
2017-12-01,913.1
2017-12-04,909.75
2017-12-05,918.75
2017-12-06,921.1
2017-12-07,914.7
2017-12-08,918.65
2017-12-11,922.2
2017-12-12,915.1
2017-12-13,915.9
2017-12-14,908.95
2017-12-15,909.5
2017-12-18,917.45
2017-12-19,927.85
2017-12-20,927.95
2017-12-21,938.65
2017-12-22,962.1
2017-12-26,958.25
2017-12-27,958.9
2017-12-28,955.0
2017-12-29,960.75
