Date,RPOWER
2017-01-02,41.9
2017-01-03,41.95
2017-01-04,42.45
2017-01-05,43.3
2017-01-06,43.9
2017-01-09,43.8
2017-01-10,43.9
2017-01-11,44.5
2017-01-12,45.25
2017-01-13,44.8
2017-01-16,44.35
2017-01-17,44.05
2017-01-18,44.2
2017-01-19,44.45
2017-01-20,43.5
2017-01-23,43.7
2017-01-24,44.05
2017-01-25,44.0
2017-01-27,44.45
2017-01-30,45.55
2017-01-31,44.8
2017-02-01,45.3
2017-02-02,45.1
2017-02-03,46.1
2017-02-06,46.5
2017-02-07,45.9
2017-02-08,46.05
2017-02-09,45.65
2017-02-10,45.3
2017-02-13,43.95
2017-02-14,44.15
2017-02-15,43.0
2017-02-16,43.4
2017-02-17,44.0
2017-02-20,44.95
2017-02-21,45.2
2017-02-22,46.15
2017-02-23,46.0
2017-02-27,46.7
2017-02-28,47.5
2017-03-01,47.4
2017-03-02,45.85
2017-03-03,46.15
2017-03-06,46.9
2017-03-07,47.5
2017-03-08,46.15
2017-03-09,45.95
2017-03-10,46.2
2017-03-14,47.05
2017-03-15,46.85
2017-03-16,48.7
2017-03-17,47.8
2017-03-20,48.15
2017-03-21,47.95
2017-03-22,47.25
2017-03-23,47.95
2017-03-24,48.15
2017-03-27,47.6
2017-03-28,47.9
2017-03-29,48.0
2017-03-30,47.75
2017-03-31,48.1
2017-04-03,49.75
2017-04-05,50.25
2017-04-06,49.9
2017-04-07,48.9
2017-04-10,49.0
2017-04-11,49.4
2017-04-12,48.0
2017-04-13,47.45
2017-04-17,47.85
2017-04-18,46.95
2017-04-19,47.0
2017-04-20,47.3
2017-04-21,47.25
2017-04-24,49.7
2017-04-25,49.1
2017-04-26,48.75
2017-04-27,48.8
2017-04-28,48.9
2017-05-02,48.35
2017-05-03,48.05
2017-05-04,47.7
2017-05-05,46.2
2017-05-08,46.8
2017-05-09,47.55
2017-05-10,47.7
2017-05-11,47.05
2017-05-12,46.7
2017-05-15,46.7
2017-05-16,47.35
2017-05-17,47.5
2017-05-18,46.5
2017-05-19,46.3
2017-05-22,45.9
2017-05-23,44.2
2017-05-24,41.9
2017-05-25,42.35
2017-05-26,43.6
2017-05-29,39.9
2017-05-30,40.6
2017-05-31,41.3
2017-06-01,40.9
2017-06-02,41.0
2017-06-05,41.25
2017-06-06,40.15
2017-06-07,40.45
2017-06-08,40.15
2017-06-09,40.0
2017-06-12,40.4
2017-06-13,40.45
2017-06-14,40.15
2017-06-15,40.35
2017-06-16,40.1
2017-06-19,40.1
2017-06-20,40.1
2017-06-21,40.7
2017-06-22,40.7
2017-06-23,40.6
2017-06-27,41.1
2017-06-28,42.35
2017-06-29,43.0
2017-06-30,42.55
2017-07-03,42.5
2017-07-04,42.1
2017-07-05,42.45
2017-07-06,42.7
2017-07-07,42.9
2017-07-10,43.85
2017-07-11,43.65
2017-07-12,44.2
2017-07-13,43.8
2017-07-14,44.4
2017-07-17,44.15
2017-07-18,43.4
2017-07-19,43.9
2017-07-20,44.4
2017-07-21,43.9
2017-07-24,44.05
2017-07-25,44.25
2017-07-26,44.45
2017-07-27,44.95
2017-07-28,45.4
2017-07-31,45.35
2017-08-01,44.3
2017-08-02,44.0
2017-08-03,42.55
2017-08-04,42.45
2017-08-07,42.85
2017-08-08,41.8
2017-08-09,41.25
2017-08-10,39.0
2017-08-11,38.7
2017-08-14,40.0
2017-08-16,40.65
2017-08-17,40.65
2017-08-18,40.35
2017-08-21,39.25
2017-08-22,38.5
2017-08-23,39.2
2017-08-24,39.5
2017-08-28,40.25
2017-08-29,39.75
2017-08-30,40.4
2017-08-31,40.45
2017-09-01,41.25
2017-09-04,40.1
2017-09-05,40.25
2017-09-06,40.05
2017-09-07,39.9
2017-09-08,39.3
2017-09-11,39.6
2017-09-12,40.4
2017-09-13,40.25
2017-09-14,42.5
2017-09-15,41.95
2017-09-18,43.65
2017-09-19,43.85
2017-09-20,45.55
2017-09-21,44.8
2017-09-22,42.35
2017-09-25,42.2
2017-09-26,42.7
2017-09-27,41.05
2017-09-28,41.05
2017-09-29,41.1
2017-10-03,40.3
2017-10-04,40.6
2017-10-05,40.6
2017-10-06,41.0
2017-10-09,41.1
2017-10-10,40.9
2017-10-11,40.1
2017-10-12,40.65
2017-10-13,40.85
2017-10-16,40.65
2017-10-17,40.55
2017-10-18,39.85
2017-10-19,39.7
2017-10-23,39.25
2017-10-24,39.55
2017-10-25,40.5
2017-10-26,40.0
2017-10-27,40.55
2017-10-30,40.9
2017-10-31,40.8
2017-11-01,40.7
2017-11-02,41.25
2017-11-03,41.05
2017-11-06,40.85
2017-11-07,39.65
2017-11-08,39.1
2017-11-09,39.25
2017-11-10,39.4
2017-11-13,38.6
2017-11-14,38.55
2017-11-15,35.35
2017-11-16,36.75
2017-11-17,36.95
2017-11-20,37.3
2017-11-21,38.15
2017-11-22,38.35
2017-11-23,38.05
2017-11-24,38.4
2017-11-27,39.2
2017-11-28,38.8
2017-11-29,38.8
2017-11-30,38.0
2017-12-01,37.45
2017-12-04,36.7
2017-12-05,36.75
2017-12-06,36.4
2017-12-07,36.9
2017-12-08,37.0
2017-12-11,37.2
2017-12-12,36.6
2017-12-13,36.1
2017-12-14,36.05
2017-12-15,36.1
2017-12-18,36.35
2017-12-19,37.0
2017-12-20,39.5
2017-12-21,40.3
2017-12-22,41.65
2017-12-26,43.2
2017-12-27,44.5
2017-12-28,44.85
2017-12-29,50.25
