Date,HISARMETAL
2017-01-05,28.7
2017-01-06,30.2
2017-01-09,31.1
2017-01-10,31.65
2017-01-11,33.2
2017-01-12,34.85
2017-01-13,36.55
2017-01-16,37.95
2017-01-17,39.5
2017-01-18,41.45
2017-01-19,43.5
2017-01-20,45.65
2017-01-23,47.6
2017-01-24,45.25
2017-01-25,43.0
2017-01-27,40.85
2017-01-30,38.85
2017-01-31,36.95
2017-02-01,38.75
2017-02-02,37.8
2017-02-03,36.15
2017-02-06,34.6
2017-02-07,38.05
2017-02-08,41.85
2017-02-09,42.8
2017-02-10,40.05
2017-02-13,39.35
2017-02-14,39.05
2017-02-15,37.7
2017-02-16,39.05
2017-02-17,39.65
2017-02-20,39.45
2017-02-21,39.3
2017-02-22,39.9
2017-02-23,42.05
2017-02-27,46.15
2017-02-28,50.75
2017-03-01,53.25
2017-03-02,50.6
2017-03-03,50.8
2017-03-06,53.3
2017-03-07,52.45
2017-03-08,53.25
2017-03-09,51.85
2017-03-10,52.25
2017-03-14,52.65
2017-03-15,52.55
2017-03-16,52.2
2017-03-17,50.5
2017-03-20,52.6
2017-03-21,51.5
2017-03-22,51.55
2017-03-23,49.0
2017-03-24,47.7
2017-03-27,48.7
2017-03-28,47.7
2017-03-29,49.0
2017-03-30,48.15
2017-03-31,47.05
2017-04-03,47.8
2017-04-05,48.15
2017-04-06,47.45
2017-04-07,47.45
2017-04-10,47.4
2017-04-11,47.0
2017-04-12,46.85
2017-04-13,46.65
2017-04-17,46.05
2017-04-18,45.2
2017-04-19,43.85
2017-04-20,47.0
2017-04-21,46.9
2017-04-24,46.0
2017-04-25,45.9
2017-04-26,46.85
2017-04-27,45.7
2017-04-28,46.8
2017-05-02,45.05
2017-05-03,45.0
2017-05-04,47.35
2017-05-05,43.95
2017-05-08,44.95
2017-05-09,44.65
2017-05-10,43.55
2017-05-11,44.5
2017-05-12,45.0
2017-05-15,44.5
2017-05-16,45.7
2017-05-17,43.1
2017-05-18,44.95
2017-05-19,43.65
2017-05-22,43.6
2017-05-23,43.65
2017-05-24,43.05
2017-05-25,41.05
2017-05-26,41.15
2017-05-29,45.25
2017-05-30,49.75
2017-05-31,48.95
2017-06-01,48.8
2017-06-02,49.5
2017-06-05,50.15
2017-06-06,51.15
2017-06-07,51.2
2017-06-08,51.25
2017-06-09,53.1
2017-06-12,52.2
2017-06-13,52.3
2017-06-14,52.2
2017-06-15,52.0
2017-06-16,51.25
2017-06-19,50.0
2017-06-20,49.0
2017-06-21,50.65
2017-06-22,50.35
2017-06-23,47.15
2017-06-27,46.75
2017-06-28,45.15
2017-06-29,48.75
2017-06-30,47.1
2017-07-03,48.8
2017-07-04,46.4
2017-07-05,48.15
2017-07-06,49.5
2017-07-07,47.6
2017-07-10,50.95
2017-07-11,49.75
2017-07-12,48.25
2017-07-13,46.65
2017-07-14,47.75
2017-07-17,48.1
2017-07-18,46.7
2017-07-19,46.55
2017-07-20,46.75
2017-07-21,46.85
2017-07-24,45.7
2017-07-25,45.55
2017-07-26,46.6
2017-07-27,46.1
2017-07-28,44.45
2017-07-31,45.85
2017-08-01,45.05
2017-08-02,43.6
2017-08-03,43.05
2017-08-04,46.2
2017-08-07,49.6
2017-08-08,48.1
2017-08-09,48.4
2017-08-10,51.1
2017-08-11,48.35
2017-08-14,51.0
2017-08-16,50.05
2017-08-17,50.4
2017-08-18,49.9
2017-08-21,48.75
2017-08-22,47.8
2017-08-23,50.1
2017-08-24,48.4
2017-08-28,48.0
2017-08-29,47.4
2017-08-30,48.05
2017-08-31,48.3
2017-09-01,48.9
2017-09-04,48.0
2017-09-05,49.25
2017-09-06,47.95
2017-09-07,57.5
2017-09-08,69.0
2017-09-11,75.9
2017-09-12,83.45
2017-09-13,86.1
2017-09-14,79.4
2017-09-15,73.2
2017-09-18,80.5
2017-09-19,77.4
2017-09-20,76.55
2017-09-21,76.5
2017-09-22,73.0
2017-09-25,68.75
2017-09-26,75.6
2017-09-27,75.7
2017-09-28,73.3
2017-09-29,74.15
2017-10-03,74.35
2017-10-04,74.95
2017-10-05,73.2
2017-10-06,73.0
2017-10-09,72.55
2017-10-10,73.15
2017-10-11,70.15
2017-10-12,70.2
2017-10-13,70.8
2017-10-16,69.9
2017-10-17,69.95
2017-10-18,71.25
2017-10-19,70.7
2017-10-23,70.35
2017-10-24,84.4
2017-10-25,86.4
2017-10-26,81.9
2017-10-27,98.25
2017-10-30,117.9
2017-10-31,128.75
2017-11-01,123.65
2017-11-02,124.3
2017-11-03,123.3
2017-11-06,116.7
2017-11-07,118.85
2017-11-08,118.9
2017-11-09,118.8
2017-11-10,116.8
2017-11-13,114.85
