Date,VBL
2017-01-02,399.25
2017-01-03,410.5
2017-01-04,415.2
2017-01-05,417.8
2017-01-06,412.9
2017-01-09,417.5
2017-01-10,417.35
2017-01-11,413.3
2017-01-12,414.4
2017-01-13,417.4
2017-01-16,414.1
2017-01-17,411.9
2017-01-18,408.45
2017-01-19,410.95
2017-01-20,404.6
2017-01-23,396.7
2017-01-24,404.75
2017-01-25,404.85
2017-01-27,398.75
2017-01-30,400.25
2017-01-31,397.6
2017-02-01,398.5
2017-02-02,396.9
2017-02-03,393.85
2017-02-06,403.35
2017-02-07,404.55
2017-02-08,403.95
2017-02-09,403.75
2017-02-10,402.3
2017-02-13,403.95
2017-02-14,400.95
2017-02-15,403.4
2017-02-16,401.25
2017-02-17,402.9
2017-02-20,404.35
2017-02-21,400.15
2017-02-22,388.4
2017-02-23,390.85
2017-02-27,395.2
2017-02-28,390.3
2017-03-01,385.55
2017-03-02,376.45
2017-03-03,372.8
2017-03-06,372.7
2017-03-07,375.05
2017-03-08,366.1
2017-03-09,356.55
2017-03-10,357.8
2017-03-14,348.3
2017-03-15,349.5
2017-03-16,350.15
2017-03-17,355.95
2017-03-20,374.4
2017-03-21,372.6
2017-03-22,373.5
2017-03-23,377.25
2017-03-24,377.95
2017-03-27,384.75
2017-03-28,381.45
2017-03-29,378.9
2017-03-30,384.0
2017-03-31,404.95
2017-04-03,404.65
2017-04-05,410.65
2017-04-06,420.95
2017-04-07,425.5
2017-04-10,433.2
2017-04-11,435.15
2017-04-12,450.95
2017-04-13,478.7
2017-04-17,477.75
2017-04-18,484.9
2017-04-19,489.45
2017-04-20,480.3
2017-04-21,466.25
2017-04-24,467.15
2017-04-25,462.15
2017-04-26,468.1
2017-04-27,472.8
2017-04-28,470.35
2017-05-02,470.25
2017-05-03,482.7
2017-05-04,471.5
2017-05-05,484.55
2017-05-08,492.15
2017-05-09,497.5
2017-05-10,499.1
2017-05-11,492.1
2017-05-12,487.75
2017-05-15,486.7
2017-05-16,492.7
2017-05-17,501.0
2017-05-18,490.65
2017-05-19,497.25
2017-05-22,491.55
2017-05-23,481.85
2017-05-24,469.2
2017-05-25,482.8
2017-05-26,487.1
2017-05-29,480.95
2017-05-30,489.3
2017-05-31,498.15
2017-06-01,499.6
2017-06-02,510.65
2017-06-05,528.8
2017-06-06,529.65
2017-06-07,518.35
2017-06-08,512.6
2017-06-09,513.85
2017-06-12,536.45
2017-06-13,544.85
2017-06-14,539.8
2017-06-15,545.8
2017-06-16,548.8
2017-06-19,545.3
2017-06-20,536.45
2017-06-21,521.55
2017-06-22,521.55
2017-06-23,514.35
2017-06-27,505.55
2017-06-28,512.75
2017-06-29,519.35
2017-06-30,534.85
2017-07-03,520.95
2017-07-04,523.3
2017-07-05,521.1
2017-07-06,526.4
2017-07-07,531.9
2017-07-10,521.9
2017-07-11,524.45
2017-07-12,541.35
2017-07-13,530.05
2017-07-14,522.8
2017-07-17,514.45
2017-07-18,509.9
2017-07-19,511.95
2017-07-20,510.6
2017-07-21,504.8
2017-07-24,501.65
2017-07-25,505.05
2017-07-26,514.55
2017-07-27,503.65
2017-07-28,511.85
2017-07-31,498.2
2017-08-01,500.3
2017-08-02,499.9
2017-08-03,498.0
2017-08-04,502.5
2017-08-07,519.45
2017-08-08,521.35
2017-08-09,526.75
2017-08-10,524.05
2017-08-11,514.95
2017-08-14,514.05
2017-08-16,521.3
2017-08-17,520.45
2017-08-18,547.4
2017-08-21,559.8
2017-08-22,543.45
2017-08-23,534.3
2017-08-24,539.15
2017-08-28,543.2
2017-08-29,526.05
2017-08-30,518.7
2017-08-31,523.65
2017-09-01,531.3
2017-09-04,519.8
2017-09-05,518.0
2017-09-06,523.2
2017-09-07,526.4
2017-09-08,533.2
2017-09-11,531.45
2017-09-12,527.85
2017-09-13,530.95
2017-09-14,535.25
2017-09-15,542.3
2017-09-18,533.55
2017-09-19,538.3
2017-09-20,539.5
2017-09-21,531.9
2017-09-22,523.1
2017-09-25,510.7
2017-09-26,512.5
2017-09-27,508.3
2017-09-28,511.9
2017-09-29,510.55
2017-10-03,515.85
2017-10-04,511.2
2017-10-05,516.35
2017-10-06,518.75
2017-10-09,523.4
2017-10-10,514.3
2017-10-11,510.1
2017-10-12,502.05
2017-10-13,498.0
2017-10-16,499.75
2017-10-17,506.25
2017-10-18,498.15
2017-10-19,494.1
2017-10-23,494.55
2017-10-24,495.7
2017-10-25,494.05
2017-10-26,494.1
2017-10-27,505.0
2017-10-30,500.9
2017-10-31,503.2
2017-11-01,510.6
2017-11-02,501.1
2017-11-03,507.75
2017-11-06,512.6
2017-11-07,514.25
2017-11-08,504.15
2017-11-09,499.25
2017-11-10,500.85
2017-11-13,495.4
2017-11-14,506.2
2017-11-15,497.95
2017-11-16,496.25
2017-11-17,500.15
2017-11-20,499.3
2017-11-21,495.65
2017-11-22,494.4
2017-11-23,497.95
2017-11-24,500.5
2017-11-27,513.65
2017-11-28,506.4
2017-11-29,504.7
2017-11-30,508.25
2017-12-01,500.9
2017-12-04,511.75
2017-12-05,513.45
2017-12-06,510.85
2017-12-07,505.35
2017-12-08,506.95
2017-12-11,514.1
2017-12-12,508.2
2017-12-13,505.4
2017-12-14,505.0
2017-12-15,506.0
2017-12-18,514.9
2017-12-19,518.8
2017-12-20,535.55
2017-12-21,578.75
2017-12-22,573.65
2017-12-26,581.75
2017-12-27,590.85
2017-12-28,633.1
2017-12-29,653.25
