Date,CANTABIL
2017-01-02,64.65
2017-01-03,66.0
2017-01-04,64.7
2017-01-05,66.7
2017-01-06,65.05
2017-01-09,64.25
2017-01-10,64.8
2017-01-11,65.0
2017-01-12,64.3
2017-01-13,64.0
2017-01-16,65.95
2017-01-17,66.6
2017-01-18,65.15
2017-01-19,65.65
2017-01-20,65.2
2017-01-23,66.3
2017-01-24,65.25
2017-01-25,65.15
2017-01-27,66.5
2017-01-30,64.85
2017-01-31,64.25
2017-02-01,64.35
2017-02-02,64.2
2017-02-03,65.0
2017-02-06,64.25
2017-02-07,65.2
2017-02-08,64.4
2017-02-09,64.15
2017-02-10,64.1
2017-02-13,68.8
2017-02-14,65.3
2017-02-15,64.15
2017-02-16,65.3
2017-02-17,65.05
2017-02-20,65.95
2017-02-21,66.35
2017-02-22,65.8
2017-02-23,65.75
2017-02-27,70.15
2017-02-28,72.85
2017-03-01,73.75
2017-03-02,70.9
2017-03-03,69.55
2017-03-06,70.45
2017-03-07,71.1
2017-03-08,70.85
2017-03-09,70.55
2017-03-10,72.85
2017-03-14,74.05
2017-03-15,74.45
2017-03-16,78.85
2017-03-17,83.8
2017-03-20,82.95
2017-03-21,80.65
2017-03-22,79.6
2017-03-23,78.75
2017-03-24,77.7
2017-03-27,76.15
2017-03-28,72.6
2017-03-29,73.65
2017-03-30,73.15
2017-03-31,76.4
2017-04-03,79.4
2017-04-05,83.25
2017-04-06,79.4
2017-04-07,80.1
2017-04-10,83.65
2017-04-11,87.1
2017-04-12,85.4
2017-04-13,84.9
2017-04-17,84.65
2017-04-18,80.75
2017-04-19,80.9
2017-04-20,80.9
2017-04-21,81.25
2017-04-24,80.9
2017-04-25,80.5
2017-04-26,78.75
2017-04-27,78.6
2017-04-28,79.9
2017-05-02,82.85
2017-05-03,81.2
2017-05-04,81.3
2017-05-05,80.0
2017-05-08,80.0
2017-05-09,78.85
2017-05-10,78.25
2017-05-11,79.25
2017-05-12,79.3
2017-05-15,80.75
2017-05-16,78.7
2017-05-17,78.55
2017-05-18,77.5
2017-05-19,76.35
2017-05-22,74.55
2017-05-23,72.3
2017-05-24,71.0
2017-05-25,71.95
2017-05-26,73.1
2017-05-29,66.8
2017-05-30,66.25
2017-05-31,66.1
2017-06-01,66.5
2017-06-02,66.8
2017-06-05,68.6
2017-06-06,69.25
2017-06-07,68.55
2017-06-08,68.85
2017-06-09,68.5
2017-06-12,68.3
2017-06-13,67.45
2017-06-14,66.3
2017-06-15,66.5
2017-06-16,68.45
2017-06-19,69.2
2017-06-20,69.6
2017-06-21,68.05
2017-06-22,68.5
2017-06-23,67.6
2017-06-27,67.8
2017-06-28,67.5
2017-06-29,68.35
2017-06-30,68.0
2017-07-03,68.6
2017-07-04,70.0
2017-07-05,72.5
2017-07-06,71.15
2017-07-07,72.1
2017-07-10,73.15
2017-07-11,71.8
2017-07-12,72.8
2017-07-13,71.9
2017-07-14,72.2
2017-07-17,71.8
2017-07-18,71.5
2017-07-19,71.0
2017-07-20,71.75
2017-07-21,70.05
2017-07-24,70.2
2017-07-25,70.15
2017-07-26,70.6
2017-07-27,69.3
2017-07-28,70.8
2017-07-31,72.0
2017-08-01,70.7
2017-08-02,70.7
2017-08-03,70.05
2017-08-04,70.05
2017-08-07,69.4
2017-08-08,68.45
2017-08-09,67.95
2017-08-10,66.3
2017-08-11,64.65
2017-08-14,67.95
2017-08-16,67.1
2017-08-17,66.65
2017-08-18,67.85
2017-08-21,67.2
2017-08-22,66.95
2017-08-23,66.55
2017-08-24,66.25
2017-08-28,67.1
2017-08-29,66.5
2017-08-30,66.35
2017-08-31,66.25
2017-09-01,66.05
2017-09-04,65.8
2017-09-05,67.4
2017-09-06,68.75
2017-09-07,67.75
2017-09-08,69.05
2017-09-11,67.6
2017-09-12,67.1
2017-09-13,66.7
2017-09-14,69.5
2017-09-15,67.75
2017-09-18,70.0
2017-09-19,72.45
2017-09-20,74.3
2017-09-21,74.65
2017-09-22,72.65
2017-09-25,69.15
2017-09-26,69.0
2017-09-27,68.75
2017-09-28,68.95
2017-09-29,68.1
2017-10-03,68.1
2017-10-04,69.7
2017-10-05,70.05
2017-10-06,72.5
2017-10-09,71.7
2017-10-10,72.15
2017-10-11,71.3
2017-10-12,71.95
2017-10-13,71.15
2017-10-16,71.5
2017-10-17,70.3
2017-10-18,70.65
2017-10-19,71.7
2017-10-23,71.7
2017-10-24,71.05
2017-10-25,70.15
2017-10-26,71.0
2017-10-27,71.1
2017-10-30,71.5
2017-10-31,71.8
2017-11-01,72.55
2017-11-02,73.0
2017-11-03,73.05
2017-11-06,72.55
2017-11-07,72.3
2017-11-08,72.45
2017-11-09,72.2
2017-11-10,74.65
2017-11-13,73.9
2017-11-14,74.4
2017-11-15,72.6
2017-11-16,72.65
2017-11-17,74.0
2017-11-20,76.65
2017-11-21,75.2
2017-11-22,77.3
2017-11-23,75.45
2017-11-24,74.45
2017-11-27,89.3
2017-11-28,96.85
2017-11-29,91.55
2017-11-30,89.8
2017-12-01,84.8
2017-12-04,101.75
2017-12-05,94.6
2017-12-06,96.35
2017-12-07,94.0
2017-12-08,93.75
2017-12-11,93.15
2017-12-12,91.95
2017-12-13,86.2
2017-12-14,82.9
2017-12-15,99.45
2017-12-18,93.55
2017-12-19,110.7
2017-12-20,125.55
2017-12-21,123.9
2017-12-22,119.45
2017-12-26,113.2
2017-12-27,117.6
2017-12-28,116.0
2017-12-29,114.0
