Date,UNITEDTEA
2017-01-02,303.15
2017-01-03,308.5
2017-01-04,301.8
2017-01-05,319.0
2017-01-06,316.45
2017-01-09,313.25
2017-01-10,323.0
2017-01-11,330.0
2017-01-12,337.45
2017-01-13,336.45
2017-01-16,316.4
2017-01-17,332.35
2017-01-18,303.95
2017-01-19,307.0
2017-01-20,299.15
2017-01-23,305.55
2017-01-24,307.35
2017-01-25,312.1
2017-01-27,306.2
2017-01-30,306.1
2017-01-31,310.45
2017-02-01,307.15
2017-02-02,313.05
2017-02-03,310.8
2017-02-06,297.95
2017-02-07,315.0
2017-02-08,326.1
2017-02-09,325.0
2017-02-10,332.65
2017-02-13,347.6
2017-02-14,314.25
2017-02-15,317.45
2017-02-16,316.0
2017-02-17,318.6
2017-02-20,332.0
2017-02-21,325.4
2017-02-22,322.4
2017-02-23,318.55
2017-02-27,319.55
2017-02-28,323.95
2017-03-01,326.9
2017-03-02,332.45
2017-03-03,330.0
2017-03-06,348.0
2017-03-07,340.0
2017-03-08,363.75
2017-03-09,355.0
2017-03-10,359.0
2017-03-14,360.9
2017-03-15,368.55
2017-03-16,359.1
2017-03-17,361.7
2017-03-20,362.05
2017-03-21,365.0
2017-03-22,380.6
2017-03-23,365.1
2017-03-24,368.1
2017-03-27,374.15
2017-03-28,370.0
2017-03-29,364.95
2017-03-30,362.3
2017-03-31,363.0
2017-04-03,374.0
2017-04-05,373.4
2017-04-06,375.0
2017-04-07,372.1
2017-04-10,375.0
2017-04-11,381.5
2017-04-12,379.35
2017-04-13,389.6
2017-04-17,372.05
2017-04-19,365.2
2017-04-20,364.45
2017-04-21,362.95
2017-04-24,373.7
2017-04-25,371.0
2017-04-26,354.45
2017-04-27,371.0
2017-04-28,378.05
2017-05-02,368.6
2017-05-03,367.9
2017-05-04,369.9
2017-05-05,357.5
2017-05-08,358.05
2017-05-09,360.9
2017-05-10,360.65
2017-05-11,368.25
2017-05-12,366.2
2017-05-15,356.25
2017-05-16,367.95
2017-05-17,365.0
2017-05-18,341.45
2017-05-19,331.25
2017-05-22,338.85
2017-05-23,325.7
2017-05-24,319.35
2017-05-25,313.05
2017-05-26,314.0
2017-05-29,313.75
2017-05-30,317.55
2017-05-31,321.65
2017-06-01,308.45
2017-06-02,316.5
2017-06-05,319.9
2017-06-06,316.8
2017-06-07,310.1
2017-06-08,312.2
2017-06-09,318.65
2017-06-12,309.2
2017-06-13,318.15
2017-06-14,317.5
2017-06-15,310.0
2017-06-16,308.95
2017-06-19,314.9
2017-06-20,312.4
2017-06-21,319.75
2017-06-22,310.6
2017-06-23,308.55
2017-06-27,310.0
2017-06-28,305.9
2017-06-29,314.0
2017-06-30,303.55
2017-07-03,310.45
2017-07-04,308.6
2017-07-05,308.8
2017-07-06,304.05
2017-07-07,312.35
2017-07-10,319.0
2017-07-11,313.6
2017-07-12,318.05
2017-07-13,308.7
2017-07-14,307.8
2017-07-17,315.55
2017-07-18,309.55
2017-07-19,315.0
2017-07-20,306.15
2017-07-21,310.0
2017-07-24,311.0
2017-07-25,311.45
2017-07-26,314.85
2017-07-27,313.75
2017-07-28,306.45
2017-07-31,307.4
2017-08-01,323.5
2017-08-02,316.1
2017-08-03,318.1
2017-08-04,305.95
2017-08-07,306.45
2017-08-08,304.2
2017-08-09,305.8
2017-08-10,295.85
2017-08-11,290.0
2017-08-14,306.0
2017-08-16,312.8
2017-08-17,306.2
2017-08-18,303.7
2017-08-21,305.6
2017-08-22,297.7
2017-08-23,305.35
2017-08-24,300.05
2017-08-28,292.55
2017-08-29,292.3
2017-08-30,291.1
2017-08-31,294.15
2017-09-01,300.2
2017-09-04,296.0
2017-09-05,297.5
2017-09-06,297.35
2017-09-07,304.75
2017-09-08,299.9
2017-09-11,297.65
2017-09-12,294.6
2017-09-13,300.95
2017-09-14,306.0
2017-09-15,296.05
2017-09-18,306.95
2017-09-19,306.0
2017-09-20,296.35
2017-09-21,302.1
2017-09-22,295.15
2017-09-25,300.5
2017-09-26,301.7
2017-09-27,294.45
2017-09-28,308.35
2017-09-29,307.7
2017-10-03,296.7
2017-10-04,308.5
2017-10-05,301.0
2017-10-06,297.15
2017-10-09,297.8
2017-10-10,305.4
2017-10-11,305.85
2017-10-12,308.0
2017-10-13,307.35
2017-10-16,306.15
2017-10-17,300.45
2017-10-19,305.0
2017-10-23,303.05
2017-10-25,330.6
2017-10-26,396.7
2017-10-27,476.0
2017-10-30,523.6
2017-10-31,558.9
2017-11-01,508.8
2017-11-02,520.35
2017-11-03,503.35
2017-11-06,477.55
2017-11-07,468.5
2017-11-08,453.95
2017-11-09,445.75
2017-11-10,440.65
2017-11-13,432.1
