Date,MARKSANS
2017-01-02,40.95
2017-01-03,40.9
2017-01-04,40.7
2017-01-05,40.85
2017-01-06,40.3
2017-01-09,40.45
2017-01-10,41.15
2017-01-11,40.9
2017-01-12,39.95
2017-01-13,39.9
2017-01-16,40.0
2017-01-17,39.6
2017-01-18,39.75
2017-01-19,39.7
2017-01-20,39.4
2017-01-23,39.0
2017-01-24,38.5
2017-01-25,38.6
2017-01-27,38.8
2017-01-30,38.05
2017-01-31,37.7
2017-02-01,37.2
2017-02-02,37.55
2017-02-03,38.95
2017-02-06,39.8
2017-02-07,41.05
2017-02-08,40.25
2017-02-09,40.45
2017-02-10,39.75
2017-02-13,39.05
2017-02-14,38.7
2017-02-15,37.7
2017-02-16,39.7
2017-02-17,40.5
2017-02-20,48.6
2017-02-21,50.6
2017-02-22,48.05
2017-02-23,49.75
2017-02-27,51.0
2017-02-28,50.3
2017-03-01,49.95
2017-03-02,47.85
2017-03-03,49.3
2017-03-06,48.7
2017-03-07,48.05
2017-03-08,49.9
2017-03-09,49.4
2017-03-10,48.4
2017-03-14,48.9
2017-03-15,48.65
2017-03-16,49.35
2017-03-17,50.95
2017-03-20,50.25
2017-03-21,49.3
2017-03-22,48.25
2017-03-23,47.4
2017-03-24,47.4
2017-03-27,46.65
2017-03-28,46.75
2017-03-29,46.6
2017-03-30,46.35
2017-03-31,47.15
2017-04-03,51.2
2017-04-05,52.8
2017-04-06,51.9
2017-04-07,52.15
2017-04-10,56.1
2017-04-11,56.45
2017-04-12,54.2
2017-04-13,53.65
2017-04-17,54.05
2017-04-18,52.75
2017-04-19,53.15
2017-04-20,53.5
2017-04-21,52.5
2017-04-24,51.05
2017-04-25,52.3
2017-04-26,51.55
2017-04-27,52.85
2017-04-28,52.0
2017-05-02,51.15
2017-05-03,50.3
2017-05-04,49.55
2017-05-05,48.1
2017-05-08,48.85
2017-05-09,48.05
2017-05-10,54.15
2017-05-11,52.35
2017-05-12,50.95
2017-05-15,52.05
2017-05-16,51.9
2017-05-17,51.2
2017-05-18,49.3
2017-05-19,49.05
2017-05-22,48.1
2017-05-23,46.45
2017-05-24,46.0
2017-05-25,45.8
2017-05-26,46.25
2017-05-29,42.95
2017-05-30,41.4
2017-05-31,42.95
2017-06-01,45.0
2017-06-02,45.25
2017-06-05,43.1
2017-06-06,43.05
2017-06-07,44.1
2017-06-08,43.95
2017-06-09,43.7
2017-06-12,43.65
2017-06-13,43.2
2017-06-14,42.55
2017-06-15,43.3
2017-06-16,43.15
2017-06-19,42.9
2017-06-20,42.8
2017-06-21,42.75
2017-06-22,42.75
2017-06-23,41.45
2017-06-27,40.9
2017-06-28,40.55
2017-06-29,40.55
2017-06-30,40.95
2017-07-03,41.75
2017-07-04,41.5
2017-07-05,41.75
2017-07-06,41.6
2017-07-07,42.9
2017-07-10,44.5
2017-07-11,43.55
2017-07-12,43.25
2017-07-13,42.85
2017-07-14,42.75
2017-07-17,42.25
2017-07-18,42.3
2017-07-19,43.6
2017-07-20,42.65
2017-07-21,42.45
2017-07-24,41.95
2017-07-25,41.7
2017-07-26,43.2
2017-07-27,42.95
2017-07-28,44.6
2017-07-31,42.45
2017-08-01,42.8
2017-08-02,42.3
2017-08-03,41.45
2017-08-04,40.35
2017-08-07,41.3
2017-08-08,39.95
2017-08-09,37.8
2017-08-10,37.25
2017-08-11,39.55
2017-08-14,40.45
2017-08-16,39.7
2017-08-17,39.15
2017-08-18,38.0
2017-08-21,37.4
2017-08-22,37.25
2017-08-23,37.2
2017-08-24,38.1
2017-08-28,39.75
2017-08-29,39.55
2017-08-30,40.1
2017-08-31,39.9
2017-09-01,40.2
2017-09-04,39.05
2017-09-05,39.25
2017-09-06,39.1
2017-09-07,40.15
2017-09-08,39.3
2017-09-11,39.95
2017-09-12,39.9
2017-09-13,41.6
2017-09-14,43.25
2017-09-15,44.35
2017-09-18,44.9
2017-09-19,43.55
2017-09-20,45.95
2017-09-21,47.6
2017-09-22,44.9
2017-09-25,43.4
2017-09-26,43.3
2017-09-27,40.6
2017-09-28,41.8
2017-09-29,42.5
2017-10-03,42.7
2017-10-04,46.3
2017-10-05,45.95
2017-10-06,47.9
2017-10-09,48.9
2017-10-10,48.15
2017-10-11,45.65
2017-10-12,46.35
2017-10-13,45.6
2017-10-16,45.25
2017-10-17,45.25
2017-10-18,44.75
2017-10-19,44.35
2017-10-23,43.35
2017-10-24,43.2
2017-10-25,43.15
2017-10-26,43.2
2017-10-27,44.15
2017-10-30,44.35
2017-10-31,44.75
2017-11-01,46.55
2017-11-02,47.8
2017-11-03,50.1
2017-11-06,51.05
2017-11-07,47.8
2017-11-08,47.25
2017-11-09,48.15
2017-11-10,48.95
2017-11-13,42.15
2017-11-14,41.65
2017-11-15,39.9
2017-11-16,39.95
2017-11-17,40.7
2017-11-20,41.2
2017-11-21,41.4
2017-11-22,41.15
2017-11-23,41.0
2017-11-24,40.75
2017-11-27,41.05
2017-11-28,40.65
2017-11-29,40.45
2017-11-30,39.15
2017-12-01,38.4
2017-12-04,36.9
2017-12-05,37.7
2017-12-06,36.95
2017-12-07,37.95
2017-12-08,37.8
2017-12-11,36.95
2017-12-12,36.6
2017-12-13,36.1
2017-12-14,35.2
2017-12-15,35.35
2017-12-18,35.6
2017-12-19,38.0
2017-12-20,38.8
2017-12-21,39.9
2017-12-22,39.35
2017-12-26,39.0
2017-12-27,40.35
2017-12-28,40.2
2017-12-29,39.95
