Date,GPTINFRA
2017-01-02,252.4
2017-01-03,252.85
2017-01-04,251.5
2017-01-05,250.2
2017-01-06,254.0
2017-01-09,255.0
2017-01-10,245.0
2017-01-11,239.0
2017-01-12,255.3
2017-01-13,252.0
2017-01-16,240.0
2017-01-17,240.0
2017-01-18,240.05
2017-01-19,240.85
2017-01-20,235.9
2017-01-23,245.0
2017-01-24,245.0
2017-01-25,239.0
2017-01-27,240.25
2017-01-30,248.5
2017-01-31,248.7
2017-02-01,247.8
2017-02-02,250.4
2017-02-03,249.0
2017-02-06,250.15
2017-02-07,247.9
2017-02-08,247.65
2017-02-09,249.8
2017-02-10,251.4
2017-02-13,245.35
2017-02-14,249.15
2017-02-15,247.75
2017-02-16,249.6
2017-02-17,247.85
2017-02-20,248.25
2017-02-21,251.1
2017-02-22,247.0
2017-02-23,244.6
2017-02-27,245.65
2017-02-28,242.1
2017-03-01,236.3
2017-03-02,237.75
2017-03-03,244.0
2017-03-06,239.4
2017-03-07,236.0
2017-03-08,243.05
2017-03-09,243.0
2017-03-10,241.0
2017-03-14,237.8
2017-03-15,232.8
2017-03-16,234.25
2017-03-17,236.05
2017-03-20,240.35
2017-03-21,232.1
2017-03-22,231.45
2017-03-23,236.35
2017-03-24,237.8
2017-03-27,242.05
2017-03-28,239.45
2017-03-29,242.05
2017-03-30,242.0
2017-03-31,242.05
2017-04-03,245.4
2017-04-05,257.1
2017-04-06,248.35
2017-04-07,256.85
2017-04-10,255.3
2017-04-11,259.0
2017-04-12,244.0
2017-04-13,236.35
2017-04-17,241.3
2017-04-18,237.75
2017-04-19,239.95
2017-04-20,250.05
2017-04-21,240.15
2017-04-24,245.0
2017-04-25,236.45
2017-04-26,243.4
2017-04-27,244.0
2017-04-28,244.05
2017-05-02,246.8
2017-05-03,246.75
2017-05-04,246.1
2017-05-05,243.7
2017-05-08,243.05
2017-05-09,242.65
2017-05-10,241.0
2017-05-11,237.0
2017-05-12,240.4
2017-05-15,243.7
2017-05-16,241.5
2017-05-17,245.0
2017-05-18,266.5
2017-05-19,257.4
2017-05-22,261.45
2017-05-23,256.0
2017-05-24,250.7
2017-05-25,251.75
2017-05-26,253.35
2017-05-29,253.35
2017-05-30,252.55
2017-05-31,255.35
2017-06-01,254.2
2017-06-02,260.4
2017-06-05,263.5
2017-06-06,265.45
2017-06-07,263.35
2017-06-08,267.05
2017-06-09,269.5
2017-06-12,247.25
2017-06-13,246.45
2017-06-14,251.55
2017-06-15,253.65
2017-06-16,248.35
2017-06-19,252.55
2017-06-20,243.65
2017-06-21,246.1
2017-06-22,243.85
2017-06-23,241.45
2017-06-27,239.55
2017-06-28,240.0
2017-06-29,242.7
2017-06-30,238.5
2017-07-03,237.5
2017-07-04,241.3
2017-07-05,241.75
2017-07-06,242.65
2017-07-07,240.6
2017-07-10,240.95
2017-07-11,245.9
2017-07-12,245.35
2017-07-13,126.65
2017-07-14,123.4
2017-07-17,123.15
2017-07-18,122.6
2017-07-19,123.05
2017-07-20,120.85
2017-07-21,123.55
2017-07-24,123.9
2017-07-25,125.0
2017-07-26,124.2
2017-07-27,122.6
2017-07-28,122.85
2017-07-31,123.95
2017-08-01,127.05
2017-08-02,126.45
2017-08-03,127.0
2017-08-04,130.15
2017-08-07,156.15
2017-08-08,154.45
2017-08-09,145.9
2017-08-10,135.75
2017-08-11,136.6
2017-08-14,144.4
2017-08-16,148.15
2017-08-17,151.9
2017-08-18,147.85
2017-08-21,141.2
2017-08-22,142.25
2017-08-23,145.45
2017-08-24,145.3
2017-08-28,148.75
2017-08-29,146.05
2017-08-30,148.85
2017-08-31,149.8
2017-09-01,154.55
2017-09-04,151.65
2017-09-05,166.65
2017-09-06,173.45
2017-09-07,174.1
2017-09-08,180.7
2017-09-11,179.1
2017-09-12,177.75
2017-09-13,163.85
2017-09-14,168.05
2017-09-15,163.9
2017-09-18,177.6
2017-09-19,172.5
2017-09-20,169.35
2017-09-21,167.65
2017-09-22,162.2
2017-09-25,159.45
2017-09-26,164.05
2017-09-27,159.65
2017-09-28,164.1
2017-09-29,161.45
2017-10-03,165.75
2017-10-04,165.3
2017-10-05,164.85
2017-10-06,169.3
2017-10-09,164.8
2017-10-10,163.9
2017-10-11,162.25
2017-10-12,162.95
2017-10-13,163.0
2017-10-16,168.5
2017-10-17,165.0
2017-10-18,166.8
2017-10-19,165.15
2017-10-23,162.4
2017-10-24,166.8
2017-10-25,162.55
2017-10-26,156.4
2017-10-27,158.7
2017-10-30,160.6
2017-10-31,162.25
2017-11-01,163.8
2017-11-02,164.85
2017-11-03,163.15
2017-11-06,166.3
2017-11-07,164.25
2017-11-08,162.15
2017-11-09,165.85
2017-11-10,160.65
2017-11-13,161.9
2017-11-14,163.05
2017-11-15,161.0
2017-11-16,182.25
2017-11-17,189.95
2017-11-20,187.9
2017-11-21,188.15
2017-11-22,185.3
2017-11-23,183.7
2017-11-24,197.55
2017-11-27,216.35
2017-11-28,204.45
2017-11-29,192.85
2017-11-30,192.95
2017-12-01,189.2
2017-12-04,196.5
2017-12-05,190.55
2017-12-06,185.65
2017-12-07,188.9
2017-12-08,190.65
2017-12-11,191.7
2017-12-12,185.35
2017-12-13,181.7
2017-12-14,181.05
2017-12-15,189.35
2017-12-18,189.7
2017-12-19,188.2
2017-12-20,186.45
2017-12-21,183.95
2017-12-22,187.3
2017-12-26,184.45
2017-12-27,188.0
2017-12-28,195.4
2017-12-29,191.05
