Date,SORILINFRA
2017-01-02,102.25
2017-01-03,107.35
2017-01-04,112.7
2017-01-05,113.5
2017-01-06,109.9
2017-01-09,106.75
2017-01-10,112.05
2017-01-11,112.8
2017-01-12,108.85
2017-01-13,109.2
2017-01-16,108.55
2017-01-17,108.7
2017-01-18,108.3
2017-01-19,108.65
2017-01-20,107.9
2017-01-23,108.25
2017-01-24,107.0
2017-01-25,106.3
2017-01-27,107.2
2017-01-30,105.45
2017-01-31,103.3
2017-02-01,103.7
2017-02-02,108.85
2017-02-03,110.25
2017-02-06,104.75
2017-02-07,95.4
2017-02-08,99.8
2017-02-09,99.4
2017-02-10,97.55
2017-02-13,95.85
2017-02-14,94.9
2017-02-15,92.95
2017-02-16,92.05
2017-02-17,93.35
2017-02-20,93.55
2017-02-21,92.45
2017-02-22,92.95
2017-02-23,93.7
2017-02-27,103.05
2017-02-28,100.65
2017-03-01,101.5
2017-03-02,99.15
2017-03-03,102.0
2017-03-06,99.55
2017-03-07,99.45
2017-03-08,99.25
2017-03-09,95.85
2017-03-10,96.75
2017-03-14,96.5
2017-03-15,97.5
2017-03-16,98.15
2017-03-17,100.05
2017-03-20,100.4
2017-03-21,97.7
2017-03-22,96.9
2017-03-23,96.4
2017-03-24,95.1
2017-03-27,93.8
2017-03-28,92.15
2017-03-29,90.0
2017-03-30,99.0
2017-03-31,99.35
2017-04-03,106.7
2017-04-05,104.7
2017-04-06,103.4
2017-04-07,102.3
2017-04-10,104.05
2017-04-11,104.15
2017-04-12,105.1
2017-04-13,111.95
2017-04-17,134.3
2017-04-18,127.8
2017-04-19,130.5
2017-04-20,126.85
2017-04-21,123.5
2017-04-24,136.3
2017-04-25,136.45
2017-04-26,132.65
2017-04-27,129.35
2017-04-28,141.1
2017-05-02,139.3
2017-05-03,138.9
2017-05-04,137.35
2017-05-05,134.0
2017-05-08,132.75
2017-05-09,136.25
2017-05-10,143.15
2017-05-11,151.5
2017-05-12,151.55
2017-05-15,150.2
2017-05-16,148.4
2017-05-17,149.5
2017-05-18,144.3
2017-05-19,136.2
2017-05-22,145.2
2017-05-23,135.1
2017-05-24,128.6
2017-05-25,137.4
2017-05-26,141.25
2017-05-29,131.7
2017-05-30,134.1
2017-05-31,137.15
2017-06-01,134.45
2017-06-02,133.75
2017-06-05,135.35
2017-06-06,132.75
2017-06-07,131.15
2017-06-08,130.5
2017-06-09,131.6
2017-06-12,129.7
2017-06-13,130.7
2017-06-14,141.85
2017-06-15,139.2
2017-06-16,137.2
2017-06-19,136.45
2017-06-20,132.75
2017-06-21,139.2
2017-06-22,135.75
2017-06-23,132.35
2017-06-27,129.95
2017-06-28,129.25
2017-06-29,128.65
2017-06-30,128.55
2017-07-03,129.95
2017-07-04,129.25
2017-07-05,128.9
2017-07-06,130.8
2017-07-07,129.55
2017-07-10,129.5
2017-07-11,130.05
2017-07-12,128.05
2017-07-13,128.15
2017-07-14,125.2
2017-07-17,130.35
2017-07-18,127.3
2017-07-19,128.5
2017-07-20,127.1
2017-07-21,126.6
2017-07-24,126.55
2017-07-25,125.2
2017-07-26,124.4
2017-07-27,122.3
2017-07-28,122.0
2017-07-31,119.15
2017-08-01,110.35
2017-08-02,105.35
2017-08-03,107.3
2017-08-04,104.4
2017-08-07,107.5
2017-08-08,103.85
2017-08-09,101.9
2017-08-10,93.2
2017-08-11,93.35
2017-08-14,103.65
2017-08-16,110.1
2017-08-17,110.05
2017-08-18,105.2
2017-08-21,103.0
2017-08-22,102.25
2017-08-23,105.05
2017-08-24,103.15
2017-08-28,103.2
2017-08-29,101.55
2017-08-30,103.95
2017-08-31,103.4
2017-09-01,104.05
2017-09-04,102.7
2017-09-05,105.2
2017-09-06,104.7
2017-09-07,125.6
2017-09-08,136.5
2017-09-11,147.55
2017-09-12,139.35
2017-09-13,142.65
2017-09-14,135.3
2017-09-15,136.1
2017-09-18,149.7
2017-09-19,142.9
2017-09-20,142.6
2017-09-21,140.0
2017-09-22,134.0
2017-09-25,129.15
2017-09-26,131.05
2017-09-27,127.9
2017-09-28,129.65
2017-09-29,134.35
2017-10-03,134.5
2017-10-04,139.6
2017-10-05,145.2
2017-10-06,144.45
2017-10-09,149.7
2017-10-10,169.3
2017-10-11,160.25
2017-10-12,161.85
2017-10-13,160.0
2017-10-16,157.6
2017-10-17,153.25
2017-10-18,154.8
2017-10-19,155.8
2017-10-23,155.0
2017-10-24,156.35
2017-10-25,154.75
2017-10-26,153.25
2017-10-27,162.7
2017-10-30,172.4
2017-10-31,167.25
2017-11-01,168.8
2017-11-02,168.3
2017-11-03,167.35
2017-11-06,191.85
2017-11-07,190.65
2017-11-08,185.55
2017-11-09,187.7
2017-11-10,197.15
2017-11-13,234.65
2017-11-14,263.0
2017-11-15,284.5
2017-11-16,312.95
2017-11-17,344.2
2017-11-20,361.4
2017-11-21,379.45
2017-11-22,360.5
2017-11-23,342.5
2017-11-24,325.4
2017-11-27,309.15
2017-11-28,293.7
2017-11-29,281.45
2017-11-30,295.5
2017-12-01,304.85
2017-12-04,289.65
2017-12-05,275.7
2017-12-06,288.7
2017-12-07,346.4
2017-12-08,358.2
2017-12-11,341.0
2017-12-12,341.65
2017-12-13,327.25
2017-12-14,320.05
2017-12-15,319.95
2017-12-18,316.3
2017-12-19,318.15
2017-12-20,311.7
2017-12-21,323.95
2017-12-22,326.75
2017-12-26,319.0
2017-12-27,321.3
2017-12-28,320.65
2017-12-29,317.25
