Symbol,Entropy
MRF,5.435170193521112
EICHERMOT,5.354801769329811
BOSCHLTD,5.2408939654339965
3MINDIA,5.166745873357763
HONAUT,5.166006155332868
SHREECEM,5.133557810324117
PAGEIND,5.119872074954022
MARUTI,4.957700544438577
BAJAJFINSV,4.755347790904367
NESTLEIND,4.739345263004139
WABCOINDIA,4.726730787636463
PGHH,4.722952330434115
SUNCLAYLTD,4.722790163368368
LAXMIMACH,4.704117522951372
BRITANNIA,4.672299613440268
SHARDAMOTR,4.598612120562146
VENKEYS,4.55624099818755
VHL,4.536475512283071
TTKPRESTIG,4.531096350755836
MCDOWELL-N,4.497597910860792
AVANTIFEED,4.493137976207544
SCHAEFFLER,4.4884110374123525
GILLETTE,4.484194254755799
CERA,4.482760034010722
CANFINHOME,4.481425385930507
DALMIABHA,4.479776113581184
TIDEWATER,4.450958015979124
BHARATRAS,4.408700492645835
DYNAMATECH,4.377036619578929
BLUEDART,4.3367517799509425
TVSSRICHAK,4.311529108026602
MAHSCOOTER,4.305160104728122
DRREDDY,4.303700443371675
VSTIND,4.294324420318116
SIYSIL,4.287214147841442
KICL,4.27330908537186
TEAMLEASE,4.27083671446952
ULTRACEMCO,4.261883744543157
DFMFOODS,4.244815161170777
GSKCONS,4.24272506431668
BAYERCROP,4.228429163877076
MOTILALOFS,4.219527659978902
HEROMOTOCO,4.214152814965728
PEL,4.212080489489206
RANEHOLDIN,4.196809388261808
ABBOTINDIA,4.186272135984169
BAJFINANCE,4.18487026303925
APLAPOLLO,4.183533219361864
TIRUMALCHM,4.183331465310547
BASF,4.174594358210818
BALKRISIND,4.170723928471041
JCHAC,4.165210043805193
JUBLFOOD,4.129018515485537
VMART,4.128718566546914
BEML,4.110607222517746
LUMAXIND,4.105536475554964
ORISSAMINE,4.093252312472548
ENDURANCE,4.089795254085122
JINDWORLD,4.08874690851992
BANARISUG,4.061855452772874
PNBHOUSING,4.056640461627149
WEIZFOREX,4.041722717699202
NEULANDLAB,4.038488673523315
SANOFI,4.0312705370297115
TATAELXSI,4.028574488166775
BANKBEES,4.023403830569067
HEG,4.014489636405885
NAVINFLUOR,4.012369810513892
WENDT,4.010968832256954
SWARAJENG,4.0099205389370915
KIRLOSIND,4.005318381867243
OFSS,4.004922611936666
