Date,OILCOUNTUB
2017-01-02,38.5
2017-01-03,39.8
2017-01-04,41.25
2017-01-05,41.5
2017-01-06,40.2
2017-01-09,40.55
2017-01-10,40.6
2017-01-11,40.9
2017-01-12,39.75
2017-01-13,39.7
2017-01-16,41.95
2017-01-17,44.15
2017-01-18,52.05
2017-01-19,53.2
2017-01-20,51.55
2017-01-23,52.8
2017-01-24,53.3
2017-01-25,56.5
2017-01-27,58.35
2017-01-30,54.85
2017-01-31,55.8
2017-02-01,56.45
2017-03-07,45.85
2017-03-08,46.95
2017-03-09,46.15
2017-03-10,45.4
2017-03-14,45.05
2017-03-15,46.15
2017-03-16,48.1
2017-03-17,49.65
2017-03-20,49.3
2017-03-21,47.6
2017-03-22,46.5
2017-03-23,47.65
2017-03-24,47.05
2017-03-27,46.2
2017-03-28,46.35
2017-03-29,46.05
2017-03-30,46.2
2017-03-31,45.8
2017-04-03,47.15
2017-04-05,47.0
2017-04-06,48.3
2017-04-07,48.55
2017-04-10,49.0
2017-04-11,49.5
2017-04-12,49.45
2017-04-13,54.35
2017-04-17,56.4
2017-04-18,54.45
2017-04-19,52.3
2017-04-20,53.1
2017-04-21,52.0
2017-04-24,51.75
2017-04-25,51.85
2017-04-26,56.0
2017-04-27,54.05
2017-04-28,52.65
2017-05-02,51.4
2017-05-03,51.9
2017-05-04,50.4
2017-05-05,48.9
2017-05-08,51.15
2017-05-09,51.85
2017-05-10,51.6
2017-05-11,50.25
2017-05-12,50.1
2017-05-15,50.2
2017-05-16,53.6
2017-05-17,54.9
2017-05-18,53.85
2017-05-19,52.45
2017-05-22,52.7
2017-05-23,52.8
2017-05-24,49.45
2017-05-25,49.9
2017-05-26,48.5
2017-05-29,47.15
2017-05-30,46.7
2017-05-31,46.45
2017-06-01,45.85
2017-06-02,45.8
2017-06-05,45.45
2017-06-06,44.5
2017-06-07,46.45
2017-06-08,48.7
2017-06-09,48.05
2017-06-12,47.0
2017-06-13,47.0
2017-06-14,46.4
2017-06-15,45.75
2017-06-16,51.45
2017-06-19,48.0
2017-06-20,47.65
2017-06-21,47.95
2017-06-22,47.0
2017-06-23,45.55
2017-06-27,44.85
2017-06-28,45.05
2017-06-29,46.95
2017-06-30,47.45
2017-07-03,45.95
2017-07-04,45.65
2017-07-05,46.55
2017-07-06,46.95
2017-07-07,46.5
2017-07-10,46.9
2017-07-11,46.15
2017-07-12,45.95
2017-07-13,45.65
2017-07-14,45.6
2017-07-17,45.7
2017-07-18,45.3
2017-07-19,46.3
2017-07-20,45.3
2017-07-21,46.5
2017-07-24,45.8
2017-07-25,44.95
2017-07-26,45.05
2017-07-27,46.55
2017-07-28,46.4
2017-07-31,46.5
2017-08-01,45.95
2017-08-02,45.45
2017-08-03,45.65
2017-08-04,45.75
2017-08-07,46.05
2017-08-08,44.7
2017-08-09,44.0
2017-08-10,42.55
2017-08-11,40.2
2017-08-14,41.1
2017-08-16,41.6
2017-08-17,43.15
2017-08-18,42.65
2017-08-21,42.8
2017-08-22,42.3
2017-08-23,44.55
2017-08-24,43.55
2017-08-28,43.95
2017-08-29,43.8
2017-08-30,44.2
2017-08-31,43.65
2017-09-01,44.55
2017-09-04,44.25
2017-09-05,44.5
2017-09-06,46.1
2017-09-07,45.1
2017-09-08,45.7
2017-09-11,45.2
2017-09-12,47.8
2017-09-13,48.85
2017-09-14,48.1
2017-09-15,47.0
2017-09-18,48.05
2017-09-19,49.3
2017-09-20,49.65
2017-09-21,48.6
2017-09-22,46.0
2017-09-25,43.9
2017-09-26,45.4
2017-09-27,44.4
2017-09-28,44.15
2017-09-29,44.3
2017-10-03,44.15
2017-10-04,44.3
2017-10-05,44.3
2017-10-06,44.75
2017-10-09,45.35
2017-10-10,45.45
2017-10-11,45.4
2017-10-12,45.4
2017-10-13,46.2
2017-10-16,46.85
2017-10-17,47.4
2017-10-18,46.3
2017-10-19,47.05
2017-10-23,46.65
2017-10-24,47.85
2017-10-25,51.05
2017-10-26,50.35
2017-10-27,53.2
2017-10-30,56.3
2017-10-31,54.2
2017-11-01,57.75
2017-11-02,55.9
2017-11-03,56.55
2017-11-06,58.3
2017-11-07,56.05
2017-11-08,52.6
2017-11-09,53.4
2017-11-10,50.2
2017-11-13,50.05
2017-11-14,48.8
2017-11-15,47.2
2017-11-16,48.2
2017-11-17,49.1
2017-11-20,51.1
2017-11-21,50.3
2017-11-22,49.6
2017-11-23,52.05
2017-11-24,49.3
2017-11-27,50.0
2017-11-28,49.85
2017-11-29,48.9
2017-11-30,48.15
2017-12-01,47.15
2017-12-04,46.9
2017-12-05,47.15
2017-12-06,46.1
2017-12-07,48.25
2017-12-08,48.4
2017-12-11,47.7
2017-12-12,51.75
2017-12-13,49.15
2017-12-14,48.25
2017-12-15,48.0
2017-12-18,47.65
2017-12-19,49.05
2017-12-20,49.5
2017-12-21,50.05
2017-12-22,49.1
2017-12-26,51.6
2017-12-27,54.85
2017-12-28,53.55
2017-12-29,52.0
