Date,INFIBEAM
2017-01-02,1170.35
2017-01-03,1166.7
2017-01-04,1196.2
2017-01-05,1199.25
2017-01-06,1197.2
2017-01-09,1189.3
2017-01-10,1182.3
2017-01-11,1178.7
2017-01-12,1153.2
2017-01-13,1155.45
2017-01-16,1149.35
2017-01-17,1148.7
2017-01-18,1151.8
2017-01-19,1149.6
2017-01-20,1152.5
2017-01-23,1162.3
2017-01-24,1149.35
2017-01-25,1269.35
2017-01-27,1296.35
2017-01-30,1256.0
2017-01-31,1260.55
2017-02-01,1267.0
2017-02-02,1265.35
2017-02-03,1273.9
2017-02-06,1283.8
2017-02-07,1339.6
2017-02-08,1359.85
2017-02-09,1374.15
2017-02-10,1355.9
2017-02-13,1365.4
2017-02-14,1387.6
2017-02-15,1361.4
2017-02-16,1368.25
2017-02-17,1358.6
2017-02-20,1365.4
2017-02-21,1409.7
2017-02-22,1428.0
2017-02-23,1411.4
2017-02-27,1401.2
2017-02-28,1381.4
2017-03-01,1394.8
2017-03-02,1387.2
2017-03-03,1387.25
2017-03-06,1389.4
2017-03-07,1391.25
2017-03-08,1387.15
2017-03-09,1377.5
2017-03-10,1381.85
2017-03-14,1397.85
2017-03-15,1399.15
2017-03-16,1403.5
2017-03-17,1405.7
2017-03-20,1411.75
2017-03-21,1398.05
2017-03-22,1352.85
2017-03-23,1393.95
2017-03-24,1379.3
2017-03-27,1218.95
2017-03-28,1215.2
2017-03-29,1175.8
2017-03-30,1126.85
2017-03-31,947.15
2017-04-03,948.65
2017-04-05,936.9
2017-04-06,953.4
2017-04-07,971.15
2017-04-10,971.2
2017-04-11,989.45
2017-04-12,997.15
2017-04-13,1023.4
2017-04-17,1072.45
2017-04-18,1070.65
2017-04-19,1094.8
2017-04-20,1095.55
2017-04-21,1100.2
2017-04-24,1097.25
2017-04-25,1112.6
2017-04-26,1104.35
2017-04-27,1100.6
2017-04-28,1059.45
2017-05-02,1044.1
2017-05-03,1033.2
2017-05-04,1023.25
2017-05-05,1038.3
2017-05-08,1005.55
2017-05-09,1007.65
2017-05-10,1003.15
2017-05-11,1005.6
2017-05-12,998.55
2017-05-15,995.75
2017-05-16,996.2
2017-05-17,998.75
2017-05-18,1004.95
2017-05-19,1014.45
2017-05-22,1022.05
2017-05-23,1012.6
2017-05-24,1009.1
2017-05-25,1042.05
2017-05-26,991.25
2017-05-29,974.0
2017-05-30,935.5
2017-05-31,960.85
2017-06-01,971.4
2017-06-02,984.5
2017-06-05,990.3
2017-06-06,971.05
2017-06-07,987.25
2017-06-08,994.1
2017-06-09,991.85
2017-06-12,996.3
2017-06-13,1002.3
2017-06-14,1012.25
2017-06-15,1043.8
2017-06-16,1035.3
2017-06-19,1048.7
2017-06-20,1054.0
2017-06-21,1050.85
2017-06-22,1039.5
2017-06-23,1036.85
2017-06-27,1049.85
2017-06-28,1044.65
2017-06-29,1043.1
2017-06-30,1110.9
2017-07-03,1165.35
2017-07-04,1138.4
2017-07-05,1133.1
2017-07-06,1133.15
2017-07-07,1148.6
2017-07-10,1148.95
2017-07-11,1130.5
2017-07-12,1104.1
2017-07-13,1126.1
2017-07-14,1130.05
2017-07-17,1124.4
2017-07-18,1184.5
2017-07-19,1212.8
2017-07-20,1248.8
2017-07-21,1270.15
2017-07-24,1299.95
2017-07-25,1321.25
2017-07-26,1370.8
2017-07-27,1352.35
2017-07-28,1305.75
2017-07-31,1415.35
2017-08-01,1444.4
2017-08-02,1381.5
2017-08-03,1399.25
2017-08-04,1415.35
2017-08-07,1457.9
2017-08-08,1466.65
2017-08-09,1442.0
2017-08-10,1358.25
2017-08-11,1375.15
2017-08-14,1431.1
2017-08-16,1435.7
