Date,INFRATEL
2017-01-02,344.2
2017-01-03,341.5
2017-01-04,352.35
2017-01-05,350.1
2017-01-06,354.25
2017-01-09,349.2
2017-01-10,353.55
2017-01-11,353.25
2017-01-12,358.85
2017-01-13,353.8
2017-01-16,355.55
2017-01-17,353.3
2017-01-18,350.55
2017-01-19,358.25
2017-01-20,353.2
2017-01-23,346.8
2017-01-24,350.65
2017-01-25,351.75
2017-01-27,353.9
2017-01-30,328.7
2017-01-31,293.8
2017-02-01,294.35
2017-02-02,292.5
2017-02-03,299.85
2017-02-06,304.55
2017-02-07,301.3
2017-02-08,310.05
2017-02-09,319.0
2017-02-10,317.05
2017-02-13,320.5
2017-02-14,318.75
2017-02-15,323.75
2017-02-16,319.25
2017-02-17,307.75
2017-02-20,308.75
2017-02-21,295.6
2017-02-22,300.75
2017-02-23,297.9
2017-02-27,288.15
2017-02-28,284.25
2017-03-01,288.95
2017-03-02,289.8
2017-03-03,307.9
2017-03-06,310.1
2017-03-07,310.1
2017-03-08,309.95
2017-03-09,305.15
2017-03-10,308.45
2017-03-14,310.05
2017-03-15,308.9
2017-03-16,310.5
2017-03-17,309.7
2017-03-20,308.8
2017-03-21,313.45
2017-03-22,312.95
2017-03-23,313.55
2017-03-24,310.4
2017-03-27,312.55
2017-03-28,318.65
2017-03-29,336.85
2017-03-30,336.7
2017-03-31,325.9
2017-04-03,329.55
2017-04-05,337.7
2017-04-06,339.15
2017-04-07,347.6
2017-04-10,357.0
2017-04-11,355.55
2017-04-12,367.05
2017-04-13,355.05
2017-04-17,344.35
2017-04-18,336.9
2017-04-19,346.7
2017-04-20,342.7
2017-04-21,352.85
2017-04-24,358.25
2017-04-25,375.25
2017-04-26,367.3
2017-04-27,366.8
2017-04-28,354.7
2017-05-02,354.2
2017-05-03,363.0
2017-05-04,363.35
2017-05-05,366.6
2017-05-08,364.45
2017-05-09,365.9
2017-05-10,366.65
2017-05-11,378.3
2017-05-12,374.7
2017-05-15,371.05
2017-05-16,376.55
2017-05-17,389.9
2017-05-18,378.9
2017-05-19,378.95
2017-05-22,387.95
2017-05-23,379.85
2017-05-24,369.0
2017-05-25,373.5
2017-05-26,369.95
2017-05-29,379.35
2017-05-30,372.25
2017-05-31,366.6
2017-06-01,376.25
2017-06-02,374.65
2017-06-05,382.45
2017-06-06,383.15
2017-06-07,383.2
2017-06-08,379.85
2017-06-09,382.65
2017-06-12,384.75
2017-06-13,384.2
2017-06-14,386.1
2017-06-15,374.8
2017-06-16,375.1
2017-06-19,376.55
2017-06-20,377.1
2017-06-21,371.7
2017-06-22,375.0
2017-06-23,372.15
2017-06-27,373.3
2017-06-28,376.45
2017-06-29,378.2
2017-06-30,374.55
2017-07-03,397.75
2017-07-04,401.55
2017-07-05,403.05
2017-07-06,414.7
2017-07-07,404.35
2017-07-10,410.3
2017-07-11,409.85
2017-07-12,420.3
2017-07-13,410.6
2017-07-14,417.8
2017-07-17,418.65
2017-07-18,418.2
2017-07-19,415.15
2017-07-20,406.1
2017-07-21,410.3
2017-07-24,408.9
2017-07-25,415.65
2017-07-26,413.5
2017-07-27,411.05
2017-07-28,403.9
2017-07-31,401.4
2017-08-01,403.7
2017-08-02,397.85
2017-08-03,403.95
2017-08-04,406.55
2017-08-07,397.85
2017-08-08,383.6
2017-08-09,381.7
2017-08-10,382.45
2017-08-11,382.3
2017-08-14,379.85
2017-08-16,382.9
2017-08-17,379.35
2017-08-18,395.3
2017-08-21,386.6
2017-08-22,387.85
2017-08-23,382.8
2017-08-24,383.9
2017-08-28,386.7
2017-08-29,380.3
2017-08-30,384.75
2017-08-31,375.2
2017-09-01,379.7
2017-09-04,377.75
2017-09-05,371.85
2017-09-06,371.45
2017-09-07,370.15
2017-09-08,370.65
2017-09-11,369.5
2017-09-12,370.1
2017-09-13,370.65
2017-09-14,370.05
2017-09-15,374.0
2017-09-18,389.1
2017-09-19,398.3
2017-09-20,393.95
2017-09-21,387.65
2017-09-22,390.0
2017-09-25,391.35
2017-09-26,376.4
2017-09-27,382.65
2017-09-28,392.6
2017-09-29,398.4
2017-10-03,408.5
2017-10-04,416.5
2017-10-05,404.65
2017-10-06,399.95
2017-10-09,398.5
2017-10-10,399.85
2017-10-11,410.5
2017-10-12,432.0
2017-10-13,449.95
2017-10-16,471.5
2017-10-17,479.2
2017-10-18,461.75
2017-10-19,460.25
2017-10-23,449.0
2017-10-24,453.3
2017-10-25,452.15
2017-10-26,455.4
2017-10-27,418.55
2017-10-30,429.7
2017-10-31,442.15
2017-11-01,426.55
2017-11-02,418.65
2017-11-03,413.75
2017-11-06,424.05
2017-11-07,427.05
2017-11-08,435.15
2017-11-09,429.2
2017-11-10,426.75
2017-11-13,415.5
2017-11-14,396.95
2017-11-15,377.65
2017-11-16,384.65
2017-11-17,380.15
2017-11-20,383.7
2017-11-21,383.55
2017-11-22,376.45
2017-11-23,374.6
2017-11-24,380.8
2017-11-27,386.6
2017-11-28,377.85
2017-11-29,384.15
2017-11-30,383.7
2017-12-01,385.95
2017-12-04,376.5
2017-12-05,378.55
2017-12-06,370.35
2017-12-07,382.35
2017-12-08,373.7
2017-12-11,368.05
2017-12-12,355.4
2017-12-13,357.7
2017-12-14,356.65
2017-12-15,354.5
2017-12-18,357.75
2017-12-19,362.5
2017-12-20,364.25
2017-12-21,361.6
2017-12-22,363.95
2017-12-26,369.6
2017-12-27,367.5
2017-12-28,368.15
2017-12-29,378.75
