Date,OCCL
2017-01-02,778.75
2017-01-03,769.95
2017-01-04,766.7
2017-01-05,771.0
2017-01-06,816.4
2017-01-09,784.95
2017-01-10,770.05
2017-01-11,802.75
2017-01-12,815.55
2017-01-13,809.2
2017-01-16,826.45
2017-01-17,828.6
2017-01-18,812.15
2017-01-19,809.5
2017-01-20,819.15
2017-01-23,798.45
2017-01-24,814.6
2017-01-25,815.5
2017-01-27,825.85
2017-01-30,830.9
2017-01-31,827.55
2017-02-01,834.55
2017-02-02,834.75
2017-02-03,859.35
2017-02-06,878.7
2017-02-07,856.25
2017-02-08,876.7
2017-02-09,879.7
2017-02-10,874.55
2017-02-13,872.5
2017-02-14,864.15
2017-02-15,856.75
2017-02-16,860.9
2017-02-17,860.95
2017-02-20,865.6
2017-02-21,864.6
2017-02-22,857.05
2017-02-23,870.9
2017-02-27,899.15
2017-02-28,890.0
2017-03-01,934.6
2017-03-02,917.65
2017-03-03,920.45
2017-03-06,904.35
2017-03-07,905.95
2017-03-08,925.6
2017-03-09,914.1
2017-03-10,918.8
2017-03-14,909.75
2017-03-15,922.65
2017-03-16,907.85
2017-03-17,899.45
2017-03-20,889.15
2017-03-21,882.2
2017-03-22,868.25
2017-03-23,885.75
2017-03-24,885.95
2017-03-27,888.0
2017-03-28,868.0
2017-03-29,872.5
2017-03-30,860.65
2017-03-31,915.2
2017-04-03,990.95
2017-04-05,972.4
2017-04-06,985.2
2017-04-07,981.95
2017-04-10,984.7
2017-04-11,984.0
2017-04-12,958.25
2017-04-13,968.6
2017-04-17,960.2
2017-04-18,944.8
2017-04-19,945.6
2017-04-20,954.7
2017-04-21,954.4
2017-04-24,962.1
2017-04-25,949.3
2017-04-26,951.35
2017-04-27,940.6
2017-04-28,939.3
2017-05-02,937.3
2017-05-03,933.5
2017-05-04,946.5
2017-05-05,938.05
2017-05-08,954.0
2017-05-09,975.35
2017-05-10,981.3
2017-05-11,970.0
2017-05-12,963.55
2017-05-15,951.25
2017-05-16,945.35
2017-05-17,954.95
2017-05-18,950.8
2017-05-19,940.5
2017-05-22,947.65
2017-05-23,923.95
2017-05-24,921.3
2017-05-25,950.25
2017-05-26,955.35
2017-05-29,931.2
2017-05-30,921.85
2017-05-31,997.3
2017-06-01,1000.0
2017-06-02,995.55
2017-06-05,981.4
2017-06-06,979.15
2017-06-07,964.45
2017-06-08,988.45
2017-06-09,988.45
2017-06-12,988.25
