Date,QUESS
2017-01-02,656.5
2017-01-03,664.05
2017-01-04,669.4
2017-01-05,669.35
2017-01-06,668.2
2017-01-09,666.85
2017-01-10,653.5
2017-01-11,675.75
2017-01-12,678.3
2017-01-13,677.55
2017-01-16,664.55
2017-01-17,667.6
2017-01-18,675.1
2017-01-19,667.7
2017-01-20,669.25
2017-01-23,670.6
2017-01-24,684.4
2017-01-25,730.95
2017-01-27,711.3
2017-01-30,684.6
2017-01-31,677.7
2017-02-01,677.5
2017-02-02,676.45
2017-02-03,673.1
2017-02-06,677.55
2017-02-07,683.0
2017-02-08,679.65
2017-02-09,675.65
2017-02-10,657.55
2017-02-13,649.5
2017-02-14,659.7
2017-02-15,652.35
2017-02-16,648.05
2017-02-17,654.95
2017-02-20,648.8
2017-02-21,655.3
2017-02-22,654.4
2017-02-23,645.2
2017-02-27,649.55
2017-02-28,652.9
2017-03-01,651.05
2017-03-02,636.95
2017-03-03,638.5
2017-03-06,638.95
2017-03-07,640.7
2017-03-08,638.55
2017-03-09,639.0
2017-03-10,665.5
2017-03-14,679.4
2017-03-15,680.05
2017-03-16,689.15
2017-03-17,684.1
2017-03-20,685.75
2017-03-21,692.3
2017-03-22,688.55
2017-03-23,689.2
2017-03-24,691.25
2017-03-27,690.75
2017-03-28,688.5
2017-03-29,688.7
2017-03-30,689.7
2017-03-31,690.4
2017-04-03,706.75
2017-04-05,719.95
2017-04-06,729.7
2017-04-07,723.05
2017-04-10,722.9
2017-04-11,741.7
2017-04-12,762.75
2017-04-13,751.15
2017-04-17,759.05
2017-04-18,749.15
2017-04-19,745.75
2017-04-20,761.1
2017-04-21,782.6
2017-04-24,779.25
2017-04-25,797.75
2017-04-26,793.65
2017-04-27,791.75
2017-04-28,794.45
2017-05-02,789.2
2017-05-03,791.15
2017-05-04,803.95
2017-05-05,816.45
2017-05-08,825.85
2017-05-09,847.65
2017-05-10,879.0
2017-05-11,857.85
2017-05-12,833.6
2017-05-15,841.65
2017-05-16,849.65
2017-05-17,824.0
2017-05-18,832.25
2017-05-19,835.65
2017-05-22,820.15
2017-05-23,784.55
2017-05-24,820.05
2017-05-25,840.9
2017-05-26,848.65
2017-05-29,841.2
2017-05-30,864.45
2017-05-31,894.45
2017-06-01,913.85
2017-06-02,928.3
2017-06-05,915.1
2017-06-06,902.4
2017-06-07,899.35
2017-06-08,905.45
2017-06-09,895.6
2017-06-12,894.85
2017-06-13,890.4
2017-06-14,885.0
2017-06-15,896.65
2017-06-16,907.2
2017-06-19,893.8
2017-06-20,900.6
2017-06-21,897.15
2017-06-22,889.35
2017-06-23,895.85
2017-06-27,898.85
2017-06-28,896.25
2017-06-29,908.2
2017-06-30,927.6
2017-07-03,934.65
2017-07-04,944.35
2017-07-05,917.4
2017-07-06,884.65
2017-07-07,892.45
2017-07-10,899.9
2017-07-11,908.1
2017-07-12,918.75
2017-07-13,924.75
2017-07-14,940.85
2017-07-17,955.2
2017-07-18,935.9
2017-07-19,922.65
2017-07-20,922.6
2017-07-21,918.05
2017-07-24,893.8
2017-07-25,897.15
2017-07-26,874.25
2017-07-27,886.5
2017-07-28,896.75
2017-07-31,896.6
2017-08-01,891.9
2017-08-02,898.5
2017-08-03,896.55
2017-08-04,897.95
2017-08-07,896.65
2017-08-08,897.8
2017-08-09,894.55
2017-08-10,891.6
2017-08-11,866.0
2017-08-14,899.0
2017-08-16,894.85
2017-08-17,897.75
2017-08-18,893.95
2017-08-21,877.2
2017-08-22,869.7
2017-08-23,810.25
2017-08-24,827.35
2017-08-28,823.65
2017-08-29,839.75
2017-08-30,844.95
2017-08-31,847.45
2017-09-01,843.5
2017-09-04,845.5
2017-09-05,836.3
2017-09-06,829.55
2017-09-07,831.15
2017-09-08,831.1
2017-09-11,810.0
2017-09-12,833.45
2017-09-13,842.35
2017-09-14,840.95
2017-09-15,836.5
2017-09-18,839.5
2017-09-19,844.4
2017-09-20,849.55
2017-09-21,849.95
2017-09-22,822.2
2017-09-25,834.3
2017-09-26,826.75
2017-09-27,813.2
2017-09-28,825.8
2017-09-29,835.9
2017-10-03,827.75
2017-10-04,831.95
2017-10-05,828.1
2017-10-06,833.5
2017-10-09,827.85
2017-10-10,831.9
2017-10-11,822.55
2017-10-12,830.0
2017-10-13,830.85
2017-10-16,835.3
2017-10-17,831.0
2017-10-18,829.25
2017-10-19,837.65
2017-10-23,830.2
2017-10-24,835.2
2017-10-25,849.4
2017-10-26,866.05
2017-10-27,867.05
2017-10-30,859.1
2017-10-31,848.5
2017-11-01,842.3
2017-11-02,841.6
2017-11-03,834.95
2017-11-06,829.6
2017-11-07,812.75
2017-11-08,800.35
2017-11-09,821.95
2017-11-10,826.45
2017-11-13,830.0
2017-11-14,820.55
2017-11-15,808.65
2017-11-16,817.0
2017-11-17,818.6
2017-11-20,865.2
2017-11-21,908.7
2017-11-22,914.4
2017-11-23,858.0
2017-11-24,924.45
2017-11-27,914.4
2017-11-28,921.95
2017-11-29,932.6
2017-11-30,941.15
2017-12-01,923.45
2017-12-04,939.25
2017-12-05,944.8
2017-12-06,939.05
2017-12-07,951.65
2017-12-08,977.5
2017-12-11,1063.4
2017-12-12,1051.25
2017-12-13,1011.25
2017-12-14,1022.75
2017-12-15,1038.45
2017-12-18,1036.15
2017-12-19,1051.35
2017-12-20,1074.95
2017-12-21,1080.15
2017-12-22,1073.95
2017-12-26,1089.3
2017-12-27,1086.45
2017-12-28,1132.2
2017-12-29,1154.15
