Date,SMSPHARMA
2017-01-02,88.25
2017-01-03,89.45
2017-01-04,89.4
2017-01-05,90.7
2017-01-06,94.55
2017-01-09,91.15
2017-01-10,90.65
2017-01-11,92.45
2017-01-12,90.35
2017-01-13,89.6
2017-01-16,89.95
2017-01-17,89.6
2017-01-18,88.9
2017-01-19,89.45
2017-01-20,88.4
2017-01-23,89.75
2017-01-24,90.25
2017-01-25,90.4
2017-01-27,89.5
2017-01-30,89.6
2017-01-31,86.95
2017-02-01,86.8
2017-02-02,86.9
2017-02-03,86.95
2017-02-06,92.05
2017-02-07,92.95
2017-02-08,91.75
2017-02-09,94.05
2017-02-10,96.2
2017-02-13,93.45
2017-02-14,92.15
2017-02-15,90.25
2017-02-16,89.85
2017-02-17,90.85
2017-02-20,91.8
2017-02-21,90.45
2017-02-22,89.5
2017-02-23,89.65
2017-02-27,88.55
2017-02-28,89.2
2017-03-01,90.25
2017-03-02,88.3
2017-03-03,87.95
2017-03-06,88.7
2017-03-07,87.4
2017-03-08,86.15
2017-03-09,86.3
2017-03-10,87.5
2017-03-14,87.1
2017-03-15,87.7
2017-03-16,87.65
2017-03-17,87.65
2017-03-20,87.4
2017-03-21,87.2
2017-03-22,85.95
2017-03-23,85.65
2017-03-24,86.0
2017-03-27,86.05
2017-03-28,86.6
2017-03-29,85.65
2017-03-30,86.05
2017-03-31,85.65
2017-04-03,87.25
2017-04-05,88.0
2017-04-06,87.65
2017-04-07,91.55
2017-04-10,91.55
2017-04-11,90.2
2017-04-12,88.9
2017-04-13,89.25
2017-04-17,89.9
2017-04-18,88.4
2017-04-19,87.45
2017-04-20,88.05
2017-04-21,87.55
2017-04-24,87.5
2017-04-25,88.55
2017-04-26,88.9
2017-04-27,88.5
2017-04-28,91.45
2017-05-02,92.15
2017-05-03,92.45
2017-05-04,90.95
2017-05-05,89.55
2017-05-08,88.75
2017-05-09,89.85
2017-05-10,90.95
2017-05-11,89.1
2017-05-12,88.35
2017-05-15,89.2
2017-05-16,90.45
2017-05-17,91.7
2017-05-18,89.45
2017-05-19,88.65
2017-05-22,87.4
2017-05-23,85.9
2017-05-24,83.35
2017-05-25,81.45
2017-05-26,82.0
2017-05-29,81.2
2017-05-30,83.25
2017-05-31,81.65
2017-06-01,80.55
2017-06-02,81.4
2017-06-05,81.2
2017-06-06,81.45
2017-06-07,82.2
2017-06-08,81.6
2017-06-09,81.75
2017-06-12,82.1
2017-06-13,84.35
2017-06-14,87.5
2017-06-15,84.55
2017-06-16,81.75
2017-06-19,83.1
2017-06-20,83.8
2017-06-21,88.6
2017-07-07,84.1
2017-07-10,85.0
2017-07-11,83.85
2017-07-12,84.05
2017-07-13,84.7
2017-07-14,83.2
2017-07-17,83.15
2017-07-18,81.85
2017-07-19,83.1
2017-07-20,83.45
2017-07-21,83.3
2017-07-24,82.2
2017-07-25,82.05
2017-07-26,81.25
2017-07-27,80.05
2017-07-28,78.2
2017-07-31,78.6
2017-08-01,77.6
2017-08-02,77.0
2017-08-03,76.3
2017-08-04,76.6
2017-08-07,75.2
2017-08-08,75.0
2017-08-09,74.1
2017-08-10,69.6
2017-08-11,69.1
2017-08-14,72.05
2017-08-16,73.15
2017-08-17,75.15
2017-08-18,74.35
2017-08-21,70.9
2017-08-22,72.3
2017-08-23,82.75
2017-08-24,79.95
2017-08-28,79.5
2017-08-29,76.6
2017-08-30,76.8
2017-08-31,77.0
2017-09-01,76.75
2017-09-04,76.3
2017-09-05,77.15
2017-09-06,84.4
2017-09-07,86.5
2017-09-08,84.8
2017-09-11,84.75
2017-09-12,88.85
2017-09-13,85.35
2017-09-14,90.6
2017-09-15,91.1
2017-09-18,90.3
2017-09-19,89.3
2017-09-20,91.9
2017-09-21,110.25
2017-09-22,110.7
2017-09-25,105.4
2017-09-26,112.45
2017-09-27,106.9
2017-09-28,106.1
2017-09-29,105.65
2017-10-03,101.95
2017-10-04,102.75
2017-10-05,105.1
2017-10-06,105.5
2017-10-09,101.8
2017-10-10,102.0
2017-10-11,101.4
2017-10-12,104.15
2017-10-13,105.1
2017-10-16,104.25
2017-10-17,105.9
2017-10-18,104.05
2017-10-19,104.75
2017-10-23,103.7
2017-10-24,102.3
2017-10-25,101.85
2017-10-26,103.0
2017-10-27,101.45
2017-10-30,98.15
2017-10-31,98.2
2017-11-01,97.55
2017-11-02,100.15
2017-11-03,99.3
2017-11-06,99.2
2017-11-07,96.55
2017-11-08,97.2
2017-11-09,97.35
2017-11-10,95.85
2017-11-13,95.55
2017-11-14,97.1
2017-11-15,97.0
2017-11-16,99.75
2017-11-17,100.25
2017-11-20,107.65
2017-11-21,104.6
2017-11-22,103.65
2017-11-23,103.5
2017-11-24,102.25
2017-11-27,102.25
2017-11-28,102.15
2017-11-29,101.9
2017-11-30,101.8
2017-12-01,106.5
2017-12-04,107.95
2017-12-05,110.15
2017-12-06,111.2
2017-12-07,109.15
2017-12-08,105.35
2017-12-11,104.8
2017-12-12,104.55
2017-12-13,105.8
2017-12-14,102.3
2017-12-15,101.35
2017-12-18,100.8
2017-12-19,101.4
2017-12-20,101.85
2017-12-21,101.7
2017-12-22,100.75
2017-12-26,105.45
2017-12-27,104.0
2017-12-28,103.0
2017-12-29,103.4
