Date,PIIND
2017-01-02,826.85
2017-01-03,827.35
2017-01-04,828.8
2017-01-05,835.5
2017-01-06,841.5
2017-01-09,829.7
2017-01-10,814.35
2017-01-11,816.4
2017-01-12,825.05
2017-01-13,829.45
2017-01-16,821.5
2017-01-17,821.05
2017-01-18,835.3
2017-01-19,860.5
2017-01-20,839.35
2017-01-23,836.05
2017-01-24,893.65
2017-01-25,877.3
2017-01-27,871.6
2017-01-30,883.2
2017-01-31,870.75
2017-02-01,876.3
2017-02-02,916.2
2017-02-03,933.65
2017-02-06,928.8
2017-02-07,922.4
2017-02-08,892.45
2017-02-09,881.75
2017-02-10,891.5
2017-02-13,903.6
2017-02-14,900.95
2017-02-15,878.2
2017-02-16,862.7
2017-02-17,869.2
2017-02-20,885.2
2017-02-21,868.5
2017-02-22,853.7
2017-02-23,859.5
2017-02-27,853.7
2017-02-28,849.4
2017-03-01,828.2
2017-03-02,818.4
2017-03-03,818.8
2017-03-06,829.8
2017-03-07,821.1
2017-03-08,823.85
2017-03-09,842.3
2017-03-10,861.25
2017-03-14,882.35
2017-03-15,899.45
2017-03-16,884.55
2017-03-17,907.25
2017-03-20,882.2
2017-03-21,882.7
2017-03-22,849.05
2017-03-23,856.15
2017-03-24,853.45
2017-03-27,855.8
2017-03-28,851.3
2017-03-29,833.65
2017-03-30,830.45
2017-03-31,838.15
2017-04-03,827.5
2017-04-05,839.15
2017-04-06,842.05
2017-04-07,831.75
2017-04-10,833.15
2017-04-11,836.4
2017-04-12,837.35
2017-04-13,833.0
2017-04-17,824.9
2017-04-18,825.1
2017-04-19,840.25
2017-04-20,850.65
2017-04-21,866.8
2017-04-24,890.35
2017-04-25,879.2
2017-04-26,871.35
2017-04-27,864.2
2017-04-28,870.1
2017-05-02,867.05
2017-05-03,863.7
2017-05-04,861.15
2017-05-05,847.7
2017-05-08,842.7
2017-05-09,842.05
2017-05-10,844.05
2017-05-11,861.1
2017-05-12,835.5
2017-05-15,830.1
2017-05-16,832.2
2017-05-17,842.65
2017-05-18,816.25
2017-05-19,809.2
2017-05-22,816.45
2017-05-23,814.65
2017-05-24,806.45
2017-05-25,811.95
2017-05-26,819.2
2017-05-29,809.95
2017-05-30,809.95
2017-05-31,818.85
2017-06-01,811.85
2017-06-02,810.0
2017-06-05,816.15
2017-06-06,810.95
2017-06-07,811.45
2017-06-08,829.3
2017-06-09,824.55
2017-06-12,809.55
2017-06-13,808.9
2017-06-14,833.1
2017-06-15,812.25
2017-06-16,817.45
2017-06-19,812.6
2017-06-20,813.55
2017-06-21,810.75
2017-06-22,810.75
2017-06-23,810.5
2017-06-27,811.35
2017-06-28,814.1
2017-06-29,823.5
2017-06-30,837.5
2017-07-03,826.9
2017-07-04,813.05
2017-07-05,810.75
2017-07-06,808.75
2017-07-07,802.3
2017-07-10,805.1
2017-07-11,795.85
2017-07-12,795.55
2017-07-13,781.75
2017-07-14,791.75
2017-07-17,795.1
2017-07-18,779.6
2017-07-19,779.35
2017-07-20,762.95
2017-07-21,760.3
2017-07-24,751.65
2017-07-25,753.1
2017-07-26,774.45
2017-07-27,764.8
2017-07-28,765.1
2017-07-31,765.75
2017-08-01,763.2
2017-08-02,757.4
2017-08-03,729.15
2017-08-04,735.5
2017-08-07,748.65
2017-08-08,746.7
2017-08-09,730.05
2017-08-10,700.5
2017-08-11,692.25
2017-08-14,712.35
2017-08-16,743.0
2017-08-17,739.6
2017-08-18,763.9
2017-08-21,751.4
2017-08-22,727.2
2017-08-23,734.8
2017-08-24,728.7
2017-08-28,723.95
2017-08-29,713.1
2017-08-30,721.0
2017-08-31,721.7
2017-09-01,729.65
2017-09-04,709.35
2017-09-05,701.1
2017-09-06,711.5
2017-09-07,738.6
2017-09-08,730.15
2017-09-11,741.8
2017-09-12,758.25
2017-09-13,745.35
2017-09-14,741.55
2017-09-15,774.8
2017-09-18,774.6
2017-09-19,773.65
2017-09-20,770.75
2017-09-21,784.0
2017-09-22,765.25
2017-09-25,750.95
2017-09-26,765.3
2017-09-27,750.3
2017-09-28,741.6
2017-09-29,740.5
2017-10-03,752.8
2017-10-04,743.15
2017-10-05,741.25
2017-10-06,753.35
2017-10-09,746.85
2017-10-10,747.0
2017-10-11,748.15
2017-10-12,751.95
2017-10-13,755.45
2017-10-16,764.4
2017-10-17,792.8
2017-10-18,789.3
2017-10-19,782.4
2017-10-23,781.1
2017-10-24,793.0
2017-10-25,785.55
2017-10-26,756.75
2017-10-27,754.5
2017-10-30,824.15
2017-10-31,820.8
2017-11-01,804.25
2017-11-02,819.3
2017-11-03,818.5
2017-11-06,830.45
2017-11-07,811.95
2017-11-08,810.6
2017-11-09,813.55
2017-11-10,832.65
2017-11-13,844.0
2017-11-14,827.15
2017-11-15,820.2
2017-11-16,837.0
2017-11-17,824.7
2017-11-20,828.7
2017-11-21,820.3
2017-11-22,836.85
2017-11-23,854.9
2017-11-24,870.85
2017-11-27,891.9
2017-11-28,942.65
2017-11-29,934.1
2017-11-30,952.35
2017-12-01,959.95
2017-12-04,943.2
2017-12-05,952.0
2017-12-06,964.6
2017-12-07,940.65
2017-12-08,955.15
2017-12-11,944.75
2017-12-12,937.65
2017-12-13,940.95
2017-12-14,904.85
2017-12-15,939.45
2017-12-18,974.1
2017-12-19,986.4
2017-12-20,982.6
2017-12-21,968.65
2017-12-22,960.35
2017-12-26,956.1
2017-12-27,961.35
2017-12-28,965.6
2017-12-29,962.5
