Date,FMNL
2017-01-02,37.1
2017-01-03,36.4
2017-01-04,37.0
2017-01-05,37.25
2017-01-06,36.25
2017-01-09,37.7
2017-01-10,36.6
2017-01-11,37.0
2017-01-12,37.0
2017-01-13,37.05
2017-01-16,37.5
2017-01-17,37.5
2017-01-18,45.0
2017-01-19,50.8
2017-01-20,45.8
2017-01-23,44.65
2017-01-24,44.5
2017-01-25,53.4
2017-01-27,50.75
2017-01-30,49.65
2017-01-31,46.9
2017-02-01,50.2
2017-02-02,49.05
2017-02-03,48.55
2017-02-06,50.1
2017-02-07,51.15
2017-02-08,54.95
2017-02-09,54.75
2017-02-10,52.7
2017-02-13,50.45
2017-02-14,47.85
2017-02-15,45.2
2017-02-16,46.8
2017-02-17,51.2
2017-02-20,50.2
2017-02-21,52.25
2017-02-22,51.1
2017-02-23,50.0
2017-02-27,52.15
2017-02-28,54.0
2017-03-01,57.55
2017-03-02,63.4
2017-03-03,62.85
2017-03-06,63.3
2017-03-07,63.9
2017-03-08,61.45
2017-03-09,69.2
2017-03-10,72.8
2017-03-14,85.3
2017-03-15,91.05
2017-03-16,90.55
2017-03-17,86.9
2017-03-20,89.3
2017-03-21,80.7
2017-03-22,73.1
2017-03-23,75.35
2017-03-24,72.1
2017-03-27,70.65
2017-03-28,73.35
2017-03-29,70.95
2017-03-30,71.65
2017-03-31,73.45
2017-04-03,74.2
2017-04-05,77.9
2017-04-06,81.15
2017-04-07,79.9
2017-04-10,78.0
2017-04-11,79.4
2017-04-12,76.55
2017-04-13,74.85
2017-04-17,76.1
2017-04-18,73.45
2017-04-19,75.0
2017-04-20,73.5
2017-04-21,74.3
2017-04-24,74.2
2017-04-25,80.05
2017-04-26,87.9
2017-04-27,84.85
2017-04-28,82.8
2017-05-02,83.75
2017-05-03,84.0
2017-05-04,83.9
2017-05-05,83.15
2017-05-08,82.55
2017-05-09,80.55
2017-05-10,80.65
2017-05-11,80.05
2017-05-12,80.15
2017-05-15,77.6
2017-05-16,77.6
2017-05-17,78.05
2017-05-18,77.4
2017-05-19,76.35
2017-05-22,75.05
2017-05-23,70.8
2017-05-24,77.85
2017-05-25,75.15
2017-05-26,75.6
2017-05-29,71.5
2017-05-30,71.85
2017-05-31,69.45
2017-06-01,72.95
2017-06-02,71.7
2017-06-05,71.75
2017-06-06,71.6
2017-06-07,72.45
2017-06-08,74.7
2017-06-09,73.8
2017-06-12,72.4
2017-06-13,72.3
2017-06-14,71.8
2017-06-15,75.75
2017-06-16,73.05
2017-06-19,72.1
2017-06-20,72.9
2017-06-21,72.8
2017-06-22,72.0
2017-06-23,72.25
2017-06-27,69.5
2017-06-28,70.75
2017-06-29,70.7
2017-06-30,70.5
2017-07-03,74.05
2017-07-04,73.75
2017-07-05,71.15
2017-07-06,70.9
2017-07-07,69.9
2017-07-10,71.25
2017-07-11,70.05
2017-07-12,70.1
2017-07-13,70.45
2017-07-14,70.75
2017-07-17,69.85
2017-07-18,69.6
2017-07-19,76.3
2017-07-20,74.6
2017-07-21,75.65
2017-07-24,76.5
2017-07-25,73.95
2017-07-26,71.9
2017-07-27,70.65
2017-07-28,72.55
2017-07-31,71.55
2017-08-01,70.45
2017-08-02,70.8
2017-08-03,70.35
2017-08-04,70.55
2017-08-07,70.7
2017-08-08,70.6
2017-08-09,69.95
2017-08-10,67.2
2017-08-11,67.6
2017-08-14,70.35
2017-08-16,69.55
2017-08-17,71.05
2017-08-18,71.15
2017-08-21,75.5
2017-08-22,84.75
2017-08-23,101.7
2017-08-24,111.85
2017-08-28,123.0
2017-08-29,135.3
2017-08-30,142.05
2017-08-31,149.15
2017-09-01,156.6
2017-09-04,164.4
2017-09-05,172.6
2017-09-06,181.2
2017-09-07,190.25
2017-09-08,184.45
2017-09-11,175.25
2017-09-12,166.5
2017-09-13,158.2
2017-09-14,166.1
2017-09-15,158.5
2017-09-18,150.6
2017-09-19,143.1
2017-09-20,135.95
2017-09-21,142.7
2017-09-22,135.6
2017-09-25,128.85
2017-09-26,134.35
2017-09-27,134.8
2017-09-28,141.4
2017-09-29,144.3
2017-10-03,145.7
2017-10-04,143.5
2017-10-05,138.2
2017-10-06,133.65
2017-10-09,136.95
2017-10-10,133.4
2017-10-11,128.25
2017-10-12,130.55
2017-10-13,127.0
2017-10-16,125.75
2017-10-17,123.15
2017-10-18,124.85
2017-10-19,130.55
2017-10-23,143.6
2017-10-24,142.35
2017-10-25,139.15
2017-10-26,136.85
2017-10-27,137.9
2017-10-30,136.35
2017-10-31,143.55
2017-11-01,149.15
2017-11-02,143.9
2017-11-03,141.5
2017-11-06,140.1
2017-11-07,144.4
2017-11-08,142.55
2017-11-09,140.35
2017-11-10,139.55
2017-11-13,138.75
2017-11-14,138.7
2017-11-15,135.25
2017-11-16,133.45
2017-11-17,131.9
2017-11-20,130.05
2017-11-21,131.55
2017-11-22,135.7
2017-11-23,135.6
2017-11-24,141.5
2017-11-27,139.6
2017-11-28,140.1
2017-11-29,141.45
2017-11-30,138.55
2017-12-01,134.25
2017-12-04,131.4
2017-12-05,130.05
2017-12-06,127.95
2017-12-07,132.1
2017-12-08,154.95
2017-12-11,142.75
2017-12-12,144.2
2017-12-13,148.0
2017-12-14,156.65
2017-12-15,152.5
2017-12-18,148.95
2017-12-19,146.8
2017-12-20,149.9
2017-12-21,150.05
2017-12-22,149.1
2017-12-26,147.95
2017-12-27,146.35
2017-12-28,144.0
2017-12-29,141.05
