Date,SUNDARAM
2017-01-02,5.0
2017-01-03,5.15
2017-01-04,5.05
2017-01-05,4.55
2017-01-06,4.5
2017-01-09,4.55
2017-01-10,4.35
2017-01-11,4.25
2017-01-12,4.25
2017-01-13,4.3
2017-01-16,4.3
2017-01-17,4.3
2017-01-18,4.05
2017-01-19,4.0
2017-01-20,3.95
2017-01-23,4.1
2017-01-24,4.0
2017-01-25,4.05
2017-01-27,4.0
2017-01-30,4.05
2017-01-31,4.05
2017-02-01,4.0
2017-02-02,3.8
2017-02-03,3.9
2017-02-06,3.7
2017-02-07,3.75
2017-02-08,3.75
2017-02-09,3.75
2017-02-10,3.8
2017-02-13,3.4
2017-02-14,3.05
2017-02-15,3.05
2017-02-16,3.05
2017-02-17,3.1
2017-02-20,3.05
2017-02-21,3.0
2017-02-22,3.0
2017-02-23,3.05
2017-02-27,3.0
2017-02-28,2.8
2017-03-01,2.9
2017-03-02,2.95
2017-03-03,2.85
2017-03-06,2.85
2017-03-07,2.8
2017-03-08,2.8
2017-03-09,2.85
2017-03-10,2.75
2017-03-14,2.9
2017-03-15,2.9
2017-03-16,2.9
2017-03-17,2.9
2017-03-20,2.9
2017-03-21,2.9
2017-03-22,2.85
2017-03-23,2.8
2017-03-24,2.8
2017-03-27,2.8
2017-03-28,2.8
2017-03-29,2.75
2017-03-30,2.7
2017-03-31,2.75
2017-04-03,2.75
2017-04-05,3.3
2017-04-06,3.55
2017-04-07,3.45
2017-04-10,3.25
2017-04-11,3.45
2017-04-12,3.45
2017-04-13,3.45
2017-04-17,3.2
2017-04-18,3.25
2017-04-19,3.2
2017-04-20,3.2
2017-04-21,3.25
2017-04-24,3.15
2017-04-25,3.15
2017-04-26,3.1
2017-04-27,3.25
2017-04-28,3.15
2017-05-02,3.25
2017-05-03,3.1
2017-05-04,3.15
2017-05-05,3.1
2017-05-08,3.2
2017-05-09,3.2
2017-05-10,3.25
2017-05-11,3.25
2017-05-12,3.15
2017-05-15,3.15
2017-05-16,3.2
2017-05-17,3.15
2017-05-18,3.15
2017-05-19,3.2
2017-05-22,3.1
2017-05-23,3.1
2017-05-24,3.1
2017-05-25,3.15
2017-05-26,3.1
2017-05-29,3.05
2017-05-30,3.05
2017-05-31,2.9
2017-06-01,3.05
2017-06-02,3.2
2017-06-05,3.05
2017-06-06,3.05
2017-06-07,3.0
2017-06-08,3.0
2017-06-09,3.1
2017-06-12,2.95
2017-06-13,2.95
2017-06-14,2.95
2017-06-15,2.9
2017-06-16,2.95
2017-06-19,2.85
2017-06-20,2.8
2017-06-21,2.85
2017-06-22,2.8
2017-06-23,2.75
2017-06-27,2.8
2017-06-28,2.9
2017-06-29,3.15
2017-06-30,3.15
2017-07-03,3.2
2017-07-04,3.15
2017-07-05,3.2
2017-07-06,3.15
2017-07-07,3.25
2017-07-10,3.2
2017-07-11,3.6
2017-07-12,3.95
2017-07-13,3.85
2017-07-14,3.5
2017-07-17,3.5
2017-07-18,3.55
2017-07-19,3.4
2017-07-20,3.4
2017-07-21,3.55
2017-07-24,3.65
2017-07-25,3.75
2017-07-26,3.7
2017-07-27,3.75
2017-07-28,3.7
2017-07-31,3.6
2017-08-01,3.45
2017-08-02,3.4
2017-08-03,3.3
2017-08-04,3.2
2017-08-07,3.15
2017-08-08,3.25
2017-08-09,3.1
2017-08-10,2.65
2017-08-11,2.7
2017-08-14,2.9
2017-08-16,2.8
2017-08-17,3.0
2017-08-18,2.75
2017-08-21,2.75
2017-08-22,2.75
2017-08-23,2.8
2017-08-24,2.85
2017-08-28,2.75
2017-08-29,2.75
2017-08-30,2.75
2017-08-31,2.75
2017-09-01,2.75
2017-09-04,2.75
2017-09-05,2.75
2017-09-06,2.75
2017-09-07,2.85
2017-09-08,2.8
2017-09-11,2.9
2017-09-12,2.95
2017-09-13,3.0
2017-09-14,3.3
2017-09-15,3.2
2017-09-18,3.2
2017-09-19,3.15
2017-09-20,3.1
2017-09-21,3.35
2017-09-22,3.25
2017-09-25,3.1
2017-09-26,3.35
2017-09-27,3.15
2017-09-28,3.15
2017-09-29,3.2
2017-10-03,3.1
2017-10-04,3.15
2017-10-05,3.1
2017-10-06,3.25
2017-10-09,3.2
2017-10-10,3.15
2017-10-11,3.1
2017-10-12,3.2
2017-10-13,3.8
2017-10-16,3.85
2017-10-17,3.75
2017-10-18,3.7
2017-10-19,3.6
2017-10-23,3.55
2017-10-24,3.45
2017-10-25,3.35
2017-10-26,3.3
2017-10-27,3.35
2017-10-30,3.3
2017-10-31,3.3
2017-11-01,3.7
2017-11-02,3.75
2017-11-03,3.6
2017-11-06,3.6
2017-11-07,3.7
2017-11-08,3.5
2017-11-09,3.45
2017-11-10,3.45
2017-11-13,3.4
2017-11-14,3.5
2017-11-15,3.6
2017-11-16,3.5
2017-11-17,4.2
2017-11-20,3.5
2017-11-21,3.8
2017-11-22,3.6
2017-11-23,3.5
2017-11-24,3.6
2017-11-27,4.3
2017-11-28,4.35
2017-11-29,4.45
2017-11-30,4.6
2017-12-01,4.5
2017-12-04,4.75
2017-12-05,5.15
2017-12-06,4.95
2017-12-07,4.75
2017-12-08,4.8
2017-12-11,5.45
2017-12-12,5.6
2017-12-13,5.0
2017-12-14,4.95
2017-12-15,4.9
2017-12-18,5.15
2017-12-19,5.0
2017-12-20,5.1
2017-12-21,5.25
2017-12-22,5.6
2017-12-26,5.45
2017-12-27,5.35
2017-12-28,5.1
2017-12-29,5.1
