Date,GESHIP
2017-01-02,366.4
2017-01-03,371.5
2017-01-04,375.35
2017-01-05,381.7
2017-01-06,384.8
2017-01-09,385.25
2017-01-10,385.1
2017-01-11,383.8
2017-01-12,386.65
2017-01-13,382.15
2017-01-16,385.8
2017-01-17,385.05
2017-01-18,386.3
2017-01-19,402.15
2017-01-20,390.05
2017-01-23,386.95
2017-01-24,391.85
2017-01-25,392.05
2017-01-27,399.75
2017-01-30,397.85
2017-01-31,388.65
2017-02-01,395.8
2017-02-02,386.2
2017-02-03,390.35
2017-02-06,387.9
2017-02-07,382.75
2017-02-08,375.85
2017-02-09,368.6
2017-02-10,362.75
2017-02-13,357.55
2017-02-14,353.15
2017-02-15,358.55
2017-02-16,353.75
2017-02-17,359.2
2017-02-20,368.35
2017-02-21,372.4
2017-02-22,371.3
2017-02-23,369.65
2017-02-27,369.8
2017-02-28,370.05
2017-03-01,373.9
2017-03-02,372.45
2017-03-03,374.3
2017-03-06,371.3
2017-03-07,374.85
2017-03-08,374.7
2017-03-09,370.1
2017-03-10,371.35
2017-03-14,374.35
2017-03-15,376.05
2017-03-16,393.45
2017-03-17,388.3
2017-03-20,399.9
2017-03-21,398.05
2017-03-22,380.8
2017-03-23,382.15
2017-03-24,388.85
2017-03-27,391.95
2017-03-28,400.0
2017-03-29,402.3
2017-03-30,404.35
2017-03-31,417.0
2017-04-03,430.05
2017-04-05,426.95
2017-04-06,420.1
2017-04-07,421.65
2017-04-10,438.1
2017-04-11,433.8
2017-04-12,424.3
2017-04-13,422.65
2017-04-17,431.75
2017-04-18,424.2
2017-04-19,452.8
2017-04-20,457.4
2017-04-21,468.2
2017-04-24,454.2
2017-04-25,447.65
2017-04-26,440.8
2017-04-27,439.8
2017-04-28,439.9
2017-05-02,441.35
2017-05-03,436.5
2017-05-04,441.45
2017-05-05,427.3
2017-05-08,414.9
2017-05-09,412.5
2017-05-10,422.6
2017-05-11,417.3
2017-05-12,426.7
2017-05-15,426.85
2017-05-16,424.15
2017-05-17,420.0
2017-05-18,412.0
2017-05-19,411.0
2017-05-22,410.25
2017-05-23,401.95
2017-05-24,383.05
2017-05-25,401.0
2017-05-26,395.0
2017-05-29,393.7
2017-05-30,391.7
2017-05-31,392.9
2017-06-01,393.4
2017-06-02,416.85
2017-06-05,404.85
2017-06-06,397.2
2017-06-07,390.75
2017-06-08,385.1
2017-06-09,386.4
2017-06-12,386.7
2017-06-13,394.3
2017-06-14,400.3
2017-06-15,405.35
2017-06-16,404.8
2017-06-19,401.05
2017-06-20,400.3
2017-06-21,403.45
2017-06-22,396.7
2017-06-23,396.65
2017-06-27,397.75
2017-06-28,396.15
2017-06-29,399.05
2017-06-30,406.3
2017-07-03,415.55
2017-07-04,412.0
2017-07-05,411.25
2017-07-06,412.35
2017-07-07,413.15
2017-07-10,419.15
2017-07-11,412.35
2017-07-12,413.2
2017-07-13,413.65
2017-07-14,409.25
2017-07-17,408.0
2017-07-18,407.3
2017-07-19,408.3
2017-07-20,407.35
2017-07-21,404.15
2017-07-24,405.7
2017-07-25,403.1
2017-07-26,399.15
2017-07-27,395.75
2017-07-28,393.05
2017-07-31,397.6
2017-08-01,394.85
2017-08-02,388.95
2017-08-03,387.95
2017-08-04,386.4
2017-08-07,385.2
2017-08-08,387.7
2017-08-09,388.0
2017-08-10,375.3
2017-08-11,368.25
2017-08-14,382.0
2017-08-16,377.0
2017-08-17,389.85
2017-08-18,385.85
2017-08-21,390.55
2017-08-22,389.9
2017-08-23,388.9
2017-08-24,389.5
2017-08-28,390.65
2017-08-29,387.1
2017-08-30,388.75
2017-08-31,398.75
2017-09-01,397.3
2017-09-04,401.05
2017-09-05,392.1
2017-09-06,394.15
2017-09-07,389.0
2017-09-08,420.8
2017-09-11,410.9
2017-09-12,420.5
2017-09-13,414.2
2017-09-14,413.45
2017-09-15,416.2
2017-09-18,398.45
2017-09-19,393.6
2017-09-20,396.55
2017-09-21,392.8
2017-09-22,382.7
2017-09-25,380.85
2017-09-26,385.15
2017-09-27,373.8
2017-09-28,375.45
2017-09-29,385.9
2017-10-03,387.4
2017-10-04,383.75
2017-10-05,383.3
2017-10-06,382.2
2017-10-09,385.95
2017-10-10,388.05
2017-10-11,385.15
2017-10-12,386.2
2017-10-13,392.65
2017-10-16,392.1
2017-10-17,400.25
2017-10-18,395.65
2017-10-19,401.75
2017-10-23,392.7
2017-10-24,392.15
2017-10-25,392.0
2017-10-26,387.5
2017-10-27,380.1
2017-10-30,387.35
2017-10-31,390.6
2017-11-01,387.25
2017-11-02,386.6
2017-11-03,401.9
2017-11-06,404.7
2017-11-07,393.65
2017-11-08,387.7
2017-11-09,389.05
2017-11-10,387.3
2017-11-13,372.6
2017-11-14,367.75
2017-11-15,367.95
2017-11-16,372.85
2017-11-17,370.85
2017-11-20,375.3
2017-11-21,384.35
2017-11-22,382.5
2017-11-23,384.1
2017-11-24,387.75
2017-11-27,388.85
2017-11-28,391.95
2017-11-29,390.35
2017-11-30,399.05
2017-12-01,396.35
2017-12-04,397.5
2017-12-05,397.85
2017-12-06,391.85
2017-12-07,392.15
2017-12-08,394.7
2017-12-11,387.85
2017-12-12,389.0
2017-12-13,389.2
2017-12-14,386.45
2017-12-15,399.25
2017-12-18,391.1
2017-12-19,396.0
2017-12-20,389.45
2017-12-21,388.8
2017-12-22,391.5
2017-12-26,402.55
2017-12-27,403.25
2017-12-28,404.2
2017-12-29,399.35
