Date,GLAXO
2017-01-02,2730.5
2017-01-03,2745.55
2017-01-04,2748.0
2017-01-05,2739.3
2017-01-06,2726.15
2017-01-09,2724.1
2017-01-10,2729.15
2017-01-11,2723.35
2017-01-12,2721.35
2017-01-13,2718.55
2017-01-16,2732.5
2017-01-17,2724.45
2017-01-18,2749.8
2017-01-19,2758.0
2017-01-20,2756.85
2017-01-23,2727.05
2017-01-24,2722.4
2017-01-25,2728.25
2017-01-27,2743.85
2017-01-30,2738.0
2017-01-31,2724.1
2017-02-01,2718.55
2017-02-02,2686.8
2017-02-03,2706.65
2017-02-06,2738.85
2017-02-07,2737.6
2017-02-08,2730.2
2017-02-09,2735.85
2017-02-10,2744.7
2017-02-13,2699.8
2017-02-14,2692.8
2017-02-15,2689.4
2017-02-16,2669.8
2017-02-17,2692.2
2017-02-20,2679.2
2017-02-21,2692.9
2017-02-22,2675.8
2017-02-23,2667.45
2017-02-27,2672.9
2017-02-28,2683.25
2017-03-01,2683.35
2017-03-02,2694.55
2017-03-03,2705.95
2017-03-06,2695.55
2017-03-07,2694.4
2017-03-08,2695.4
2017-03-09,2704.9
2017-03-10,2705.9
2017-03-14,2699.35
2017-03-15,2707.4
2017-03-16,2747.6
2017-03-17,2754.65
2017-03-20,2756.05
2017-03-21,2754.3
2017-03-22,2750.25
2017-03-23,2761.2
2017-03-24,2749.55
2017-03-27,2736.7
2017-03-28,2706.3
2017-03-29,2696.25
2017-03-30,2731.45
2017-03-31,2744.55
2017-04-03,2735.45
2017-04-05,2747.25
2017-04-06,2736.4
2017-04-07,2735.4
2017-04-10,2725.7
2017-04-11,2715.95
2017-04-12,2682.65
2017-04-13,2683.9
2017-04-17,2670.55
2017-04-18,2638.2
2017-04-19,2613.9
2017-04-20,2610.8
2017-04-21,2590.3
2017-04-24,2576.9
2017-04-25,2567.1
2017-04-26,2561.4
2017-04-27,2564.4
2017-04-28,2496.35
2017-05-02,2418.15
2017-05-03,2424.4
2017-05-04,2467.6
2017-05-05,2447.15
2017-05-08,2435.45
2017-05-09,2424.15
2017-05-10,2436.65
2017-05-11,2444.55
2017-05-12,2417.7
2017-05-15,2429.3
2017-05-16,2430.6
2017-05-17,2422.45
2017-05-18,2406.6
2017-05-19,2448.1
2017-05-22,2429.95
2017-05-23,2422.05
2017-05-24,2404.5
2017-05-25,2372.0
2017-05-26,2365.9
2017-05-29,2330.55
2017-05-30,2390.1
2017-05-31,2430.2
2017-06-01,2463.35
2017-06-02,2467.4
2017-06-05,2466.35
2017-06-06,2453.95
2017-06-07,2460.6
2017-06-08,2475.05
2017-06-09,2470.0
2017-06-12,2465.0
2017-06-13,2465.75
2017-06-14,2461.25
2017-06-15,2449.6
2017-06-16,2463.05
2017-06-19,2437.4
2017-06-20,2469.6
2017-06-21,2468.3
2017-06-22,2469.15
2017-06-23,2475.75
2017-06-27,2475.5
2017-06-28,2464.3
2017-06-29,2489.45
2017-06-30,2509.75
2017-07-03,2539.35
2017-07-04,2531.35
2017-07-05,2572.75
2017-07-06,2581.6
2017-07-07,2583.45
2017-07-10,2611.9
2017-07-11,2602.3
2017-07-12,2594.65
2017-07-13,2587.05
2017-07-14,2560.85
2017-07-17,2542.85
2017-07-18,2531.95
2017-07-19,2560.25
2017-07-20,2549.05
2017-07-21,2544.6
2017-07-24,2568.85
2017-07-25,2509.9
2017-07-26,2491.85
2017-07-27,2473.45
2017-07-28,2443.15
2017-07-31,2400.95
2017-08-01,2385.65
2017-08-02,2367.65
2017-08-03,2361.5
2017-08-04,2425.1
2017-08-07,2399.8
2017-08-08,2380.0
2017-08-09,2392.1
2017-08-10,2374.55
2017-08-11,2380.9
2017-08-14,2402.75
2017-08-16,2381.55
2017-08-17,2392.55
2017-08-18,2395.8
2017-08-21,2385.5
2017-08-22,2365.35
2017-08-23,2390.6
2017-08-24,2398.35
2017-08-28,2422.9
2017-08-29,2435.8
2017-08-30,2425.8
2017-08-31,2401.7
2017-09-01,2430.5
2017-09-04,2429.25
2017-09-05,2454.5
2017-09-06,2453.35
2017-09-07,2460.7
2017-09-08,2470.55
2017-09-11,2441.2
2017-09-12,2443.2
2017-09-13,2417.35
2017-09-14,2393.65
2017-09-15,2430.35
2017-09-18,2417.75
2017-09-19,2406.2
2017-09-20,2396.35
2017-09-21,2446.2
2017-09-22,2433.05
2017-09-25,2441.7
2017-09-26,2456.25
2017-09-27,2396.05
2017-09-28,2454.2
2017-09-29,2506.7
2017-10-03,2481.55
2017-10-04,2455.85
2017-10-05,2444.3
2017-10-06,2414.95
2017-10-09,2411.6
2017-10-10,2410.05
2017-10-11,2395.0
2017-10-12,2428.0
2017-10-13,2463.35
2017-10-16,2463.55
2017-10-17,2451.8
2017-10-18,2454.5
2017-10-19,2437.7
2017-10-23,2449.25
2017-10-24,2456.9
2017-10-25,2424.55
2017-10-26,2509.25
2017-10-27,2539.05
2017-10-30,2555.85
2017-10-31,2586.15
2017-11-01,2634.05
2017-11-02,2632.85
2017-11-03,2660.05
2017-11-06,2668.8
2017-11-07,2655.9
2017-11-08,2629.1
2017-11-09,2640.75
2017-11-10,2644.45
2017-11-13,2635.5
2017-11-14,2607.85
2017-11-15,2555.9
2017-11-16,2565.35
2017-11-17,2513.8
2017-11-20,2492.9
2017-11-21,2492.65
2017-11-22,2505.4
2017-11-23,2503.3
2017-11-24,2501.25
2017-11-27,2491.0
2017-11-28,2465.35
2017-11-29,2452.35
2017-11-30,2482.5
2017-12-01,2452.1
2017-12-04,2464.25
2017-12-05,2483.55
2017-12-06,2448.4
2017-12-07,2447.85
2017-12-08,2468.15
2017-12-11,2454.1
2017-12-12,2441.05
2017-12-13,2419.0
2017-12-14,2398.6
2017-12-15,2369.1
2017-12-18,2393.25
2017-12-19,2434.9
2017-12-20,2422.05
2017-12-21,2465.75
2017-12-22,2444.05
2017-12-26,2424.2
2017-12-27,2427.8
2017-12-28,2440.4
2017-12-29,2489.3
