Date,NDGL
2017-01-02,386.15
2017-01-03,394.9
2017-01-04,390.6
2017-01-05,395.0
2017-01-06,390.0
2017-01-09,389.4
2017-01-11,408.9
2017-01-12,409.4
2017-01-13,390.55
2017-01-16,405.0
2017-01-17,403.0
2017-01-18,394.95
2017-01-20,404.0
2017-01-23,403.0
2017-01-24,403.0
2017-01-25,403.0
2017-01-27,388.8
2017-01-30,388.85
2017-02-01,387.1
2017-02-02,410.0
2017-02-03,387.4
2017-02-06,397.2
2017-02-07,398.4
2017-02-08,399.95
2017-02-09,410.0
2017-02-10,415.2
2017-02-13,388.7
2017-02-14,392.0
2017-02-16,390.0
2017-02-17,382.0
2017-02-20,393.95
2017-02-21,394.0
2017-02-22,394.0
2017-02-23,382.05
2017-02-27,390.0
2017-03-01,384.0
2017-03-02,414.45
2017-03-03,402.25
2017-03-06,400.75
2017-03-07,389.7
2017-03-08,383.15
2017-03-10,386.75
2017-03-14,387.6
2017-03-15,387.25
2017-03-16,389.0
2017-03-17,382.85
2017-03-20,401.95
2017-03-21,395.0
2017-03-24,387.0
2017-03-27,388.0
2017-03-28,389.9
2017-03-29,395.75
2017-03-30,391.4
2017-03-31,388.0
2017-04-03,395.0
2017-04-05,399.0
2017-04-06,396.1
2017-04-07,403.0
2017-04-11,406.95
2017-04-12,401.0
2017-04-13,395.0
2017-04-17,400.0
2017-04-18,386.15
2017-04-19,405.0
2017-04-20,405.2
2017-04-21,402.3
2017-04-24,419.6
2017-04-25,401.0
2017-04-26,393.05
2017-04-27,416.0
2017-04-28,421.05
2017-05-02,404.5
2017-05-03,403.0
2017-05-04,407.0
2017-05-05,406.5
2017-05-08,420.0
2017-05-09,413.5
2017-05-10,418.0
2017-05-11,403.65
2017-05-12,405.1
2017-05-15,405.95
2017-05-16,414.6
2017-05-17,420.35
2017-05-18,438.9
2017-05-19,439.95
2017-05-22,439.35
2017-05-23,435.9
2017-05-24,438.15
2017-05-25,430.9
2017-05-26,424.0
2017-05-29,429.95
2017-05-30,484.9
2017-05-31,581.85
2017-06-01,698.2
2017-06-02,700.5
2017-06-05,669.45
2017-06-06,630.9
2017-06-07,668.2
2017-06-08,666.0
2017-06-09,680.4
2017-06-12,664.7
2017-06-13,731.15
2017-06-14,804.25
2017-06-15,842.95
2017-06-16,852.45
2017-06-19,840.0
2017-06-20,798.0
2017-06-21,758.1
2017-06-22,724.9
2017-06-23,688.7
2017-06-27,657.6
2017-06-28,660.0
2017-06-29,693.0
2017-06-30,690.0
2017-07-03,691.0
2017-07-04,713.0
2017-07-05,700.3
2017-07-06,691.1
2017-07-07,700.9
2017-07-10,720.0
2017-07-11,702.7
2017-07-12,697.75
2017-07-13,710.6
2017-07-14,695.4
2017-07-17,688.65
2017-07-18,688.85
2017-07-19,680.35
2017-07-20,695.5
2017-07-21,677.45
2017-07-24,695.0
2017-07-25,673.0
2017-07-26,658.1
2017-07-27,666.0
2017-07-28,651.3
2017-07-31,660.0
2017-08-01,675.0
2017-08-02,647.35
2017-08-03,621.5
2017-08-04,629.95
2017-08-07,629.7
2017-08-08,610.25
2017-08-09,577.45
2017-08-10,550.55
2017-08-11,549.9
2017-08-14,546.3
2017-08-16,549.3
2017-08-17,569.95
2017-08-18,578.6
2017-08-21,553.65
2017-08-22,609.0
2017-08-23,669.9
2017-08-24,736.85
2017-08-28,763.05
2017-08-29,768.45
2017-08-30,752.9
2017-08-31,752.95
2017-09-01,733.7
2017-09-04,750.0
2017-09-05,731.3
2017-09-06,723.1
2017-09-07,713.3
2017-09-08,725.0
2017-09-11,697.0
2017-09-12,722.4
2017-09-13,723.95
2017-09-14,708.5
2017-09-15,723.0
2017-09-18,717.0
2017-09-19,720.0
2017-09-20,733.85
2017-09-21,747.0
2017-09-22,716.4
2017-09-25,739.75
2017-09-26,730.0
2017-09-27,701.75
2017-09-28,689.55
2017-09-29,693.0
2017-10-03,690.0
2017-10-04,708.3
2017-10-05,720.0
2017-10-06,740.0
2017-10-09,730.0
2017-10-10,740.0
2017-10-11,744.85
2017-10-12,753.4
2017-10-13,773.7
2017-10-16,780.0
2017-10-17,764.5
2017-10-18,780.05
2017-10-19,797.8
2017-10-23,797.0
2017-10-24,751.0
2017-10-25,785.0
2017-10-26,754.15
2017-10-27,789.2
2017-10-30,747.6
2017-10-31,759.25
2017-11-01,773.5
2017-11-02,790.0
2017-11-03,794.45
2017-11-06,761.85
2017-11-07,770.05
2017-11-08,799.05
2017-11-09,792.35
2017-11-10,780.0
2017-11-13,795.9
2017-11-14,742.1
2017-11-15,724.4
2017-11-16,732.0
2017-11-17,730.0
2017-11-20,772.85
2017-11-21,778.35
2017-11-22,776.75
2017-11-23,775.0
2017-11-24,852.5
2017-11-27,937.75
2017-11-28,969.95
2017-11-29,961.4
2017-11-30,936.4
2017-12-01,894.1
2017-12-04,896.15
2017-12-05,889.75
2017-12-06,869.4
2017-12-07,862.4
2017-12-08,858.25
2017-12-11,861.8
2017-12-12,878.4
2017-12-13,881.95
2017-12-14,885.45
2017-12-15,865.7
2017-12-18,896.9
2017-12-19,1076.25
2017-12-20,1291.5
2017-12-21,1406.0
2017-12-22,1546.6
2017-12-26,1701.25
2017-12-27,1786.3
2017-12-28,1875.6
2017-12-29,1969.35
