Date,ICICIPRULI
2017-01-02,307.1
2017-01-03,313.05
2017-01-04,319.7
2017-01-05,326.75
2017-01-06,331.0
2017-01-09,329.05
2017-01-10,335.55
2017-01-11,337.8
2017-01-12,334.55
2017-01-13,331.9
2017-01-16,331.15
2017-01-17,331.7
2017-01-18,340.0
2017-01-19,349.75
2017-01-20,359.4
2017-01-23,361.15
2017-01-24,359.75
2017-01-25,353.85
2017-01-27,353.9
2017-01-30,351.3
2017-01-31,345.4
2017-02-01,358.95
2017-02-02,359.3
2017-02-03,360.15
2017-02-06,367.45
2017-02-07,363.6
2017-02-08,358.15
2017-02-09,356.45
2017-02-10,350.2
2017-02-13,351.4
2017-02-14,357.4
2017-02-15,349.15
2017-02-16,358.8
2017-02-17,362.9
2017-02-20,358.45
2017-02-21,356.8
2017-02-22,351.8
2017-02-23,357.85
2017-02-27,362.5
2017-02-28,361.35
2017-03-01,362.4
2017-03-02,363.2
2017-03-03,362.6
2017-03-06,369.5
2017-03-07,368.9
2017-03-08,374.0
2017-03-09,372.65
2017-03-10,370.45
2017-03-14,374.75
2017-03-15,376.75
2017-03-16,370.2
2017-03-17,371.3
2017-03-20,368.2
2017-03-21,371.1
2017-03-22,364.1
2017-03-23,367.8
2017-03-24,374.05
2017-03-27,375.1
2017-03-28,371.6
2017-03-29,370.9
2017-03-30,374.35
2017-03-31,382.4
2017-04-03,385.35
2017-04-05,397.75
2017-04-06,391.45
2017-04-07,400.0
2017-04-10,394.85
2017-04-11,393.3
2017-04-12,401.15
2017-04-13,404.3
2017-04-17,402.75
2017-04-18,402.6
2017-04-19,399.75
2017-04-20,399.25
2017-04-21,407.85
2017-04-24,402.7
2017-04-25,419.9
2017-04-26,401.25
2017-04-27,399.5
2017-04-28,406.0
2017-05-02,399.7
2017-05-03,398.7
2017-05-04,393.2
2017-05-05,391.95
2017-05-08,410.3
2017-05-09,410.0
2017-05-10,410.8
2017-05-11,410.65
2017-05-12,410.25
2017-05-15,416.8
2017-05-16,417.5
2017-05-17,415.7
2017-05-18,413.45
2017-05-19,410.1
2017-05-22,406.55
2017-05-23,410.0
2017-05-24,402.4
2017-05-25,399.75
2017-05-26,400.2
2017-05-29,394.8
2017-05-30,401.6
2017-05-31,406.85
2017-06-01,403.05
2017-06-02,410.65
2017-06-05,406.45
2017-06-06,400.95
2017-06-07,421.0
2017-06-08,421.25
2017-06-09,434.6
2017-06-12,422.75
2017-06-13,428.9
2017-06-14,437.05
2017-06-15,441.9
2017-06-16,444.05
2017-06-19,443.85
2017-06-20,439.9
2017-06-21,442.0
2017-06-22,445.1
2017-06-23,439.95
2017-06-27,440.0
2017-06-28,457.55
2017-06-29,473.65
2017-06-30,471.6
2017-07-03,472.3
2017-07-04,489.35
2017-07-05,494.45
2017-07-06,489.75
2017-07-07,482.85
2017-07-10,484.2
2017-07-11,489.35
2017-07-12,487.0
2017-07-13,486.25
2017-07-14,484.35
2017-07-17,473.2
2017-07-18,476.2
2017-07-19,474.25
2017-07-20,461.5
2017-07-21,464.4
2017-07-24,468.6
2017-07-25,468.1
2017-07-26,450.35
2017-07-27,439.05
2017-07-28,448.0
2017-07-31,458.95
2017-08-01,443.95
2017-08-02,443.5
2017-08-03,441.05
2017-08-04,438.9
2017-08-07,437.4
2017-08-08,433.65
2017-08-09,425.75
2017-08-10,413.8
2017-08-11,427.35
2017-08-14,433.05
2017-08-16,434.85
2017-08-17,425.25
2017-08-18,427.25
2017-08-21,420.15
2017-08-22,418.95
2017-08-23,422.15
2017-08-24,422.9
2017-08-28,431.5
2017-08-29,424.3
2017-08-30,426.95
2017-08-31,426.9
2017-09-01,443.35
2017-09-04,440.7
2017-09-05,446.2
2017-09-06,441.2
2017-09-07,439.35
2017-09-08,437.6
2017-09-11,437.15
2017-09-12,431.55
2017-09-13,427.3
2017-09-14,425.7
2017-09-15,423.65
2017-09-18,423.7
2017-09-19,424.1
2017-09-20,412.1
2017-09-21,404.95
2017-09-22,404.65
2017-09-25,388.9
2017-09-26,399.05
2017-09-27,391.0
2017-09-28,381.35
2017-09-29,388.8
2017-10-03,413.2
2017-10-04,412.2
2017-10-05,398.65
2017-10-06,399.4
2017-10-09,402.5
2017-10-10,408.15
2017-10-11,403.85
2017-10-12,406.15
2017-10-13,405.3
2017-10-16,395.0
2017-10-17,391.9
2017-10-18,391.7
2017-10-19,395.9
2017-10-23,389.75
2017-10-24,390.45
2017-10-25,389.25
2017-10-26,387.55
2017-10-27,396.5
2017-10-30,404.7
2017-10-31,405.6
2017-11-01,401.8
2017-11-02,395.0
2017-11-03,387.15
2017-11-06,389.3
2017-11-07,381.35
2017-11-08,375.55
2017-11-09,376.3
2017-11-10,377.35
2017-11-13,375.55
2017-11-14,372.05
2017-11-15,377.5
2017-11-16,381.2
2017-11-17,392.05
2017-11-20,389.25
2017-11-21,397.85
2017-11-22,395.35
2017-11-23,379.85
2017-11-24,378.05
2017-11-27,381.45
2017-11-28,384.45
2017-11-29,375.05
2017-11-30,375.95
2017-12-01,369.65
2017-12-04,367.95
2017-12-05,372.55
2017-12-06,367.3
2017-12-07,371.2
2017-12-08,378.05
2017-12-11,372.9
2017-12-12,376.35
2017-12-13,374.2
2017-12-14,379.25
2017-12-15,379.4
2017-12-18,380.85
2017-12-19,395.3
2017-12-20,394.85
2017-12-21,395.4
2017-12-22,394.4
2017-12-26,394.25
2017-12-27,394.5
2017-12-28,390.0
2017-12-29,383.6
