Date,BODALCHEM
2017-01-02,122.2
2017-01-03,129.55
2017-01-04,136.1
2017-01-05,136.55
2017-01-06,134.15
2017-01-09,133.0
2017-01-10,134.75
2017-01-11,134.4
2017-01-12,132.85
2017-01-13,133.8
2017-01-16,133.9
2017-01-17,134.05
2017-01-18,133.7
2017-01-19,134.8
2017-01-20,133.3
2017-01-23,135.75
2017-01-24,136.9
2017-01-25,135.7
2017-01-27,133.15
2017-01-30,132.65
2017-01-31,131.7
2017-02-01,133.75
2017-02-02,134.5
2017-02-03,133.4
2017-02-06,132.4
2017-02-07,132.6
2017-02-08,132.75
2017-02-09,132.2
2017-02-10,132.45
2017-02-13,135.55
2017-02-14,133.0
2017-02-15,130.9
2017-02-16,132.75
2017-02-17,131.8
2017-02-20,135.6
2017-02-21,136.45
2017-02-22,133.65
2017-02-23,132.7
2017-02-27,133.1
2017-02-28,132.0
2017-03-01,131.2
2017-03-02,129.7
2017-03-03,129.95
2017-03-06,136.05
2017-03-07,135.6
2017-03-08,137.1
2017-03-09,133.5
2017-03-10,135.4
2017-03-14,135.8
2017-03-15,136.5
2017-03-16,134.8
2017-03-17,137.45
2017-03-20,139.0
2017-03-21,141.65
2017-03-22,139.5
2017-03-23,141.1
2017-03-24,140.95
2017-03-27,141.85
2017-03-28,147.7
2017-03-29,151.75
2017-03-30,157.15
2017-03-31,160.5
2017-04-03,165.3
2017-04-05,163.85
2017-04-06,162.6
2017-04-07,155.7
2017-04-10,157.15
2017-04-11,159.55
2017-04-12,157.4
2017-04-13,155.3
2017-04-17,157.0
2017-04-18,153.95
2017-04-19,152.45
2017-04-20,155.35
2017-04-21,159.45
2017-04-24,156.05
2017-04-25,159.7
2017-04-26,154.3
2017-04-27,154.5
2017-04-28,155.25
2017-05-02,152.75
2017-05-03,150.4
2017-05-04,152.5
2017-05-05,152.65
2017-05-08,154.95
2017-05-09,157.3
2017-05-10,157.8
2017-05-11,153.7
2017-05-12,152.15
2017-05-15,157.7
2017-05-16,165.7
2017-05-17,166.75
2017-05-18,163.55
2017-05-19,163.35
2017-05-22,159.45
2017-05-23,154.4
2017-05-24,154.6
2017-05-25,156.15
2017-05-26,158.3
2017-05-29,163.3
2017-05-30,163.15
2017-05-31,166.0
2017-06-01,169.2
2017-06-02,167.6
2017-06-05,165.45
2017-06-06,164.1
2017-06-07,163.3
2017-06-08,164.7
2017-06-09,161.85
2017-06-12,160.5
2017-06-13,162.8
2017-06-14,163.15
2017-06-15,162.45
2017-06-16,160.35
2017-06-19,159.95
2017-06-20,160.05
2017-06-21,160.05
2017-06-22,159.15
2017-06-23,160.3
2017-06-27,157.85
2017-06-28,157.25
2017-06-29,160.3
2017-06-30,158.2
2017-07-03,161.3
2017-07-04,160.85
2017-07-05,164.1
2017-07-06,162.35
2017-07-07,163.5
2017-07-10,166.7
2017-07-11,173.25
2017-07-12,186.2
2017-07-13,187.15
2017-07-14,180.2
2017-07-17,182.95
2017-07-18,177.35
2017-07-19,183.4
2017-07-20,181.5
2017-07-21,178.1
2017-07-24,185.8
2017-07-25,182.65
2017-07-26,179.85
2017-07-27,179.25
2017-07-28,179.85
2017-07-31,182.1
2017-08-01,180.1
2017-08-02,179.45
2017-08-03,175.35
2017-08-04,175.0
2017-08-07,176.15
2017-08-08,174.15
2017-08-09,175.75
2017-08-10,168.0
2017-08-11,166.05
2017-08-14,167.6
2017-08-16,162.15
2017-08-17,166.4
2017-08-18,163.85
2017-08-21,161.5
2017-08-22,160.35
2017-08-23,162.45
2017-08-24,168.1
2017-08-28,162.0
2017-08-29,165.15
2017-08-30,164.75
2017-08-31,168.45
2017-09-01,172.25
2017-09-04,176.15
2017-09-05,181.65
2017-09-06,178.15
2017-09-07,177.0
2017-09-08,169.7
2017-09-11,168.35
2017-09-12,171.75
2017-09-13,169.85
2017-09-14,173.55
2017-09-15,171.95
2017-09-18,172.4
2017-09-19,173.95
2017-09-20,177.8
2017-09-21,175.55
2017-09-22,168.9
2017-09-25,163.15
2017-09-26,166.55
2017-09-27,163.95
2017-09-28,162.8
2017-09-29,161.25
2017-10-03,160.3
2017-10-04,163.35
2017-10-05,169.35
2017-10-06,172.55
2017-10-09,178.8
2017-10-10,180.7
2017-10-11,180.85
2017-10-12,178.85
2017-10-13,174.55
2017-10-16,172.1
2017-10-17,172.7
2017-10-18,173.9
2017-10-19,174.45
2017-10-23,172.05
2017-10-24,172.55
2017-10-25,170.0
2017-10-26,170.2
2017-10-27,168.95
2017-10-30,174.6
2017-10-31,179.6
2017-11-01,184.2
2017-11-02,185.15
2017-11-03,182.75
2017-11-06,176.95
2017-11-07,171.3
2017-11-08,170.95
2017-11-09,173.25
2017-11-10,172.0
2017-11-13,172.8
2017-11-14,173.45
2017-11-15,171.85
2017-11-16,172.8
2017-11-17,175.3
2017-11-20,174.7
2017-11-21,175.5
2017-11-22,171.1
2017-11-23,172.7
2017-11-24,174.85
2017-11-27,172.25
2017-11-28,171.45
2017-11-29,171.7
2017-11-30,170.3
2017-12-01,165.85
2017-12-04,166.65
2017-12-05,164.5
2017-12-06,166.15
2017-12-07,167.8
2017-12-08,169.8
2017-12-11,169.9
2017-12-12,170.95
2017-12-13,170.85
2017-12-14,158.0
2017-12-15,158.05
2017-12-18,158.55
2017-12-19,165.15
2017-12-20,168.15
2017-12-21,165.8
2017-12-22,165.15
2017-12-26,167.35
2017-12-27,165.3
2017-12-28,161.8
2017-12-29,166.4
