Date,LEEL
2017-01-02,259.2
2017-01-03,262.9
2017-01-04,264.6
2017-01-05,266.6
2017-01-06,262.45
2017-01-09,270.0
2017-01-10,272.95
2017-01-11,278.2
2017-01-12,274.25
2017-01-13,284.35
2017-01-16,281.35
2017-01-17,282.65
2017-01-18,287.1
2017-01-19,284.9
2017-01-20,277.7
2017-01-23,278.7
2017-01-24,286.15
2017-01-25,282.35
2017-01-27,278.1
2017-01-30,273.35
2017-01-31,265.5
2017-02-01,282.25
2017-02-02,303.3
2017-02-03,310.6
2017-02-06,307.45
2017-02-07,299.75
2017-02-08,316.0
2017-02-09,317.0
2017-02-10,317.4
2017-02-13,320.55
2017-02-14,322.0
2017-02-15,315.1
2017-02-16,324.5
2017-02-17,327.55
2017-02-20,273.2
2017-02-21,274.35
2017-02-22,265.65
2017-02-23,264.85
2017-02-27,261.1
2017-02-28,261.45
2017-03-01,260.15
2017-03-02,250.8
2017-03-03,246.0
2017-03-06,254.75
2017-03-07,251.3
2017-03-08,244.55
2017-03-09,242.75
2017-03-10,236.9
2017-03-14,236.9
2017-03-15,238.35
2017-03-16,252.95
2017-03-17,254.95
2017-03-20,252.85
2017-03-21,248.6
2017-03-22,247.55
2017-03-23,249.85
2017-03-24,248.75
2017-03-27,246.25
2017-03-28,244.6
2017-03-29,238.55
2017-03-30,246.05
2017-03-31,242.55
2017-04-03,253.7
2017-04-05,259.9
2017-04-06,257.7
2017-04-07,254.6
2017-04-10,251.95
2017-04-11,253.95
2017-04-12,251.5
2017-04-13,251.45
2017-04-17,248.65
2017-04-18,241.15
2017-04-19,247.2
2017-04-20,250.65
2017-04-21,248.15
2017-04-24,248.7
2017-04-25,249.7
2017-04-26,245.15
2017-04-27,244.25
2017-04-28,248.6
2017-05-02,247.35
2017-05-03,247.25
2017-05-04,248.25
2017-05-05,244.55
2017-05-08,245.65
2017-05-09,250.7
2017-05-10,248.4
2017-05-11,255.95
2017-05-12,258.05
2017-05-15,254.5
2017-05-16,253.6
2017-05-17,250.55
2017-05-18,245.1
2017-05-19,239.75
2017-05-22,236.8
2017-05-23,225.1
2017-05-24,218.3
2017-05-25,227.75
2017-05-26,238.05
2017-05-29,231.9
2017-05-30,232.2
2017-05-31,245.15
2017-06-01,244.0
2017-06-02,243.55
2017-06-05,252.7
2017-06-06,255.2
2017-06-07,252.0
2017-06-08,228.15
2017-06-09,224.8
2017-06-12,218.25
2017-06-13,213.95
2017-06-14,212.75
2017-06-15,212.85
2017-06-16,211.1
2017-06-19,209.45
2017-06-20,209.95
2017-06-21,209.3
2017-06-22,206.6
2017-06-23,200.65
2017-06-27,195.05
2017-06-28,196.25
2017-06-29,199.6
2017-06-30,197.75
2017-07-03,198.6
2017-07-04,199.75
2017-07-05,199.3
2017-07-06,210.3
2017-07-07,213.25
2017-07-10,213.6
2017-07-11,210.15
2017-07-12,206.95
2017-07-13,207.5
2017-07-14,208.8
2017-07-17,206.05
2017-07-18,204.35
2017-07-19,206.4
2017-07-20,205.05
2017-07-21,206.55
2017-07-24,205.5
2017-07-25,202.1
2017-07-26,200.15
2017-07-27,198.65
2017-07-28,198.05
2017-07-31,198.4
2017-08-01,195.25
2017-08-02,195.05
2017-08-03,193.2
2017-08-04,190.7
2017-08-07,193.6
2017-08-08,190.6
2017-08-09,186.7
2017-08-10,179.55
2017-08-11,169.35
2017-08-14,175.2
2017-08-16,178.5
2017-08-17,182.8
2017-08-18,178.1
2017-08-21,191.4
2017-08-22,187.2
2017-08-23,189.7
2017-08-24,184.9
2017-08-28,187.05
2017-08-29,187.0
2017-08-30,190.5
2017-08-31,193.55
2017-09-01,207.15
2017-09-04,209.85
2017-09-05,214.35
2017-09-06,246.15
2017-09-07,253.3
2017-09-08,260.65
2017-09-11,252.55
2017-09-12,250.45
2017-09-13,244.7
2017-09-14,247.2
2017-09-15,251.05
2017-09-18,263.4
2017-09-19,276.5
2017-09-20,279.5
2017-09-21,282.25
2017-09-22,280.35
2017-09-25,270.5
2017-09-26,267.9
2017-09-27,263.15
2017-09-28,272.7
2017-09-29,288.15
2017-10-03,289.05
2017-10-04,287.85
2017-10-05,291.55
2017-10-06,293.15
2017-10-09,296.1
2017-10-10,302.85
2017-10-11,297.75
2017-10-12,314.85
2017-10-13,318.15
2017-10-16,321.05
2017-10-17,316.25
2017-10-18,312.5
2017-10-19,313.9
2017-10-23,310.65
2017-10-24,307.7
2017-10-25,301.5
2017-10-26,298.7
2017-10-27,299.7
2017-10-30,299.4
2017-10-31,299.25
2017-11-01,296.65
2017-11-02,295.2
2017-11-03,296.25
2017-11-06,297.95
2017-11-07,290.9
2017-11-08,296.3
2017-11-09,309.65
2017-11-10,305.15
2017-11-13,298.85
2017-11-14,295.55
2017-11-15,274.1
2017-11-16,272.55
2017-11-17,278.4
2017-11-20,288.65
2017-11-21,288.8
2017-11-22,286.3
2017-11-23,288.1
2017-11-24,285.15
2017-11-27,282.7
2017-11-28,285.85
2017-11-29,286.3
2017-11-30,282.85
2017-12-01,274.6
2017-12-04,269.55
2017-12-05,263.5
2017-12-06,266.05
2017-12-07,266.0
2017-12-08,271.7
2017-12-11,267.8
2017-12-12,264.3
2017-12-13,266.95
2017-12-14,262.75
2017-12-15,262.95
2017-12-18,266.65
2017-12-19,275.35
2017-12-20,286.3
2017-12-21,294.35
2017-12-22,293.25
2017-12-26,295.9
2017-12-27,288.2
2017-12-28,288.05
2017-12-29,287.85
