Date,AKSHOPTFBR
2017-01-02,24.35
2017-01-03,24.55
2017-01-04,25.4
2017-01-05,25.7
2017-01-06,25.15
2017-01-09,25.0
2017-01-10,25.1
2017-01-11,25.2
2017-01-12,24.7
2017-01-13,24.35
2017-01-16,24.85
2017-01-17,24.9
2017-01-18,25.0
2017-01-19,24.8
2017-01-20,24.2
2017-01-23,24.25
2017-01-24,24.45
2017-01-25,25.05
2017-01-27,24.7
2017-01-30,24.85
2017-01-31,24.7
2017-02-01,25.85
2017-02-02,25.25
2017-02-03,25.05
2017-02-06,24.9
2017-02-07,25.0
2017-02-08,24.95
2017-02-09,24.85
2017-02-10,24.6
2017-02-13,24.0
2017-02-14,24.05
2017-02-15,22.6
2017-02-16,22.9
2017-02-17,22.85
2017-02-20,23.2
2017-02-21,23.45
2017-02-22,22.9
2017-02-23,22.7
2017-02-27,22.2
2017-02-28,22.6
2017-03-01,22.9
2017-03-02,22.45
2017-03-03,22.25
2017-03-06,22.4
2017-03-07,22.25
2017-03-08,22.15
2017-03-09,22.05
2017-03-10,21.85
2017-03-14,22.25
2017-03-15,22.15
2017-03-16,23.8
2017-03-17,23.5
2017-03-20,23.05
2017-03-21,22.9
2017-03-22,22.5
2017-03-23,22.25
2017-03-24,22.3
2017-03-27,21.7
2017-03-28,21.05
2017-03-29,21.4
2017-03-30,22.1
2017-03-31,21.25
2017-04-03,22.05
2017-04-05,22.6
2017-04-06,23.1
2017-04-07,22.95
2017-04-10,23.0
2017-04-11,23.1
2017-04-12,22.3
2017-04-13,22.9
2017-04-17,23.65
2017-04-18,23.4
2017-04-19,23.6
2017-04-20,24.55
2017-04-21,23.9
2017-04-24,24.1
2017-04-25,23.95
2017-04-26,23.5
2017-04-27,23.6
2017-04-28,23.3
2017-05-02,23.35
2017-05-03,23.25
2017-05-04,23.0
2017-05-05,22.65
2017-05-08,22.5
2017-05-09,22.8
2017-05-10,23.0
2017-05-11,23.05
2017-05-12,22.65
2017-05-15,22.75
2017-05-16,22.3
2017-05-17,22.5
2017-05-18,21.75
2017-05-19,21.45
2017-05-22,20.75
2017-05-23,18.9
2017-05-24,18.5
2017-05-25,18.7
2017-05-26,19.1
2017-05-29,18.75
2017-05-30,18.9
2017-05-31,19.0
2017-06-01,19.1
2017-06-02,19.1
2017-06-05,18.95
2017-06-06,18.8
2017-06-07,18.65
2017-06-08,18.55
2017-06-09,19.15
2017-06-12,18.9
2017-06-13,18.8
2017-06-14,18.4
2017-06-15,18.7
2017-06-16,18.55
2017-06-19,18.55
2017-06-20,18.55
2017-06-21,18.5
2017-06-22,18.3
2017-06-23,17.8
2017-06-27,17.1
2017-06-28,17.05
2017-06-29,17.4
2017-06-30,17.2
2017-07-03,17.4
2017-07-04,17.65
2017-07-05,21.15
2017-07-06,21.05
2017-07-07,22.4
2017-07-10,22.35
2017-07-11,21.65
2017-07-12,22.65
2017-07-13,22.7
2017-07-14,21.85
2017-07-17,22.2
2017-07-18,21.6
2017-07-19,22.35
2017-07-20,23.65
2017-07-21,25.1
2017-07-24,29.05
2017-07-25,27.75
2017-07-26,27.55
2017-07-27,26.55
2017-07-28,25.9
2017-07-31,27.7
2017-08-01,27.35
2017-08-02,26.75
2017-08-03,25.95
2017-08-04,26.05
2017-08-07,27.45
2017-08-08,25.6
2017-08-09,24.05
2017-08-10,21.95
2017-08-11,21.7
2017-08-14,23.05
2017-08-16,25.3
2017-08-17,26.75
2017-08-18,27.2
2017-08-21,26.3
2017-08-22,25.45
2017-08-23,26.3
2017-08-24,25.85
2017-08-28,25.6
2017-08-29,25.45
2017-08-30,25.6
2017-08-31,26.8
2017-09-01,26.6
2017-09-04,25.95
2017-09-05,26.2
2017-09-06,27.5
2017-09-07,27.4
2017-09-08,26.65
2017-09-11,26.4
2017-09-12,26.55
2017-09-13,25.75
2017-09-14,25.8
2017-09-15,25.2
2017-09-18,25.6
2017-09-19,27.0
2017-09-20,26.5
2017-09-21,25.9
2017-09-22,24.7
2017-09-25,23.7
2017-09-26,23.4
2017-09-27,22.6
2017-09-28,22.85
2017-09-29,22.65
2017-10-03,22.8
2017-10-04,23.2
2017-10-05,23.8
2017-10-06,24.6
2017-10-09,24.6
2017-10-10,26.05
2017-10-11,25.35
2017-10-12,26.2
2017-10-13,25.9
2017-10-16,25.45
2017-10-17,25.25
2017-10-18,24.45
2017-10-19,24.6
2017-10-23,24.3
2017-10-24,25.15
2017-10-25,24.5
2017-10-26,24.9
2017-10-27,24.9
2017-10-30,27.3
2017-10-31,27.8
2017-11-01,28.25
2017-11-02,33.9
2017-11-03,36.85
2017-11-06,35.55
2017-11-07,35.9
2017-11-08,33.95
2017-11-09,34.65
2017-11-10,31.2
2017-11-13,30.2
