Date,NAGREEKEXP
2017-01-02,33.15
2017-01-03,34.25
2017-01-04,33.25
2017-01-05,34.25
2017-01-06,34.5
2017-01-09,35.55
2017-01-10,36.2
2017-01-11,36.5
2017-01-12,35.15
2017-01-13,36.9
2017-01-16,35.75
2017-01-17,35.65
2017-01-18,36.6
2017-01-19,36.9
2017-01-20,35.05
2017-01-23,36.4
2017-01-24,37.1
2017-01-25,36.25
2017-01-27,35.65
2017-01-30,35.5
2017-01-31,34.75
2017-02-01,35.8
2017-02-02,35.25
2017-02-03,34.8
2017-02-06,36.3
2017-02-07,36.7
2017-02-08,37.3
2017-02-09,36.2
2017-02-10,36.0
2017-02-13,35.2
2017-02-14,35.3
2017-02-15,32.45
2017-02-16,33.0
2017-02-17,32.85
2017-02-20,33.15
2017-02-21,32.95
2017-02-22,32.95
2017-02-23,32.8
2017-02-27,32.7
2017-02-28,32.0
2017-03-01,32.5
2017-03-02,32.4
2017-03-03,31.0
2017-03-06,30.25
2017-03-07,31.1
2017-03-08,30.05
2017-03-09,30.0
2017-03-10,29.6
2017-03-14,29.85
2017-03-15,30.5
2017-03-16,30.5
2017-03-17,29.9
2017-03-20,30.05
2017-03-21,29.25
2017-03-22,29.5
2017-03-23,30.0
2017-03-24,34.4
2017-03-27,34.5
2017-03-28,35.0
2017-03-29,35.05
2017-03-30,37.1
2017-03-31,39.4
2017-04-03,38.85
2017-04-05,37.85
2017-04-06,38.25
2017-04-07,37.65
2017-04-10,37.65
2017-04-11,38.8
2017-04-12,38.35
2017-04-13,41.15
2017-04-17,41.05
2017-04-18,41.55
2017-04-19,41.95
2017-04-20,42.3
2017-04-21,41.5
2017-04-24,40.2
2017-04-25,40.25
2017-04-26,39.5
2017-04-27,39.5
2017-04-28,39.8
2017-05-02,39.45
2017-05-03,38.6
2017-05-04,38.5
2017-05-05,37.95
2017-05-08,38.25
2017-05-09,37.6
2017-05-10,37.65
2017-05-11,37.6
2017-05-12,37.45
2017-05-15,37.85
2017-05-16,38.0
2017-05-17,37.55
2017-05-18,36.4
2017-05-19,35.6
2017-05-22,37.85
2017-05-23,36.8
2017-05-24,36.4
2017-05-25,32.3
2017-05-26,32.05
2017-05-29,31.5
2017-05-30,31.05
2017-05-31,29.55
2017-06-01,29.75
2017-06-02,30.45
2017-06-05,31.15
2017-06-06,31.8
2017-06-07,32.0
2017-06-08,31.8
2017-06-09,30.8
2017-06-12,27.35
2017-06-13,32.65
2017-06-14,32.75
2017-06-15,32.05
2017-06-16,32.55
2017-06-19,31.4
2017-06-20,30.6
2017-06-21,30.45
2017-06-22,30.9
2017-06-23,30.8
2017-06-27,29.65
2017-06-28,28.1
2017-06-29,28.45
2017-06-30,29.2
2017-07-03,30.65
2017-07-04,31.25
2017-07-05,30.2
2017-07-06,30.4
2017-07-07,30.95
2017-07-11,30.65
2017-07-12,31.05
2017-07-13,31.0
2017-07-14,30.8
2017-07-17,30.05
2017-07-18,29.5
2017-07-19,30.7
2017-07-20,31.3
2017-07-21,31.35
2017-07-24,31.3
2017-07-25,31.0
2017-07-26,31.55
2017-07-27,31.0
2017-07-28,30.15
2017-07-31,31.05
2017-08-01,31.5
2017-08-02,31.65
2017-08-03,29.95
2017-08-04,30.15
2017-08-07,29.5
2017-08-08,29.35
2017-08-09,29.4
2017-08-10,28.2
2017-08-11,27.65
2017-08-14,28.95
2017-08-16,28.1
2017-08-17,28.0
2017-08-18,28.7
2017-08-21,28.55
2017-08-22,28.1
2017-08-23,28.9
2017-08-24,28.5
2017-08-28,28.8
2017-08-29,27.85
2017-08-30,28.65
2017-08-31,28.45
2017-09-01,28.35
2017-09-04,28.25
2017-09-05,28.55
2017-09-06,30.9
2017-09-07,32.7
2017-09-08,32.55
2017-09-11,31.1
2017-09-12,30.65
2017-09-13,30.05
2017-09-14,30.05
2017-09-15,30.1
2017-09-18,29.55
2017-09-19,30.4
2017-09-20,30.45
2017-09-21,30.25
2017-09-22,29.3
2017-09-25,35.15
2017-09-26,32.7
2017-09-27,31.25
2017-09-28,30.75
2017-09-29,30.15
2017-10-03,29.8
2017-10-04,35.75
2017-10-05,36.25
2017-10-06,36.3
2017-10-09,35.2
2017-10-10,35.05
2017-10-11,33.95
2017-10-12,34.05
2017-10-13,33.95
2017-10-16,32.7
2017-10-17,32.6
2017-10-18,33.7
2017-10-19,33.7
2017-10-23,33.55
2017-10-24,35.0
2017-10-25,34.45
2017-10-26,34.0
2017-10-27,33.75
2017-10-30,33.9
2017-10-31,35.0
2017-11-01,34.7
2017-11-02,35.25
2017-11-03,34.5
2017-11-06,34.3
2017-11-07,36.35
2017-11-08,43.25
2017-11-09,46.4
2017-11-10,42.65
2017-11-13,43.65
2017-11-14,42.4
2017-11-15,38.3
2017-11-16,37.85
2017-11-17,38.45
2017-11-20,45.65
2017-11-21,44.65
2017-11-22,44.2
2017-11-23,51.55
2017-11-24,54.65
2017-11-27,57.65
2017-11-28,56.95
2017-11-29,54.15
2017-11-30,52.05
2017-12-01,50.7
2017-12-04,48.05
2017-12-05,45.5
2017-12-06,50.05
