Date,NITCO
2017-01-02,52.25
2017-01-03,54.85
2017-01-04,57.55
2017-01-05,60.4
2017-01-06,58.35
2017-01-09,59.05
2017-01-10,58.35
2017-01-11,61.25
2017-01-12,59.9
2017-01-13,59.25
2017-01-16,61.05
2017-01-17,60.2
2017-01-18,59.9
2017-01-19,59.55
2017-01-20,58.8
2017-01-23,59.9
2017-01-24,60.8
2017-01-25,60.25
2017-01-27,59.9
2017-01-30,62.85
2017-01-31,62.85
2017-02-01,64.05
2017-02-02,63.1
2017-02-03,62.55
2017-02-06,62.9
2017-02-07,64.35
2017-02-08,66.3
2017-02-09,65.2
2017-02-10,64.65
2017-02-13,63.95
2017-02-14,62.75
2017-02-15,59.4
2017-02-16,60.8
2017-02-17,61.45
2017-02-20,61.0
2017-02-21,60.8
2017-02-22,60.1
2017-02-23,58.45
2017-02-27,57.8
2017-02-28,59.6
2017-03-01,59.1
2017-03-02,58.05
2017-03-03,57.9
2017-03-06,57.85
2017-03-07,57.15
2017-03-08,56.4
2017-03-09,54.95
2017-03-10,55.1
2017-03-14,56.35
2017-03-15,54.85
2017-03-16,56.9
2017-03-17,56.85
2017-03-20,58.15
2017-03-21,57.5
2017-03-22,55.75
2017-03-23,55.1
2017-03-24,55.6
2017-03-27,54.5
2017-03-28,53.55
2017-03-29,52.95
2017-03-30,52.75
2017-03-31,58.0
2017-04-03,57.8
2017-04-05,58.6
2017-04-06,60.65
2017-04-07,60.25
2017-04-10,61.55
2017-04-11,67.6
2017-04-12,65.6
2017-04-13,65.5
2017-04-17,68.6
2017-04-18,66.4
2017-04-19,66.8
2017-04-20,66.75
2017-04-21,66.85
2017-04-24,67.45
2017-04-25,67.1
2017-04-26,67.5
2017-04-27,69.9
2017-04-28,70.6
2017-05-02,68.15
2017-05-03,68.2
2017-05-04,67.05
2017-05-05,65.35
2017-05-08,65.9
2017-05-09,66.15
2017-05-10,69.85
2017-05-11,68.3
2017-05-12,67.25
2017-05-15,69.55
2017-05-16,72.45
2017-05-17,69.3
2017-05-18,67.2
2017-05-19,68.15
2017-05-22,66.25
2017-05-23,63.65
2017-05-24,60.75
2017-05-25,62.95
2017-05-26,64.6
2017-05-29,62.6
2017-05-30,62.55
2017-05-31,62.1
2017-06-01,61.4
2017-06-02,64.4
2017-06-05,66.35
2017-06-06,65.9
2017-06-07,65.6
2017-06-08,64.65
2017-06-09,62.9
2017-06-12,61.65
2017-06-13,64.4
2017-06-14,73.75
2017-06-15,73.0
2017-06-16,72.7
2017-06-19,75.05
2017-06-20,74.3
2017-06-21,70.9
2017-06-22,69.95
2017-06-23,65.45
2017-06-27,61.2
2017-06-28,64.3
2017-06-29,64.55
2017-06-30,65.15
2017-07-03,65.95
2017-07-04,68.5
2017-07-05,69.45
2017-07-06,76.5
2017-07-07,74.2
2017-07-10,73.45
2017-07-11,71.65
2017-07-12,74.1
2017-07-13,72.05
2017-07-14,70.45
2017-07-17,70.9
2017-07-18,68.95
2017-07-19,71.0
2017-07-20,69.75
2017-07-21,68.6
2017-07-24,68.5
2017-07-25,68.8
2017-07-26,69.25
2017-07-27,70.0
2017-07-28,72.6
2017-07-31,70.8
2017-08-01,69.85
2017-08-02,69.1
2017-08-03,67.35
2017-08-04,67.7
2017-08-07,68.55
2017-08-08,66.25
2017-08-09,65.25
2017-08-10,61.45
2017-08-11,57.9
2017-08-14,59.5
2017-08-16,63.35
2017-08-17,63.2
2017-08-18,69.35
2017-08-21,65.3
2017-08-22,64.65
2017-08-23,66.8
2017-08-24,68.0
2017-08-28,68.15
2017-08-29,70.45
2017-08-30,73.3
2017-08-31,72.95
2017-09-01,85.3
2017-09-04,92.55
2017-09-05,104.0
2017-09-06,102.9
2017-09-07,101.95
2017-09-08,99.65
2017-09-11,99.35
2017-09-12,100.1
2017-09-13,96.1
2017-09-14,94.7
2017-09-15,93.55
2017-09-18,95.7
2017-09-19,100.75
2017-09-20,98.4
2017-09-21,96.5
2017-09-22,90.15
2017-09-25,84.65
2017-09-26,87.6
2017-09-27,82.8
2017-09-28,84.05
2017-09-29,86.0
2017-10-03,91.7
2017-10-04,91.6
2017-10-05,88.2
2017-10-06,91.65
2017-10-09,93.5
2017-10-10,96.6
2017-10-11,92.35
2017-10-12,94.3
2017-10-13,94.05
2017-10-16,92.9
2017-10-17,92.7
2017-10-18,91.75
2017-10-19,91.4
2017-10-23,91.05
2017-10-24,94.6
2017-10-25,92.2
2017-10-26,91.75
2017-10-27,91.6
2017-10-30,92.15
2017-10-31,90.25
2017-11-01,90.1
2017-11-02,91.7
2017-11-03,90.8
2017-11-06,90.3
2017-11-07,87.35
2017-11-08,81.6
2017-11-09,86.75
2017-11-10,88.7
2017-11-13,85.4
2017-11-14,83.2
2017-11-15,81.05
2017-11-16,81.2
2017-11-17,83.55
2017-11-20,84.25
2017-11-21,83.9
2017-11-22,82.85
2017-11-23,84.75
2017-11-24,87.85
2017-11-27,85.5
2017-11-28,85.65
2017-11-29,89.7
2017-11-30,88.25
2017-12-01,92.9
2017-12-04,109.55
2017-12-05,117.85
2017-12-06,108.95
2017-12-07,108.8
2017-12-08,105.2
2017-12-11,103.6
2017-12-12,101.75
2017-12-13,106.3
2017-12-14,103.5
2017-12-15,102.85
2017-12-18,102.95
2017-12-19,115.3
2017-12-20,116.8
2017-12-21,112.9
2017-12-22,111.45
2017-12-26,114.4
2017-12-27,110.15
2017-12-28,108.7
2017-12-29,109.75
