Date,PROZONINTU
2017-01-02,35.65
2017-01-03,37.05
2017-01-04,38.55
2017-01-05,37.4
2017-01-06,36.05
2017-01-09,36.75
2017-01-10,36.5
2017-01-11,35.8
2017-01-12,36.55
2017-01-13,36.5
2017-01-16,36.4
2017-01-17,35.35
2017-01-18,35.0
2017-01-19,35.15
2017-01-20,33.95
2017-01-23,34.45
2017-01-24,34.4
2017-01-25,34.15
2017-01-27,34.9
2017-01-30,35.3
2017-01-31,34.55
2017-02-01,36.25
2017-02-02,37.2
2017-02-03,35.95
2017-02-06,35.65
2017-02-07,36.55
2017-02-08,38.65
2017-02-09,37.7
2017-02-10,37.65
2017-02-13,37.5
2017-02-14,35.85
2017-02-15,34.35
2017-02-16,36.05
2017-02-17,35.55
2017-02-20,35.65
2017-02-21,35.6
2017-02-22,35.2
2017-02-23,34.95
2017-02-27,34.65
2017-02-28,36.35
2017-03-01,35.95
2017-03-02,34.95
2017-03-03,35.0
2017-03-06,35.1
2017-03-07,35.55
2017-03-08,34.75
2017-03-09,33.05
2017-03-10,34.4
2017-03-14,34.5
2017-03-15,34.7
2017-03-16,34.9
2017-03-17,34.6
2017-03-20,35.95
2017-03-21,35.7
2017-03-22,35.2
2017-03-23,35.5
2017-03-24,35.75
2017-03-27,35.3
2017-03-28,35.4
2017-03-29,35.0
2017-03-30,35.4
2017-03-31,36.95
2017-04-03,37.55
2017-04-05,41.3
2017-04-06,45.4
2017-04-07,47.35
2017-04-10,47.05
2017-04-11,48.3
2017-04-12,46.35
2017-04-13,45.7
2017-04-17,47.0
2017-04-18,44.95
2017-04-19,45.95
2017-04-20,46.7
2017-04-21,45.85
2017-04-24,45.7
2017-04-25,47.95
2017-04-26,47.65
2017-04-27,48.05
2017-04-28,47.6
2017-05-02,45.65
2017-05-03,45.15
2017-05-04,44.7
2017-05-05,42.8
2017-05-08,44.9
2017-05-09,44.35
2017-05-10,44.75
2017-05-11,44.45
2017-05-12,44.0
2017-05-15,43.7
2017-05-16,45.85
2017-05-17,45.8
2017-05-18,43.6
2017-05-19,43.05
2017-05-22,41.65
2017-05-23,40.15
2017-05-24,40.8
2017-05-25,41.35
2017-05-26,41.85
2017-05-29,40.9
2017-05-30,40.05
2017-05-31,41.0
2017-06-01,41.55
2017-06-02,41.95
2017-06-05,40.65
2017-06-06,40.5
2017-06-07,42.05
2017-06-08,41.6
2017-06-09,41.65
2017-06-12,41.35
2017-06-13,41.25
2017-06-14,41.9
2017-06-15,41.8
2017-06-16,44.4
2017-06-19,43.85
2017-06-20,43.35
2017-06-21,43.0
2017-06-22,42.0
2017-06-23,41.2
2017-06-27,40.35
2017-06-28,40.45
2017-06-29,40.75
2017-06-30,40.4
2017-07-03,41.3
2017-07-04,41.65
2017-07-05,41.9
2017-07-06,43.15
2017-07-07,42.4
2017-07-10,42.5
2017-07-11,41.55
2017-07-12,41.7
2017-07-13,41.45
2017-07-14,40.9
2017-07-17,40.7
2017-07-18,40.8
2017-07-19,43.05
2017-07-20,43.7
2017-07-21,42.7
2017-07-24,42.85
2017-07-25,42.1
2017-07-26,42.2
2017-07-27,41.0
2017-07-28,41.5
2017-07-31,41.3
2017-08-01,40.7
2017-08-02,40.25
2017-08-03,40.05
2017-08-04,40.75
2017-08-07,41.3
2017-08-08,40.05
2017-08-09,39.95
2017-08-10,36.9
2017-08-11,37.2
2017-08-14,39.7
2017-08-16,39.6
2017-08-17,41.35
2017-08-18,41.2
2017-08-21,40.25
2017-08-22,40.05
2017-08-23,42.2
2017-08-24,44.7
2017-08-28,44.75
2017-08-29,42.45
2017-08-30,41.9
2017-08-31,42.4
2017-09-01,42.85
2017-09-04,42.4
2017-09-05,42.4
2017-09-06,42.6
2017-09-07,44.65
2017-09-08,43.25
2017-09-11,43.65
2017-09-12,44.35
2017-09-13,43.35
2017-09-14,42.45
2017-09-15,50.5
2017-09-18,56.85
2017-09-19,57.15
2017-09-20,58.0
2017-09-21,57.35
2017-09-22,53.15
2017-09-25,49.95
2017-09-26,52.25
2017-09-27,49.45
2017-09-28,50.6
2017-09-29,51.15
2017-10-03,50.9
2017-10-04,53.3
2017-10-05,55.65
2017-10-06,58.15
2017-10-09,56.95
2017-10-10,56.95
2017-10-11,54.35
2017-10-12,54.85
2017-10-13,54.95
2017-10-16,54.05
2017-10-17,56.65
2017-10-18,55.3
2017-10-19,54.15
2017-10-23,55.65
2017-10-24,66.75
2017-10-25,62.6
2017-10-26,62.55
2017-10-27,64.35
2017-10-30,63.8
2017-10-31,63.3
2017-11-01,63.75
2017-11-02,63.5
2017-11-03,62.65
2017-11-06,61.45
2017-11-07,59.15
2017-11-08,58.3
2017-11-09,58.65
2017-11-10,59.7
2017-11-13,60.4
2017-11-14,59.85
2017-11-15,58.55
2017-11-16,64.9
2017-11-17,64.85
2017-11-20,69.55
2017-11-21,67.95
2017-11-22,68.95
2017-11-23,72.15
2017-11-24,73.15
2017-11-27,74.25
2017-11-28,72.85
2017-11-29,71.55
2017-11-30,70.3
2017-12-01,67.25
2017-12-04,66.85
2017-12-05,65.75
2017-12-06,66.15
2017-12-07,73.4
2017-12-08,72.2
2017-12-11,70.85
2017-12-12,75.75
2017-12-13,72.4
2017-12-14,70.9
2017-12-15,70.95
2017-12-18,72.6
2017-12-19,73.45
2017-12-20,74.0
2017-12-21,73.85
2017-12-22,74.0
2017-12-26,75.0
2017-12-27,72.9
2017-12-28,72.05
2017-12-29,71.65
