Date,NIBL
2017-01-02,29.75
2017-01-03,29.8
2017-01-04,29.75
2017-01-05,29.9
2017-01-06,29.8
2017-01-09,29.7
2017-01-10,31.6
2017-01-11,31.7
2017-01-12,31.4
2017-01-13,31.5
2017-01-16,31.75
2017-01-17,32.9
2017-01-18,33.25
2017-01-19,32.75
2017-01-20,33.0
2017-01-23,33.6
2017-01-24,36.3
2017-01-25,36.5
2017-01-27,36.25
2017-01-30,35.5
2017-01-31,34.2
2017-02-01,34.75
2017-02-02,34.95
2017-02-03,37.2
2017-02-06,36.4
2017-02-07,36.25
2017-02-08,36.4
2017-02-09,36.65
2017-02-10,35.85
2017-02-13,36.05
2017-02-14,36.0
2017-02-15,35.55
2017-02-16,35.4
2017-02-17,34.8
2017-02-20,36.0
2017-02-21,35.3
2017-02-22,35.1
2017-02-23,34.8
2017-02-27,35.0
2017-02-28,35.25
2017-03-01,35.75
2017-03-02,34.35
2017-03-03,34.95
2017-03-06,34.75
2017-03-07,35.4
2017-03-08,34.25
2017-03-09,34.95
2017-03-10,35.45
2017-03-14,34.8
2017-03-15,34.1
2017-03-16,34.05
2017-03-17,34.45
2017-03-20,34.2
2017-03-21,34.1
2017-03-22,32.9
2017-03-23,32.95
2017-03-24,32.55
2017-03-27,32.5
2017-03-28,32.0
2017-03-29,31.9
2017-03-30,30.85
2017-03-31,32.1
2017-04-03,32.2
2017-04-05,31.6
2017-04-06,32.4
2017-04-07,31.35
2017-04-10,32.1
2017-04-11,34.05
2017-04-12,33.5
2017-04-13,33.2
2017-04-17,33.0
2017-04-18,32.95
2017-04-19,32.9
2017-04-20,33.4
2017-04-21,33.45
2017-04-24,34.5
2017-04-25,34.25
2017-04-26,33.8
2017-04-27,32.2
2017-04-28,33.7
2017-05-02,35.2
2017-05-03,39.6
2017-05-04,38.1
2017-05-05,36.55
2017-05-08,36.25
2017-05-09,36.35
2017-05-10,36.55
2017-05-11,40.95
2017-05-12,42.55
2017-05-15,43.2
2017-05-16,40.5
2017-05-17,39.95
2017-05-18,39.2
2017-05-19,38.0
2017-05-22,38.0
2017-05-23,36.35
2017-05-24,35.25
2017-05-25,35.45
2017-05-26,36.3
2017-05-29,38.65
2017-05-30,35.85
2017-05-31,35.85
2017-06-01,36.05
2017-06-02,36.6
2017-06-05,36.3
2017-06-06,34.7
2017-06-07,35.15
2017-06-08,35.0
2017-06-09,35.45
2017-06-12,34.85
2017-06-13,34.3
2017-06-14,34.1
2017-06-15,32.95
2017-06-16,33.5
2017-06-19,33.15
2017-06-20,33.0
2017-06-21,34.95
2017-06-22,33.25
2017-06-23,32.35
2017-06-27,31.8
2017-06-28,32.2
2017-06-29,31.15
2017-06-30,32.4
2017-07-03,33.0
2017-07-04,32.65
2017-07-05,34.35
2017-07-06,36.9
2017-07-07,38.5
2017-07-10,38.6
2017-07-11,38.05
2017-07-12,38.8
2017-07-13,39.0
2017-07-14,37.55
2017-07-17,36.0
2017-07-18,34.5
2017-07-19,34.25
2017-07-20,34.4
2017-07-21,34.6
2017-07-24,35.15
2017-07-25,34.25
2017-07-26,34.15
2017-07-27,33.5
2017-07-28,33.3
2017-07-31,34.05
2017-08-01,33.8
2017-08-02,34.55
2017-08-03,33.2
2017-08-04,31.7
2017-08-07,31.75
2017-08-08,30.0
2017-08-09,29.95
2017-08-10,29.45
2017-08-11,30.15
2017-08-14,28.45
2017-08-16,28.7
2017-08-17,29.7
2017-08-18,30.95
2017-08-21,31.1
2017-08-22,30.3
2017-08-23,29.4
2017-08-24,31.2
2017-08-28,30.15
2017-08-29,30.1
2017-08-30,30.8
2017-08-31,30.8
2017-09-01,31.15
2017-09-04,30.75
2017-09-05,30.5
2017-09-06,30.35
2017-09-07,30.8
2017-09-08,30.7
2017-09-11,32.85
2017-09-12,32.5
2017-09-13,31.75
2017-09-14,32.1
2017-09-15,31.1
2017-09-18,30.55
2017-09-19,29.95
2017-09-20,30.15
2017-09-21,30.45
2017-09-22,30.0
2017-09-25,29.9
2017-09-26,30.05
2017-09-27,28.85
2017-09-28,29.0
2017-09-29,29.35
2017-10-03,29.1
2017-10-04,29.45
2017-10-05,29.4
2017-10-06,28.55
2017-10-09,29.05
2017-10-10,29.2
2017-10-11,29.65
2017-10-12,29.8
2017-10-13,29.65
2017-10-16,28.8
2017-10-17,28.95
2017-10-18,29.05
2017-10-19,29.8
2017-10-23,30.1
2017-10-24,30.05
2017-10-25,29.7
2017-10-26,30.4
2017-10-27,29.55
2017-10-30,29.65
2017-10-31,31.35
2017-11-01,31.75
2017-11-02,32.3
2017-11-03,31.15
2017-11-06,31.15
2017-11-07,31.75
2017-11-08,31.3
2017-11-09,31.3
2017-11-10,31.0
2017-11-13,30.85
2017-11-14,30.35
2017-11-15,30.0
2017-11-16,29.45
2017-11-17,29.25
2017-11-20,30.1
2017-11-21,29.0
2017-11-22,29.4
2017-11-23,29.3
2017-11-24,29.5
2017-11-27,29.85
2017-11-28,30.1
2017-11-29,29.55
2017-11-30,29.8
2017-12-01,28.65
2017-12-04,29.65
2017-12-05,29.15
2017-12-06,30.05
2017-12-07,29.95
2017-12-08,29.9
2017-12-11,29.35
2017-12-12,29.3
2017-12-13,29.05
2017-12-14,28.95
2017-12-15,29.2
2017-12-18,28.5
2017-12-19,28.65
2017-12-20,29.2
2017-12-21,29.8
2017-12-22,29.1
2017-12-26,29.15
2017-12-27,29.35
2017-12-28,29.4
2017-12-29,29.4
