Date,CARBORUNIV
2017-01-02,250.35
2017-01-03,253.8
2017-01-04,250.75
2017-01-05,254.75
2017-01-06,253.55
2017-01-09,256.9
2017-01-10,254.55
2017-01-11,264.55
2017-01-12,258.5
2017-01-13,255.65
2017-01-16,255.85
2017-01-17,252.45
2017-01-18,254.1
2017-01-19,250.4
2017-01-20,248.45
2017-01-23,248.95
2017-01-24,249.3
2017-01-25,254.0
2017-01-27,256.2
2017-01-30,256.75
2017-01-31,254.95
2017-02-01,261.4
2017-02-02,261.45
2017-02-03,257.55
2017-02-06,261.8
2017-02-07,260.35
2017-02-08,263.6
2017-02-09,268.15
2017-02-10,263.7
2017-02-13,259.95
2017-02-14,262.15
2017-02-15,257.05
2017-02-16,262.05
2017-02-17,261.85
2017-02-20,261.5
2017-02-21,260.55
2017-02-22,258.55
2017-02-23,257.75
2017-02-27,255.95
2017-02-28,255.75
2017-03-01,261.85
2017-03-02,263.5
2017-03-03,263.85
2017-03-06,261.5
2017-03-07,259.25
2017-03-08,256.45
2017-03-09,257.15
2017-03-10,255.5
2017-03-14,254.1
2017-03-15,269.8
2017-03-16,270.9
2017-03-17,266.35
2017-03-20,269.9
2017-03-21,268.05
2017-03-22,270.45
2017-03-23,269.3
2017-03-24,280.2
2017-03-27,285.2
2017-03-28,284.65
2017-03-29,288.25
2017-03-30,286.55
2017-03-31,290.5
2017-04-03,291.05
2017-04-05,299.45
2017-04-06,301.35
2017-04-07,298.65
2017-04-10,300.15
2017-04-11,299.55
2017-04-12,300.2
2017-04-13,294.95
2017-04-17,296.3
2017-04-18,292.0
2017-04-19,292.4
2017-04-20,293.9
2017-04-21,293.95
2017-04-24,294.6
2017-04-25,293.0
2017-04-26,290.65
2017-04-27,291.65
2017-04-28,292.7
2017-05-02,291.85
2017-05-03,293.1
2017-05-04,297.2
2017-05-05,292.1
2017-05-08,291.8
2017-05-09,297.6
2017-05-10,296.0
2017-05-11,296.15
2017-05-12,295.0
2017-05-15,309.25
2017-05-16,311.9
2017-05-17,311.5
2017-05-18,303.25
2017-05-19,297.6
2017-05-22,295.5
2017-05-23,293.95
2017-05-24,288.6
2017-05-25,289.9
2017-05-26,296.55
2017-05-29,294.05
2017-05-30,300.7
2017-05-31,300.6
2017-06-01,298.45
2017-06-02,297.65
2017-06-05,297.95
2017-06-06,296.4
2017-06-07,295.65
2017-06-08,292.95
2017-06-09,301.85
2017-06-12,311.7
2017-06-13,320.95
2017-06-14,333.2
2017-06-15,336.95
2017-06-16,336.2
2017-06-19,332.15
2017-06-20,330.1
2017-06-21,331.45
2017-06-22,330.05
2017-06-23,331.4
2017-06-27,325.3
2017-06-28,322.85
2017-06-29,322.1
2017-06-30,325.25
2017-07-03,330.65
2017-07-04,331.15
2017-07-05,329.7
2017-07-06,334.15
2017-07-07,342.65
2017-07-10,340.25
2017-07-11,337.5
2017-07-12,341.1
2017-07-13,344.45
2017-07-14,349.35
2017-07-17,347.3
2017-07-18,347.2
2017-07-19,353.65
2017-07-20,350.45
2017-07-21,357.05
2017-07-24,356.55
2017-07-25,349.15
2017-07-26,348.0
2017-07-27,344.2
2017-07-28,349.25
2017-07-31,339.15
2017-08-01,336.9
2017-08-02,334.0
2017-08-03,335.15
2017-08-04,337.55
2017-08-07,336.35
2017-08-08,334.3
2017-08-09,337.85
2017-08-10,327.6
2017-08-11,327.75
2017-08-14,340.55
2017-08-16,340.05
2017-08-17,345.45
2017-08-18,337.65
2017-08-21,336.55
2017-08-22,335.4
2017-08-23,338.6
2017-08-24,334.3
2017-08-28,344.65
2017-08-29,345.7
2017-08-30,351.95
2017-08-31,353.3
2017-09-01,349.35
2017-09-04,342.8
2017-09-05,344.05
2017-09-06,340.75
2017-09-07,344.7
2017-09-08,346.7
2017-09-11,345.05
2017-09-12,350.0
2017-09-13,347.7
2017-09-14,358.75
2017-09-15,351.45
2017-09-18,347.85
2017-09-19,350.2
2017-09-20,349.3
2017-09-21,345.25
2017-09-22,329.2
2017-09-25,326.5
2017-09-26,323.6
2017-09-27,315.2
2017-09-28,316.75
2017-09-29,317.75
2017-10-03,315.3
2017-10-04,317.8
2017-10-05,316.45
2017-10-06,326.95
2017-10-09,329.65
2017-10-10,330.3
2017-10-11,325.75
2017-10-12,324.05
2017-10-13,324.6
2017-10-16,329.0
2017-10-17,327.85
2017-10-18,323.15
2017-10-19,332.2
2017-10-23,334.9
2017-10-24,344.15
2017-10-25,345.9
2017-10-26,344.55
2017-10-27,345.2
2017-10-30,345.85
2017-10-31,361.3
2017-11-01,361.25
2017-11-02,367.5
2017-11-03,366.0
2017-11-06,367.9
2017-11-07,358.65
2017-11-08,354.5
2017-11-09,374.25
2017-11-10,374.2
2017-11-13,370.9
2017-11-14,370.05
2017-11-15,378.05
2017-11-16,376.55
2017-11-17,375.55
2017-11-20,375.5
2017-11-21,380.6
2017-11-22,380.65
2017-11-23,384.05
2017-11-24,386.7
2017-11-27,380.6
2017-11-28,380.45
2017-11-29,381.0
2017-11-30,380.05
2017-12-01,381.9
2017-12-04,389.05
2017-12-05,383.15
2017-12-06,380.0
2017-12-07,383.8
2017-12-08,387.2
2017-12-11,381.0
2017-12-12,380.8
2017-12-13,380.15
2017-12-14,377.35
2017-12-15,377.05
2017-12-18,380.35
2017-12-19,380.1
2017-12-20,379.75
2017-12-21,378.1
2017-12-22,380.55
2017-12-26,377.95
2017-12-27,378.7
2017-12-28,381.45
2017-12-29,376.15
