Date,SURANASOL
2017-01-02,22.15
2017-01-03,22.15
2017-01-04,22.15
2017-01-05,22.3
2017-01-06,22.2
2017-01-09,22.3
2017-01-10,23.35
2017-01-11,23.2
2017-01-12,22.75
2017-01-13,22.5
2017-01-16,22.3
2017-01-17,22.25
2017-01-18,22.75
2017-01-19,23.85
2017-01-20,24.05
2017-01-23,24.15
2017-01-24,24.0
2017-01-25,23.55
2017-01-27,24.0
2017-01-30,24.05
2017-01-31,23.9
2017-02-01,23.5
2017-02-02,22.95
2017-02-03,22.9
2017-02-06,23.55
2017-02-07,23.3
2017-02-08,23.8
2017-02-09,23.15
2017-02-10,23.05
2017-02-13,22.9
2017-02-14,22.9
2017-02-15,22.45
2017-02-16,22.35
2017-02-17,22.1
2017-02-20,22.25
2017-02-21,22.15
2017-02-22,22.85
2017-02-23,23.15
2017-02-27,22.5
2017-02-28,22.65
2017-03-01,22.4
2017-03-02,22.35
2017-03-03,22.3
2017-03-06,22.05
2017-03-07,22.0
2017-03-08,21.85
2017-03-09,21.6
2017-03-10,21.65
2017-03-14,21.25
2017-03-15,21.3
2017-03-16,21.35
2017-03-17,21.5
2017-03-20,21.5
2017-03-21,20.75
2017-03-22,20.1
2017-03-23,20.35
2017-03-24,20.0
2017-03-27,19.6
2017-03-28,20.05
2017-03-29,19.7
2017-03-30,20.05
2017-03-31,20.2
2017-04-03,20.65
2017-04-05,21.6
2017-04-06,21.9
2017-04-07,21.8
2017-04-10,21.9
2017-04-11,22.15
2017-04-12,22.2
2017-04-13,22.85
2017-04-17,23.95
2017-04-18,24.0
2017-04-19,23.4
2017-04-20,23.2
2017-04-21,23.25
2017-04-24,23.2
2017-04-25,23.15
2017-04-26,23.75
2017-04-27,23.8
2017-04-28,23.2
2017-05-02,23.1
2017-05-03,22.65
2017-05-04,22.55
2017-05-05,21.7
2017-05-08,22.0
2017-05-09,21.45
2017-05-10,21.7
2017-05-11,21.7
2017-05-12,21.1
2017-05-15,21.4
2017-05-16,25.35
2017-05-17,26.25
2017-05-18,23.9
2017-05-19,22.05
2017-05-22,22.5
2017-05-23,21.6
2017-05-24,21.0
2017-05-25,21.2
2017-05-26,21.1
2017-05-29,21.2
2017-05-30,21.1
2017-05-31,21.5
2017-06-01,21.75
2017-06-02,21.35
2017-06-05,21.4
2017-06-06,21.2
2017-06-07,21.0
2017-06-08,20.85
2017-06-09,20.95
2017-06-12,20.7
2017-06-13,20.4
2017-06-14,20.05
2017-06-15,20.2
2017-06-16,20.35
2017-06-19,20.15
2017-06-20,20.15
2017-06-21,20.05
2017-06-22,19.55
2017-06-23,19.05
2017-06-27,18.9
2017-06-28,18.9
2017-06-29,18.8
2017-06-30,18.5
2017-07-03,18.9
2017-07-04,18.95
2017-07-05,18.85
2017-07-06,19.0
2017-07-07,18.9
2017-07-10,18.7
2017-07-11,17.5
2017-07-12,17.7
2017-07-13,18.35
2017-07-14,17.45
2017-07-17,16.9
2017-07-18,17.3
2017-07-19,17.45
2017-07-20,17.35
2017-07-21,17.15
2017-07-24,17.25
2017-07-25,17.2
2017-07-26,17.45
2017-07-27,17.45
2017-07-28,17.15
2017-07-31,17.05
2017-08-01,16.75
2017-08-02,16.45
2017-08-03,15.6
2017-08-04,15.4
2017-08-07,16.15
2017-08-08,15.8
2017-08-09,15.1
2017-08-10,14.75
2017-08-11,14.65
2017-08-14,15.25
2017-08-16,14.95
2017-08-17,14.8
2017-08-18,14.95
2017-08-21,14.7
2017-08-22,14.6
2017-08-23,14.9
2017-08-24,14.7
2017-08-28,14.9
2017-08-29,15.25
2017-08-30,15.45
2017-08-31,16.05
2017-09-01,15.75
2017-09-04,15.65
2017-09-05,15.15
2017-09-06,15.35
2017-09-07,15.2
2017-09-08,14.95
2017-09-11,14.65
2017-09-12,15.0
2017-09-13,15.0
2017-09-14,15.05
2017-09-15,14.8
2017-09-18,15.9
2017-09-19,15.45
2017-09-20,15.0
2017-09-21,14.95
2017-09-22,14.65
2017-09-25,14.8
2017-09-26,14.6
2017-09-27,14.25
2017-09-28,14.4
2017-09-29,14.7
2017-10-03,14.45
2017-10-04,14.4
2017-10-05,14.7
2017-10-06,14.75
2017-10-09,14.65
2017-10-10,14.6
2017-10-11,14.5
2017-10-12,14.5
2017-10-13,15.4
2017-10-16,14.95
2017-10-17,14.95
2017-10-18,14.9
2017-10-19,14.6
2017-10-23,14.6
2017-10-24,14.65
2017-10-25,14.55
2017-10-26,14.5
2017-10-27,15.05
2017-10-30,16.1
2017-10-31,16.2
2017-11-01,16.0
2017-11-02,16.0
2017-11-03,15.8
2017-11-06,16.4
2017-11-07,16.0
2017-11-08,15.75
2017-11-09,15.85
2017-11-10,15.75
2017-11-13,16.8
2017-11-14,18.4
2017-11-15,16.9
2017-11-16,20.25
2017-11-17,22.3
2017-11-20,21.15
2017-11-21,20.15
2017-11-22,19.15
