Date,MANAKSTEEL
2017-01-02,8.85
2017-01-03,9.05
2017-01-04,9.35
2017-01-05,8.9
2017-01-06,9.05
2017-01-09,9.0
2017-01-10,9.5
2017-01-11,10.65
2017-01-12,10.05
2017-01-13,10.0
2017-01-16,9.5
2017-01-17,10.1
2017-01-18,10.0
2017-01-19,10.25
2017-01-20,9.8
2017-01-23,10.45
2017-01-24,11.25
2017-01-25,10.9
2017-01-27,10.7
2017-01-30,10.4
2017-01-31,10.5
2017-02-01,10.2
2017-02-02,10.55
2017-02-03,10.55
2017-02-06,10.55
2017-02-07,10.65
2017-02-08,10.4
2017-02-09,12.45
2017-02-10,14.9
2017-02-13,14.0
2017-02-14,13.4
2017-02-15,13.6
2017-02-16,13.1
2017-02-17,12.95
2017-02-20,12.5
2017-02-21,12.65
2017-02-22,12.45
2017-02-23,12.25
2017-02-27,13.45
2017-02-28,13.9
2017-03-01,13.5
2017-03-02,13.8
2017-03-03,13.5
2017-03-06,13.45
2017-03-07,13.35
2017-03-08,14.65
2017-03-09,14.2
2017-03-10,14.0
2017-03-14,13.7
2017-03-15,13.55
2017-03-16,13.6
2017-03-17,13.7
2017-03-20,13.45
2017-03-21,13.1
2017-03-22,12.75
2017-03-23,13.95
2017-03-24,13.4
2017-03-27,13.0
2017-03-28,13.2
2017-03-29,13.1
2017-03-30,13.0
2017-03-31,13.05
2017-04-03,13.55
2017-04-05,13.6
2017-04-06,13.75
2017-04-07,13.8
2017-04-10,16.55
2017-04-11,18.7
2017-04-12,17.25
2017-04-13,16.5
2017-04-17,18.8
2017-04-18,17.7
2017-04-19,18.05
2017-04-20,18.25
2017-04-21,18.0
2017-04-24,17.9
2017-04-25,17.65
2017-04-26,17.45
2017-04-27,17.15
2017-04-28,17.0
2017-05-02,17.05
2017-05-03,17.35
2017-05-04,17.35
2017-05-05,17.65
2017-05-08,17.45
2017-05-09,17.85
2017-05-10,18.9
2017-05-11,18.7
2017-05-12,18.55
2017-05-15,22.15
2017-05-16,20.6
2017-05-17,20.9
2017-05-18,19.8
2017-05-19,19.55
2017-05-22,18.65
2017-05-23,18.8
2017-05-24,18.45
2017-05-25,18.75
2017-05-26,18.45
2017-05-29,18.25
2017-05-30,17.7
2017-05-31,17.5
2017-06-01,17.35
2017-06-02,17.95
2017-06-05,18.4
2017-06-06,17.8
2017-06-07,18.0
2017-06-08,18.0
2017-06-09,17.85
2017-06-12,17.85
2017-06-13,17.9
2017-06-14,17.75
2017-06-15,17.8
2017-06-16,17.7
2017-06-19,17.4
2017-06-20,17.25
2017-06-21,16.7
2017-06-22,16.9
2017-06-23,16.9
2017-06-27,20.25
2017-06-28,20.5
2017-06-29,21.35
2017-06-30,21.3
2017-07-03,22.0
2017-07-04,22.5
2017-07-05,23.15
2017-07-06,26.5
2017-07-07,24.8
2017-07-10,24.6
2017-07-11,22.8
2017-07-12,24.45
2017-07-13,23.35
2017-07-14,23.2
2017-07-17,23.55
2017-07-18,24.15
2017-07-19,23.5
2017-07-20,22.9
2017-07-21,23.0
2017-07-24,23.1
2017-07-25,23.1
2017-07-26,22.75
2017-07-27,22.25
2017-07-28,22.15
2017-07-31,22.15
2017-08-01,22.05
2017-08-02,21.8
2017-08-03,21.1
2017-08-04,20.8
2017-08-07,21.55
2017-08-08,22.0
2017-08-09,20.55
2017-08-10,19.9
2017-08-11,20.0
2017-08-14,20.45
2017-08-16,20.7
2017-08-17,20.95
2017-08-18,21.0
2017-08-21,21.2
2017-08-22,21.1
2017-08-23,20.85
2017-08-24,25.0
2017-08-28,27.0
2017-08-29,27.05
2017-08-30,28.45
2017-08-31,29.05
2017-09-01,30.2
2017-09-04,30.25
2017-09-05,30.2
2017-09-06,29.7
2017-09-07,30.6
2017-09-08,30.25
2017-09-11,29.7
2017-09-12,30.5
2017-09-13,30.4
2017-09-14,30.1
2017-09-15,31.85
2017-09-18,33.3
2017-09-19,33.2
2017-09-20,32.3
2017-09-21,32.1
2017-09-22,31.0
2017-09-25,29.9
2017-09-26,30.55
2017-09-27,29.6
2017-09-28,28.85
2017-09-29,29.1
2017-10-03,30.45
2017-10-04,30.6
2017-10-05,31.65
2017-10-06,31.9
2017-10-09,31.7
2017-10-10,31.3
2017-10-11,30.2
2017-10-12,31.95
2017-10-13,31.1
2017-10-16,31.5
2017-10-17,31.65
2017-10-18,30.85
2017-10-19,31.2
2017-10-23,31.75
2017-10-24,33.1
2017-10-25,33.25
2017-10-26,34.25
2017-10-27,39.45
2017-10-30,45.4
2017-10-31,49.9
2017-11-01,49.15
2017-11-02,45.35
2017-11-03,44.95
2017-11-06,44.9
2017-11-07,44.95
2017-11-08,44.2
2017-11-09,45.05
2017-11-10,43.95
2017-11-13,42.95
