Date,EIDPARRY
2013-01-01,206.2
2013-01-02,204.15
2013-01-03,202.95
2013-01-04,205.5
2013-01-07,204.65
2013-01-08,203.4
2013-01-09,199.7
2013-01-10,194.9
2013-01-11,194.65
2013-01-14,194.1
2013-01-15,190.95
2013-01-16,189.95
2013-01-17,185.85
2013-01-18,182.8
2013-01-21,183.0
2013-01-22,184.9
2013-01-23,184.55
2013-01-24,179.35
2013-01-25,180.7
2013-01-28,179.0
2013-01-29,179.85
2013-01-30,178.15
2013-01-31,179.1
2013-02-01,178.65
2013-02-04,179.75
2013-02-05,171.25
2013-02-06,169.95
2013-02-07,166.55
2013-02-08,165.7
2013-02-11,165.8
2013-02-12,164.4
2013-02-13,164.2
2013-02-14,162.15
2013-02-15,166.75
2013-02-18,172.55
2013-02-19,171.65
2013-02-20,169.3
2013-02-21,160.3
2013-02-22,154.45
2013-02-25,154.0
2013-02-26,148.0
2013-02-27,148.2
2013-02-28,144.4
2013-03-01,147.65
2013-03-04,149.1
2013-03-05,149.8
2013-03-06,152.55
2013-03-07,155.95
2013-03-08,160.25
2013-03-11,164.0
2013-03-12,166.5
2013-03-13,162.9
2013-03-14,166.05
2013-03-15,163.4
2013-03-18,163.25
2013-03-19,163.4
2013-03-20,157.3
2013-03-21,154.85
2013-03-22,151.55
2013-03-25,151.15
2013-03-26,149.8
2013-03-28,149.0
2013-04-01,151.75
2013-04-02,155.6
2013-04-03,149.65
2013-04-04,150.4
2013-04-05,152.1
2013-04-08,154.55
2013-04-09,152.75
2013-04-10,152.5
2013-04-11,153.15
2013-04-12,153.6
2013-04-15,155.65
2013-04-16,154.85
2013-04-17,155.65
2013-04-18,159.0
2013-04-22,161.1
2013-04-23,154.9
2013-04-25,154.1
2013-04-26,150.9
2013-04-29,153.85
2013-04-30,153.4
2013-05-02,149.3
2013-05-03,147.2
2013-05-06,145.5
2013-05-07,144.9
2013-05-08,147.15
2013-05-09,148.25
2013-05-10,146.85
2013-05-11,146.8
2013-05-13,144.05
2013-05-14,144.0
2013-05-15,148.65
2013-05-16,150.55
2013-05-17,148.15
2013-05-20,148.5
2013-05-21,147.65
2013-05-22,143.45
2013-05-23,141.3
2013-05-24,139.65
2013-05-27,146.35
2013-05-28,149.2
2013-05-29,145.95
2013-05-30,146.4
2013-05-31,141.05
2013-06-03,143.0
2013-06-04,140.75
2013-06-05,139.85
2013-06-06,141.95
2013-06-07,140.75
2013-06-10,138.3
2013-06-11,137.9
2013-06-12,136.5
2013-06-13,133.2
2013-06-14,133.2
2013-06-17,134.6
2013-06-18,132.75
2013-06-19,133.1
2013-06-20,132.95
2013-06-21,131.15
2013-06-24,129.5
2013-06-25,135.6
2013-06-26,131.7
2013-06-27,132.0
2013-06-28,133.3
2013-07-01,134.65
2013-07-02,137.5
2013-07-03,135.15
2013-07-04,137.0
2013-07-05,137.1
2013-07-08,139.8
