Date,KOKUYOCMLN
2013-01-01,47.5
2013-01-02,46.1
2013-01-03,47.75
2013-01-04,47.8
2013-01-07,48.0
2013-01-08,46.65
2013-01-09,47.25
2013-01-10,47.2
2013-01-11,45.85
2013-01-14,46.95
2013-01-15,47.2
2013-01-16,45.7
2013-01-17,45.55
2013-01-18,44.4
2013-01-21,45.4
2013-01-22,44.35
2013-01-23,43.15
2013-01-24,41.1
2013-01-25,41.55
2013-01-28,41.7
2013-01-29,40.75
2013-01-30,42.0
2013-01-31,42.0
2013-02-01,42.05
2013-02-04,39.4
2013-02-05,39.2
2013-02-06,40.15
2013-02-07,39.55
2013-02-08,39.65
2013-02-11,39.6
2013-02-12,38.55
2013-02-13,38.8
2013-02-14,37.25
2013-02-15,36.95
2013-02-18,37.1
2013-02-19,37.75
2013-02-20,37.65
2013-02-21,36.85
2013-02-22,36.9
2013-02-25,37.0
2013-02-26,36.05
2013-02-27,36.1
2013-02-28,36.05
2013-03-01,35.65
2013-03-04,34.95
2013-03-05,34.5
2013-03-06,34.65
2013-03-07,35.5
2013-03-08,34.0
2013-03-11,33.5
2013-03-12,33.45
2013-03-13,33.45
2013-03-14,33.0
2013-03-15,33.45
2013-03-18,33.35
2013-03-19,32.85
2013-03-20,32.8
2013-03-21,31.9
2013-03-22,34.35
2013-03-25,31.1
2013-03-26,30.95
2013-03-28,30.8
2013-04-01,32.5
2013-04-02,33.1
2013-04-03,32.85
2013-04-04,31.45
2013-04-05,31.9
2013-04-08,32.35
2013-04-09,32.0
2013-04-10,31.6
2013-04-11,31.65
2013-04-12,32.05
2013-04-15,34.45
2013-04-16,34.65
2013-04-17,33.85
2013-04-18,34.5
2013-04-22,33.55
2013-04-23,33.75
2013-04-25,34.2
2013-04-26,33.45
2013-04-29,33.95
2013-04-30,33.25
2013-05-02,33.2
2013-05-03,33.65
2013-05-06,33.25
2013-05-07,33.3
2013-05-08,33.85
2013-05-09,34.85
2013-05-10,35.7
2013-05-11,36.35
2013-05-13,36.65
2013-05-14,36.35
2013-05-15,36.2
2013-05-16,35.0
2013-05-17,33.95
2013-05-20,33.65
2013-05-21,33.55
2013-05-22,33.6
2013-05-23,31.95
2013-05-24,32.5
2013-05-27,32.8
2013-05-28,32.7
2013-05-29,32.5
2013-05-30,33.0
2013-05-31,32.9
2013-06-03,32.8
2013-06-04,33.2
2013-06-05,33.05
2013-06-06,33.1
2013-06-07,32.95
2013-06-10,32.65
2013-06-11,31.8
2013-06-12,32.15
2013-06-13,31.4
2013-06-14,32.2
2013-06-17,32.05
2013-06-18,31.75
2013-06-19,31.95
2013-06-20,31.8
2013-06-21,31.1
2013-06-24,30.4
2013-06-25,30.1
2013-06-26,29.6
2013-06-27,29.45
2013-06-28,29.95
2013-07-01,30.25
2013-07-02,29.6
2013-07-03,29.45
2013-07-04,29.35
2013-07-05,29.25
2013-07-08,29.25
2013-07-09,28.2
2013-07-10,28.35
2013-07-11,28.45
2013-07-12,28.05
2013-07-15,30.35
2013-07-16,28.95
2013-07-17,28.7
2013-07-18,28.05
2013-07-19,28.75
2013-07-22,28.45
2013-07-23,29.5
2013-07-24,29.75
2013-07-25,29.95
2013-07-26,29.4
2013-07-29,28.85
2013-07-30,28.4
2013-07-31,28.45
2013-08-01,28.05
2013-08-02,27.5
2013-08-05,27.9
2013-08-06,27.2
2013-08-07,28.25
2013-08-08,29.95
2013-08-12,29.95
2013-08-13,30.7
2013-08-14,29.2
2013-08-16,28.45
2013-08-19,29.05
2013-08-20,29.0
2013-08-21,28.45
2013-08-22,28.55
2013-08-23,29.5
2013-08-26,30.15
2013-08-27,29.0
2013-08-28,28.65
2013-08-29,29.05
2013-08-30,29.0
2013-09-02,30.15
2013-09-03,29.95
2013-09-04,29.95
2013-09-05,29.7
2013-09-06,30.25
2013-09-10,30.8
2013-09-11,30.0
2013-09-12,30.75
2013-09-13,31.2
2013-09-16,31.3
2013-09-17,31.15
2013-09-18,30.8
2013-09-19,30.5
2013-09-20,29.7
2013-09-23,28.95
2013-09-24,28.85
2013-09-25,29.4
2013-09-26,29.2
2013-09-27,29.5
2013-09-30,29.1
2013-10-01,29.75
2013-10-03,29.2
2013-10-04,28.85
2013-10-07,29.3
2013-10-08,29.5
2013-10-09,30.35
2013-10-10,30.65
2013-10-11,30.0
2013-10-14,30.3
2013-10-15,29.6
2013-10-17,29.75
2013-10-18,29.4
2013-10-21,29.95
2013-10-22,30.7
2013-10-23,30.5
2013-10-24,30.75
2013-10-25,30.15
2013-10-28,29.8
2013-10-29,29.85
2013-10-30,29.85
2013-10-31,31.25
2013-11-01,30.8
2013-11-03,30.9
2013-11-05,30.75
2013-11-06,30.7
2013-11-07,30.05
2013-11-08,29.95
2013-11-11,29.95
2013-11-12,29.75
2013-11-13,29.55
2013-11-14,30.15
2013-11-18,31.9
2013-11-19,31.6
2013-11-20,30.5
2013-11-21,30.5
2013-11-22,30.5
2013-11-25,30.2
2013-11-26,30.1
2013-11-27,30.3
2013-11-28,30.0
2013-11-29,29.65
2013-12-02,29.9
2013-12-03,30.5
2013-12-04,30.15
2013-12-05,29.95
2013-12-06,29.8
2013-12-09,35.75
2013-12-10,34.7
2013-12-11,34.2
2013-12-12,35.15
2013-12-13,36.55
2013-12-16,37.1
2013-12-17,35.45
2013-12-18,35.35
2013-12-19,34.15
2014-03-03,30.95
2014-03-04,32.45
2014-03-05,32.65
2014-03-06,32.9
2014-03-07,33.1
2014-03-10,32.75
2014-03-11,32.25
2014-03-12,32.65
2014-03-13,31.6
2014-03-14,33.15
2014-03-18,32.15
2014-03-19,33.05
2014-03-20,33.35
2014-03-21,34.0
2014-03-22,33.8
2014-03-24,32.7
2014-03-25,32.35
2014-03-26,32.55
2014-03-27,32.95
2014-03-28,32.8
2014-03-31,34.75
2014-04-01,34.8
2014-04-02,35.7
2014-04-03,35.25
2014-04-04,35.05
2014-04-07,34.95
2014-04-09,35.85
2014-04-10,35.9
2014-04-11,37.05
2014-04-15,36.25
2014-04-16,35.25
2014-04-17,36.4
2014-04-21,37.5
2014-04-22,38.0
2014-04-23,37.45
2014-04-25,36.75
2014-04-28,36.0
2014-04-29,36.25
2014-04-30,35.65
2014-05-02,35.25
2014-05-05,35.55
2014-05-06,35.35
2014-05-07,34.55
2014-05-08,34.0
2014-05-09,34.6
2014-05-12,32.9
2014-05-13,33.05
2014-05-14,33.75
2014-05-15,33.35
2014-05-16,33.2
2014-05-19,35.95
2014-05-20,37.85
2014-05-21,40.35
2014-05-22,39.1
2014-05-23,39.5
2014-05-26,37.9
2014-05-27,37.75
2014-05-28,38.05
2014-05-29,41.15
2014-05-30,40.6
2014-06-02,41.05
2014-06-03,40.0
2014-06-04,39.8
2014-06-05,41.9
2014-06-30,42.65
2014-07-01,44.75
2014-07-02,44.15
2014-07-03,43.3
2014-07-04,44.6
2014-07-07,43.85
2014-07-08,41.7
