Date,TECHNO
2013-01-01,182.15
2013-01-02,180.95
2013-01-03,181.5
2013-01-04,183.4
2013-01-07,187.55
2013-01-08,187.6
2013-01-09,185.8
2013-01-10,188.0
2013-01-11,191.6
2013-01-14,195.2
2013-01-15,195.3
2013-01-16,191.25
2013-01-17,194.45
2013-01-18,191.7
2013-01-21,192.65
2013-01-22,190.05
2013-01-23,189.35
2013-01-24,188.2
2013-01-25,189.3
2013-01-28,187.1
2013-01-29,185.35
2013-01-30,183.75
2013-01-31,188.1
2013-02-01,188.9
2013-02-04,187.65
2013-02-05,188.6
2013-02-06,186.6
2013-02-07,186.15
2013-02-08,186.4
2013-02-11,180.35
2013-02-12,178.6
2013-02-13,177.4
2013-02-14,172.05
2013-02-15,173.6
2013-02-18,171.25
2013-02-19,172.2
2013-02-20,171.75
2013-02-21,170.45
2013-02-22,169.05
2013-02-25,170.05
2013-02-26,170.0
2013-02-27,167.65
2013-02-28,166.6
2013-03-01,167.15
2013-03-04,163.15
2013-03-05,168.4
2013-03-06,170.0
2013-03-07,169.1
2013-03-08,169.15
2013-03-11,169.85
2013-03-12,168.25
2013-03-13,169.5
2013-03-14,166.9
2013-03-15,165.5
2013-03-18,158.75
2013-03-19,156.15
2013-03-20,154.45
2013-03-21,152.35
2013-03-22,152.85
2013-03-25,148.6
2013-03-26,153.0
2013-03-28,151.95
2013-04-01,152.25
2013-04-02,141.35
2013-04-03,148.55
2013-04-04,146.95
2013-04-05,146.8
2013-04-08,143.4
2013-04-09,139.2
2013-04-10,131.95
2013-04-11,130.0
2013-04-12,123.75
2013-04-15,122.35
2013-04-16,123.8
2013-04-17,125.65
2013-04-18,129.05
2013-04-22,129.8
2013-04-23,130.55
2013-04-25,130.2
2013-04-26,130.0
2013-04-29,130.15
2013-04-30,130.05
2013-05-02,131.55
2013-05-03,130.0
2013-05-06,130.1
2013-05-07,130.15
2013-05-08,140.75
2013-05-09,138.05
2013-05-10,135.65
2013-05-11,136.95
2013-05-13,135.4
2013-05-14,140.5
2013-05-15,145.5
2013-05-16,140.4
2013-05-17,140.35
2013-05-20,138.2
2013-05-21,136.15
2013-05-22,133.7
2013-05-23,131.6
2013-05-24,130.0
2013-05-27,129.25
2013-05-28,130.55
2013-05-29,126.7
2013-05-30,126.4
2013-05-31,126.15
2013-06-03,125.0
2013-06-04,126.0
2013-06-05,129.95
2013-06-06,127.05
2013-06-07,126.8
2013-06-10,124.7
2013-06-11,123.1
2013-06-12,125.35
2013-06-13,123.1
2013-06-14,126.2
2013-06-17,127.3
2013-06-18,122.6
2013-06-19,123.1
2013-06-20,120.75
2013-06-21,125.9
2013-06-24,123.0
2013-06-25,117.95
2013-06-26,124.6
2013-06-27,124.65
2013-06-28,121.85
2013-07-01,119.15
2013-07-02,119.2
2013-07-03,114.2
2013-07-04,120.1
2013-07-05,116.65
