Date,DHFL
2013-01-01,184.1
2013-01-02,191.75
2013-01-03,194.75
2013-01-04,214.45
2013-01-07,221.05
2013-01-08,215.4
2013-01-09,216.95
2013-01-10,213.8
2013-01-11,213.5
2013-01-14,214.3
2013-01-15,219.95
2013-01-16,215.55
2013-01-17,215.0
2013-01-18,214.7
2013-01-21,213.15
2013-01-22,208.75
2013-01-23,204.9
2013-01-24,194.1
2013-01-25,197.3
2013-01-28,202.05
2013-01-29,205.8
2013-01-30,207.0
2013-01-31,207.4
2013-02-01,211.75
2013-02-04,205.7
2013-02-05,208.0
2013-02-06,203.45
2013-02-07,197.3
2013-02-08,195.25
2013-02-11,198.05
2013-02-12,194.25
2013-02-13,194.85
2013-02-14,187.55
2013-02-15,184.4
2013-02-18,190.1
2013-02-19,192.35
2013-02-20,190.9
2013-02-21,184.35
2013-02-22,182.7
2013-02-25,179.5
2013-02-26,172.3
2013-02-27,174.3
2013-02-28,167.3
2013-03-01,177.3
2013-03-04,173.4
2013-03-05,173.45
2013-03-06,174.15
2013-03-07,171.35
2013-03-08,177.0
2013-03-11,177.85
2013-03-12,175.65
2013-03-13,170.1
2013-03-14,167.65
2013-03-15,167.65
2013-03-18,167.2
2013-03-19,161.75
2013-03-20,160.15
2013-03-21,160.15
2013-03-22,165.3
2013-03-25,170.15
2013-03-26,165.25
2013-03-28,162.1
2013-04-01,167.85
2013-04-02,169.25
2013-04-03,169.5
2013-04-04,159.65
2013-04-05,160.5
2013-04-08,159.9
2013-04-09,160.65
2013-04-10,163.05
2013-04-11,162.5
2013-04-12,161.85
2013-04-15,162.3
2013-04-16,166.35
2013-04-17,169.2
2013-04-18,169.65
2013-04-22,175.85
2013-04-23,179.65
2013-04-25,175.1
2013-04-26,170.65
2013-04-29,172.9
2013-04-30,174.7
2013-05-02,178.2
2013-05-03,177.05
2013-05-06,175.95
2013-05-07,173.15
2013-05-08,179.2
2013-05-09,177.6
2013-05-10,178.4
2013-05-11,177.05
2013-05-13,170.75
2013-05-14,170.85
2013-05-15,174.25
2013-05-16,176.1
2013-05-17,174.45
2013-05-20,171.4
2013-05-21,170.0
2013-05-22,166.9
2013-05-23,163.3
2013-05-24,164.3
2013-05-27,164.0
2013-05-28,171.15
2013-05-29,170.0
2013-05-30,168.15
2013-05-31,162.55
2013-06-03,165.1
2013-06-04,165.1
2013-06-05,165.1
2013-06-06,164.35
2013-06-07,163.7
2013-06-10,163.95
2013-06-11,164.45
2013-06-12,164.0
2013-06-13,165.1
2013-06-14,168.05
2013-06-17,169.95
2013-06-18,173.15
2013-06-19,175.55
2013-06-20,174.05
2013-06-21,173.5
2013-06-24,164.6
2013-06-25,163.0
2013-06-26,158.8
2013-06-27,160.8
2013-06-28,159.75
2013-07-01,162.2
2013-07-02,156.2
2013-07-03,154.8
2013-07-04,154.4
2013-07-05,151.85
2013-07-08,152.95
2013-07-09,151.2
2013-07-10,154.25
2013-07-11,156.65
2013-07-12,159.85
2013-07-15,159.05
2013-07-16,154.2
2013-07-17,153.9
2013-07-18,155.95
2013-07-19,152.85
2013-07-22,153.25
2013-07-23,160.5
2013-07-24,154.8
2013-07-25,153.5
2013-07-26,149.25
2013-07-29,146.0
2013-07-30,138.35
2013-07-31,129.25
2013-08-01,128.9
2013-08-02,135.0
2013-08-05,146.75
2013-08-06,139.55
2013-08-07,139.35
2013-08-08,140.75
2013-08-12,139.5
2013-08-13,138.95
2013-08-14,137.15
2013-08-16,131.5
2013-08-19,124.5
2013-08-20,119.8
2013-08-21,117.65
2013-08-22,115.15
2013-08-23,123.4
2013-08-26,122.15
2013-08-27,114.4
2013-08-28,115.1
2013-08-29,119.05
2013-08-30,118.45
2013-09-02,117.05
2013-09-03,113.8
2013-09-04,114.8
2013-09-05,118.3
2013-09-06,121.45
2013-09-10,124.35
2013-09-11,123.65
2013-09-12,119.1
2013-09-13,118.0
2013-09-16,116.55
2013-09-17,116.1
2013-09-18,116.4
2013-09-19,118.7
2013-09-20,114.6
2013-09-23,111.0
2013-09-24,108.65
2013-09-25,104.0
2013-09-26,103.35
2013-09-27,104.35
2013-09-30,103.9
2013-10-01,104.45
2013-10-03,107.7
2013-10-04,104.75
2013-10-07,106.2
2013-10-08,114.3
2013-10-09,120.2
2013-10-10,124.65
2013-10-11,134.65
2013-10-14,133.15
2013-10-15,127.1
2013-10-17,130.25
2013-10-18,147.15
2013-10-21,153.25
2013-10-22,151.7
2013-10-23,147.7
2013-10-24,145.8
2013-10-25,145.2
2013-10-28,141.95
2013-10-29,149.55
2013-10-30,147.2
2013-10-31,152.5
2013-11-01,159.65
2013-11-03,161.3
2013-11-05,158.75
2013-11-06,154.55
2013-11-07,150.1
2013-11-08,149.2
2013-11-11,140.45
2013-11-12,140.6
2013-11-13,136.6
2013-11-14,144.1
2013-11-18,153.35
2013-11-19,155.35
2013-11-20,154.85
2013-11-21,146.3
2013-11-22,148.8
2013-11-25,157.0
2013-11-26,154.2
2013-11-27,168.95
2013-11-28,168.2
2013-11-29,169.8
2013-12-02,169.85
2013-12-03,170.25
2013-12-04,168.55
2013-12-05,166.0
2013-12-06,173.3
2013-12-09,170.05
2013-12-10,170.3
2013-12-11,170.2
2013-12-12,169.5
2013-12-13,164.25
2013-12-16,170.0
2013-12-17,172.75
2013-12-18,178.1
2013-12-19,174.45
2013-12-20,186.2
2013-12-23,222.95
2013-12-24,222.5
2013-12-26,220.2
2013-12-27,212.2
2013-12-30,206.35
2013-12-31,212.95
2014-01-01,217.85
2014-01-02,210.45
2014-01-03,205.3
2014-01-06,211.05
2014-01-07,211.35
2014-01-08,208.7
2014-01-09,213.4
2014-01-10,214.35
2014-01-13,213.7
2014-01-14,211.9
2014-01-15,212.2
2014-01-16,213.1
2014-01-17,206.15
2014-01-20,214.0
2014-01-21,213.95
2014-01-22,222.7
2014-01-23,237.35
2014-01-24,232.7
2014-01-27,207.55
2014-01-28,211.55
2014-01-29,214.45
2014-01-30,211.05
2014-01-31,212.95
2014-02-03,205.7
2014-02-04,210.15
2014-02-05,210.4
2014-02-06,208.65
2014-02-07,211.6
2014-02-10,210.0
2014-02-11,209.25
2014-02-12,210.0
2014-02-13,206.35
2014-02-14,205.4
2014-02-17,204.6
2014-02-18,208.3
2014-02-19,212.4
2014-02-20,210.55
2014-02-21,216.0
2014-02-24,217.1
2014-02-25,223.05
2014-02-26,224.25
2014-02-28,224.45
2014-03-03,225.35
2014-03-04,225.25
2014-03-05,226.3
2014-03-06,230.2
2014-03-07,224.75
2014-03-10,221.05
2014-03-11,216.7
2014-03-12,216.1
2014-03-13,211.1
2014-03-14,206.55
2014-03-18,207.9
2014-03-19,204.7
2014-03-20,205.7
2014-03-21,218.95
2014-03-22,215.0
2014-03-24,215.45
2014-03-25,213.45
2014-03-26,215.9
2014-03-27,216.05
2014-03-28,217.3
2014-03-31,218.75
2014-04-01,217.75
2014-04-02,227.25
2014-04-03,223.45
2014-04-04,222.5
