Date,DUCON
2013-01-01,1.25
2013-01-02,1.25
2013-01-03,1.25
2013-01-04,1.3
2013-01-07,1.3
2013-01-08,1.35
2013-01-09,1.3
2013-01-10,1.25
2013-01-11,1.25
2013-01-14,1.25
2013-01-15,1.25
2013-01-16,1.2
2013-01-17,1.15
2013-01-18,1.15
2013-01-21,1.15
2013-01-22,1.1
2013-01-23,1.15
2013-01-24,1.1
2013-01-25,1.05
2013-01-28,1.1
2013-01-29,1.1
2013-01-30,1.05
2013-01-31,1.0
2013-02-01,0.95
2013-02-04,1.0
2013-02-05,0.95
2013-02-06,0.9
2013-02-07,0.85
2013-02-08,0.9
2013-02-11,0.9
2013-02-12,0.85
2013-02-13,0.9
2013-02-14,0.85
2013-02-15,0.8
2013-02-18,0.75
2013-02-19,0.75
2013-02-20,0.7
2013-02-21,0.75
2013-02-22,0.75
2013-02-26,0.7
2013-02-27,0.65
2013-02-28,0.6
2013-03-01,0.55
2013-03-04,0.55
2013-03-05,0.55
2013-03-06,0.5
2013-03-07,0.45
2013-03-08,0.5
2013-03-11,0.5
2013-03-12,0.55
2013-03-13,0.55
2013-03-15,0.6
2013-03-18,0.6
2013-03-19,0.65
2013-03-20,0.7
2013-03-21,0.75
2013-03-22,0.75
2013-03-25,0.7
2013-03-26,0.7
2013-03-28,0.7
2013-04-01,0.75
2014-02-25,0.3
2014-02-28,0.25
2014-03-03,0.3
2014-03-05,0.35
2014-03-06,0.35
2014-03-07,0.4
2014-03-10,0.45
2014-03-11,0.5
2014-03-12,0.55
2014-03-13,0.5
2014-03-14,0.45
2014-03-18,0.5
2014-03-19,0.5
2014-03-20,0.5
2014-03-21,0.55
2014-03-24,0.55
2014-03-26,0.55
2014-03-27,0.55
2014-06-13,0.75
2014-06-16,0.7
2014-06-17,0.75
2014-06-18,0.8
2014-06-19,0.85
2014-06-20,0.8
2014-06-23,0.8
2014-06-24,0.8
2014-06-26,0.75
2014-06-27,0.7
2014-08-06,0.45
2014-08-07,0.45
2014-08-08,0.5
2014-08-11,0.55
2014-08-12,0.6
2014-08-13,0.65
2014-08-14,0.7
2014-08-18,0.75
2014-08-19,0.8
2014-08-20,0.85
2014-08-21,0.9
2014-08-22,0.95
2014-08-25,1.0
2014-08-26,1.05
2014-08-27,1.1
2014-08-28,1.15
2014-09-01,1.2
2014-09-02,1.25
2014-09-03,1.3
2014-09-04,1.35
2014-09-05,1.4
2014-09-08,1.45
2014-12-09,3.0
2014-12-10,2.9
2014-12-11,2.8
2014-12-12,2.8
2014-12-15,2.8
2014-12-16,2.8
2014-12-17,2.7
2014-12-18,2.75
2014-12-19,2.8
2014-12-22,2.9
2014-12-23,3.0
2014-12-24,3.0
2014-12-26,2.95
2014-12-29,2.85
2014-12-30,2.8
2014-12-31,2.75
2015-01-01,2.8
2015-01-02,2.9
2015-01-05,2.9
2015-01-06,3.05
2015-01-07,2.9
2015-01-08,3.05
2015-01-09,3.15
2015-01-12,2.95
2015-01-13,2.8
2015-01-14,2.8
2015-01-15,2.85
2015-01-16,2.7
2015-01-19,2.75
2015-01-20,2.8
2015-01-21,2.8
2015-01-22,2.8
2015-01-23,2.6
2015-01-27,2.85
2015-01-28,2.6
2015-01-29,2.35
2015-01-30,2.15
2015-02-02,2.25
2015-02-03,2.35
2015-02-04,2.3
2015-02-05,2.4
2015-02-06,2.5
2015-02-09,2.45
2015-02-10,2.4
2015-02-11,2.5
2015-02-12,2.6
2015-02-13,2.7
2015-02-16,2.8
2015-02-18,2.9
2015-02-19,3.0
2015-02-20,3.15
2015-02-23,3.3
2015-02-24,3.15
2015-02-25,3.2
2015-02-26,3.05
2015-02-27,3.2
2015-02-28,3.35
2015-03-02,3.5
2015-03-03,3.65
2015-03-04,3.6
2015-03-05,3.45
2015-03-09,3.45
2015-03-10,3.5
2015-03-11,3.4
2015-03-12,3.45
2015-03-13,3.3
2015-03-16,3.15
2015-03-17,3.0
2015-03-18,3.05
2015-03-19,2.9
2015-03-20,2.8
2015-03-23,2.7
2015-03-24,2.6
2015-03-25,2.55
2015-03-26,2.6
2015-03-27,2.7
2015-03-30,2.8
2015-03-31,2.9
2015-04-01,3.0
2015-04-06,3.05
2015-04-07,3.2
2015-04-08,3.1
2015-04-09,3.25
2015-04-10,3.35
2015-04-13,3.45
2015-04-15,3.6
2015-04-16,3.75
2015-04-17,3.85
2015-04-20,3.9
2015-04-21,3.95
2015-04-22,4.05
2015-04-23,4.25
2015-04-24,4.45
2015-04-27,4.65
2015-04-28,4.45
