Date,RELINFRA
2013-01-01,544.15
2013-01-02,543.35
2013-01-03,546.0
2013-01-04,547.2
2013-01-07,550.95
2013-01-08,567.1
2013-01-09,560.35
2013-01-10,565.65
2013-01-11,547.9
2013-01-14,558.55
2013-01-15,555.0
2013-01-16,535.8
2013-01-17,526.2
2013-01-18,527.3
2013-01-21,548.5
2013-01-22,540.55
2013-01-23,534.3
2013-01-24,518.1
2013-01-25,540.15
2013-01-28,529.15
2013-01-29,518.55
2013-01-30,518.4
2013-01-31,515.5
2013-02-01,516.75
2013-02-04,515.05
2013-02-05,517.55
2013-02-06,521.75
2013-02-07,500.15
2013-02-08,487.55
2013-02-11,495.3
2013-02-12,496.4
2013-02-13,479.75
2013-02-14,470.5
2013-02-15,475.25
2013-02-18,486.4
2013-02-19,492.1
2013-02-20,491.0
2013-02-21,473.3
2013-02-22,476.5
2013-02-25,470.9
2013-02-26,457.3
2013-02-27,461.85
2013-02-28,419.0
2013-03-01,433.25
2013-03-04,418.55
2013-03-05,425.9
2013-03-06,431.35
2013-03-07,428.65
2013-03-08,433.05
2013-03-11,429.4
2013-03-12,425.65
2013-03-13,422.0
2013-03-14,430.05
2013-03-15,420.0
2013-03-18,411.95
2013-03-19,395.75
2013-03-20,359.15
2013-03-21,337.0
2013-03-22,342.9
2013-03-25,344.45
2013-03-26,323.45
2013-03-28,324.45
2013-04-01,338.75
2013-04-02,351.65
2013-04-03,343.6
2013-04-04,329.15
2013-04-05,330.8
2013-04-08,341.6
2013-04-09,328.8
2013-04-10,344.2
2013-04-11,340.35
2013-04-12,347.15
2013-04-15,355.75
2013-04-16,367.15
2013-04-17,357.15
2013-04-18,364.75
2013-04-22,382.45
2013-04-23,378.95
2013-04-25,376.75
2013-04-26,366.45
2013-04-29,382.25
2013-04-30,375.15
2013-05-02,389.7
2013-05-03,390.95
2013-05-06,399.2
2013-05-07,401.6
2013-05-08,397.65
2013-05-09,402.9
2013-05-10,406.5
2013-05-11,407.15
2013-05-13,387.35
2013-05-14,389.1
2013-05-15,407.8
2013-05-16,416.8
2013-05-17,426.65
2013-05-20,424.6
2013-05-21,415.3
2013-05-22,408.25
2013-05-23,366.6
2013-05-24,376.15
2013-05-27,385.4
2013-05-28,389.6
2013-05-29,387.2
2013-05-30,382.1
2013-05-31,361.35
2013-06-03,368.75
2013-06-04,367.9
2013-06-05,372.8
2013-06-06,382.3
2013-06-07,377.3
2013-06-10,371.6
2013-06-11,359.25
2013-06-12,344.55
2013-06-13,343.55
2013-06-14,357.25
2013-06-17,361.9
2013-06-18,362.45
2013-06-19,363.6
2013-06-20,339.85
2013-06-21,331.95
2013-06-24,321.25
2013-06-25,330.75
2013-06-26,328.7
2013-06-27,329.05
2013-06-28,349.2
2013-07-01,366.5
2013-07-02,357.45
2013-07-03,347.0
2013-07-04,359.6
2013-07-05,360.25
2013-07-08,368.7
2013-07-09,379.3
2013-07-10,375.35
2013-07-11,381.95
2013-07-12,385.65
2013-07-15,390.05
2013-07-16,373.7
2013-07-17,368.55
2013-07-18,385.5
2013-07-19,388.1
2013-07-22,386.7
2013-07-23,396.4
2013-07-24,384.25
2013-07-25,377.45
2013-07-26,371.45
2013-07-29,362.3
2013-07-30,337.2
2013-07-31,341.5
2013-08-01,329.95
2013-08-02,311.8
2013-08-05,324.55
2013-08-06,321.35
2013-08-07,334.65
2013-08-08,345.7
2013-08-12,350.35
2013-08-13,362.8
2013-08-14,357.55
2013-08-16,325.4
2013-08-19,333.5
2013-08-20,334.3
2013-08-21,316.8
2013-08-22,345.2
2013-08-23,357.35
2013-08-26,352.75
2013-08-27,331.35
2013-08-28,335.05
2013-08-29,340.0
2013-08-30,342.3
2013-09-02,351.4
2013-09-03,329.1
2013-09-04,335.7
2013-09-05,352.7
2013-09-06,366.0
2013-09-10,372.3
2013-09-11,379.35
2013-09-12,373.8
2013-09-13,387.65
2013-09-16,380.45
2013-09-17,379.25
2013-09-18,377.65
2013-09-19,397.25
2013-09-20,410.15
2013-09-23,409.1
2013-09-24,410.05
2013-09-25,408.1
2013-09-26,401.95
2013-09-27,392.35
2013-09-30,370.5
2013-10-01,375.9
2013-10-03,388.35
2013-10-04,393.15
2013-10-07,395.45
2013-10-08,403.0
2013-10-09,412.95
2013-10-10,412.6
2013-10-11,408.85
2013-10-14,417.55
2013-10-15,410.85
2013-10-17,408.85
2013-10-18,420.65
2013-10-21,432.3
2013-10-22,436.85
2013-10-23,427.0
2013-10-24,427.7
2013-10-25,421.85
2013-10-28,413.95
2013-10-29,428.9
2013-10-30,429.25
2013-10-31,431.8
2013-11-01,453.8
2013-11-03,451.95
2013-11-05,457.4
2013-11-06,446.25
2013-11-07,438.3
2013-11-08,451.8
2013-11-11,441.9
2013-11-12,420.1
2013-11-13,404.85
2013-11-14,413.45
2013-11-18,427.3
2013-11-19,419.3
2013-11-20,417.85
2013-11-21,409.35
2013-11-22,401.2
2013-11-25,410.65
2013-11-26,406.5
2013-11-27,406.7
2013-11-28,413.15
2013-11-29,430.35
2013-12-02,432.0
2013-12-03,430.35
2013-12-04,425.1
2013-12-05,437.45
2013-12-06,438.5
2013-12-09,447.9
