Date,COSMOFILMS
2013-01-01,79.15
2013-01-02,79.7
2013-01-03,80.15
2013-01-04,80.05
2013-01-07,80.95
2013-01-08,80.45
2013-01-09,79.7
2013-01-10,79.05
2013-01-11,78.55
2013-01-14,78.55
2013-01-15,79.1
2013-01-16,78.65
2013-01-17,77.95
2013-01-18,77.9
2013-01-21,78.15
2013-01-22,77.7
2013-01-23,77.05
2013-01-24,76.95
2013-01-25,76.2
2013-01-28,76.3
2013-01-29,77.4
2013-01-30,77.65
2013-01-31,76.9
2013-02-01,77.0
2013-02-04,76.15
2013-02-05,75.5
2013-02-06,73.95
2013-02-07,72.8
2013-02-08,69.95
2013-02-11,69.15
2013-02-12,67.8
2013-02-13,67.55
2013-02-14,65.55
2013-02-15,64.4
2013-02-18,65.65
2013-02-19,65.95
2013-02-20,66.55
2013-02-21,65.9
2013-02-22,66.1
2013-02-25,66.45
2013-02-26,65.65
2013-02-27,64.95
2013-02-28,63.85
2013-03-01,63.55
2013-03-04,62.25
2013-03-05,63.6
2013-03-06,64.7
2013-03-07,65.0
2013-03-08,69.75
2013-03-11,76.7
2013-03-12,82.2
2013-03-13,77.5
2013-03-14,75.45
2013-03-15,75.0
2013-03-18,71.75
2013-03-19,69.65
2013-03-20,66.25
2013-03-21,66.3
2013-03-22,65.85
2013-03-25,65.5
2013-03-26,66.6
2013-03-28,68.75
2013-04-01,70.6
2013-04-02,72.0
2013-04-03,70.5
2013-04-04,67.35
2013-04-05,67.3
2013-04-08,68.1
2013-04-09,67.2
2013-04-10,67.75
2013-04-11,70.4
2013-04-12,68.2
2013-04-15,68.5
2013-04-16,67.8
2013-04-17,68.85
2013-04-18,69.35
2013-04-22,68.7
2013-04-23,68.65
2013-04-25,68.6
2013-04-26,67.8
2013-04-29,68.1
2013-04-30,68.0
2013-05-02,69.5
2013-05-03,68.5
2013-05-06,68.85
2013-05-07,69.4
2013-05-08,69.55
2013-05-09,67.95
2013-05-10,68.2
2013-05-11,69.65
2013-05-13,68.25
2013-05-14,66.7
2013-05-15,67.15
2013-05-16,67.55
2013-05-17,68.0
2013-05-20,68.0
2013-05-21,68.15
2013-05-22,66.45
2013-05-23,66.4
2013-05-24,67.55
2013-05-27,68.05
2013-05-28,66.25
2013-05-29,64.55
2013-05-30,63.55
2013-05-31,63.2
2013-06-03,61.1
2013-06-04,61.5
2013-06-05,61.1
2013-06-06,60.6
2013-06-07,60.3
2013-06-10,59.35
2013-06-11,57.75
2013-06-12,57.75
2013-06-13,57.1
2013-06-14,56.6
2013-06-17,57.3
2013-06-18,57.9
2013-06-19,58.4
2013-06-20,57.75
2013-06-21,55.9
2013-06-24,55.15
2013-06-25,53.7
2013-06-26,53.95
2013-06-27,54.15
2013-06-28,55.3
2013-07-01,55.85
2013-07-02,55.45
2013-07-03,54.2
2013-07-04,54.55
2013-07-05,55.15
2013-07-08,54.6
2013-07-09,54.95
2013-07-10,54.9
2013-07-11,55.75
2013-07-12,56.55
2013-07-15,56.25
2013-07-16,56.6
2013-07-17,55.65
2013-07-18,55.95
2013-07-19,55.7
2013-07-22,56.75
2013-07-23,55.65
2013-07-24,54.4
2013-07-25,52.55
2013-07-26,50.7
2013-07-29,50.65
2013-07-30,50.2
2013-07-31,48.7
2013-08-01,47.35
2013-08-02,47.15
2013-08-05,47.0
2013-08-06,45.5
2013-08-07,46.35
2013-08-08,48.0
2013-08-12,48.9
2013-08-13,51.85
2013-08-14,49.0
2013-08-16,48.2
2013-08-19,46.85
2013-08-20,46.4
2013-08-21,46.9
2013-08-22,47.25
2013-08-23,46.85
2013-08-26,47.4
2013-08-27,46.35
2013-08-28,44.85
2013-08-29,45.5
2013-08-30,45.05
2013-09-02,45.6
2013-09-03,45.3
