Date,ALBK
2013-01-01,174.7
2013-01-02,177.7
2013-01-03,179.55
2013-01-04,184.0
2013-01-07,183.6
2013-01-08,184.0
2013-01-09,180.7
2013-01-10,178.9
2013-01-11,174.45
2013-01-14,182.5
2013-01-15,187.45
2013-01-16,182.0
2013-01-17,186.0
2013-01-18,187.25
2013-01-21,184.75
2013-01-22,182.15
2013-01-23,177.85
2013-01-24,167.1
2013-01-25,172.1
2013-01-28,170.95
2013-01-29,169.35
2013-01-30,167.0
2013-01-31,163.55
2013-02-01,159.45
2013-02-04,155.15
2013-02-05,157.5
2013-02-06,152.65
2013-02-07,148.65
2013-02-08,147.5
2013-02-11,148.45
2013-02-12,149.4
2013-02-13,143.15
2013-02-14,145.1
2013-02-15,148.0
2013-02-18,149.65
2013-02-19,152.5
2013-02-20,149.75
2013-02-21,146.05
2013-02-22,147.35
2013-02-25,145.75
2013-02-26,143.05
2013-02-27,144.45
2013-02-28,138.1
2013-03-01,137.65
2013-03-04,136.7
2013-03-05,140.2
2013-03-06,143.25
2013-03-07,142.7
2013-03-08,143.25
2013-03-11,144.15
2013-03-12,142.65
2013-03-13,138.55
2013-03-14,141.75
2013-03-15,138.4
2013-03-18,139.8
2013-03-19,134.05
2013-03-20,129.7
2013-03-21,124.3
2013-03-22,129.55
2013-03-25,127.15
2013-03-26,124.15
2013-03-28,126.4
2013-04-01,129.5
2013-04-02,133.95
2013-04-03,132.15
2013-04-04,130.05
2013-04-05,128.25
2013-04-08,125.5
2013-04-09,124.0
2013-04-10,125.4
2013-04-11,124.0
2013-04-12,126.4
2013-04-15,129.05
2013-04-16,132.8
2013-04-17,135.7
2013-04-18,138.2
2013-04-22,140.5
2013-04-23,137.6
2013-04-25,136.25
2013-04-26,133.75
2013-04-29,136.2
2013-04-30,133.9
2013-05-02,136.95
2013-05-03,131.2
2013-05-06,132.8
2013-05-07,126.4
2013-05-08,123.1
2013-05-09,123.0
2013-05-10,123.25
2013-05-11,123.95
2013-05-13,123.05
2013-05-14,121.5
2013-05-15,126.05
2013-05-16,126.95
2013-05-17,128.3
2013-05-20,129.7
2013-05-21,127.75
2013-05-22,124.6
2013-05-23,121.95
2013-05-24,123.35
2013-05-27,123.6
2013-05-28,124.85
2013-05-29,123.3
