Date,VIJSHAN
2013-01-01,19.85
2013-01-02,20.1
2013-01-03,21.05
2013-01-04,22.1
2013-01-07,23.2
2013-01-08,24.35
2013-01-09,23.15
2013-01-10,22.55
2013-01-11,22.7
2013-01-14,22.55
2013-01-15,22.0
2013-01-16,20.9
2013-01-17,21.7
2013-01-18,21.0
2013-01-21,20.4
2013-01-22,19.4
2013-01-23,18.9
2013-01-24,18.05
2013-01-25,18.8
2013-01-28,19.6
2013-01-29,19.35
2013-01-30,18.8
2013-01-31,18.8
2013-02-01,18.25
2013-02-04,18.05
2013-02-05,17.95
2013-02-06,18.1
2013-02-07,17.9
2013-02-08,17.65
2013-02-11,17.55
2013-02-12,17.8
2013-02-13,17.9
2013-02-14,17.2
2013-02-15,17.25
2013-02-18,18.05
2013-02-19,18.95
2013-02-20,19.6
2013-02-21,20.55
2013-02-22,21.4
2013-02-25,20.35
2013-02-26,19.35
2013-02-27,20.05
2013-02-28,19.15
2013-03-01,20.0
2013-03-04,19.1
2013-03-05,19.95
2013-03-06,20.9
2013-03-07,22.8
2013-03-08,21.65
2013-03-11,20.65
2013-03-12,19.75
2013-03-13,19.7
2013-03-14,20.25
2013-03-15,19.4
2013-03-18,18.85
2013-03-19,18.35
2013-03-20,18.2
2013-03-21,18.1
2013-03-22,17.55
2013-03-25,17.7
2013-03-26,17.0
2013-03-28,16.75
2013-04-01,17.15
2013-04-02,17.5
2013-04-03,17.6
2013-04-04,17.25
2013-04-05,17.1
2013-04-08,16.2
2013-04-09,16.3
2013-04-10,17.8
2013-04-11,17.5
2013-04-12,17.1
2013-04-15,17.25
2013-04-16,17.1
2013-04-17,17.35
2013-04-18,19.05
2013-04-22,18.85
2013-04-23,18.7
2013-04-25,18.5
2013-04-26,18.15
2013-04-29,18.2
2013-04-30,17.55
2013-05-02,17.8
2013-05-03,18.05
2013-05-06,17.9
2013-05-07,18.0
2013-05-08,17.8
2013-05-09,17.95
2013-05-10,17.65
2013-05-13,17.55
2013-05-14,17.45
2013-05-15,18.15
2013-05-16,18.1
2013-05-17,17.65
2013-05-20,17.9
2013-05-21,18.35
2013-05-22,17.75
2013-05-23,17.5
2013-05-24,17.35
2013-05-27,17.45
2013-05-28,17.3
2013-05-29,17.1
2013-05-30,17.75
2013-05-31,17.35
2013-06-03,17.5
2013-06-04,17.4
2013-06-05,17.25
2013-06-06,18.8
2013-06-07,18.0
2013-06-10,17.35
2013-06-11,17.0
2013-06-12,16.75
2013-06-13,16.95
2013-06-14,16.5
2013-06-17,16.8
2013-06-18,17.0
2013-06-19,18.35
2013-06-20,17.45
2013-06-21,17.5
2013-06-24,16.75
2013-06-25,16.95
2013-06-26,16.65
2013-06-27,16.6
2013-06-28,16.65
