Date,MANAKALUCO
2015-04-16,10.0
2015-04-17,10.6
2015-04-20,8.55
2015-04-21,8.8
2015-04-22,9.6
2015-04-23,8.3
2015-04-24,8.25
2015-04-27,8.4
2015-04-28,8.15
2015-04-29,8.95
2015-04-30,7.8
2015-05-04,7.6
2015-05-05,7.9
2015-05-06,6.75
2015-05-07,6.2
2015-05-08,6.0
2015-05-11,5.7
2015-05-12,5.45
2015-05-13,5.2
2015-05-14,5.4
2015-05-15,5.15
2015-05-18,4.9
2015-05-19,4.7
2015-05-20,4.9
2015-05-21,4.7
2015-05-22,4.65
2015-05-25,4.45
2015-05-26,4.65
2015-05-27,4.45
2015-05-28,4.5
2015-05-29,4.7
2015-06-01,4.9
2015-06-02,4.8
2015-06-03,4.6
2015-06-04,4.4
2015-06-05,4.6
2015-06-08,4.45
2015-06-09,4.5
2015-06-10,4.7
2015-06-11,4.55
2015-06-12,4.45
2015-06-15,4.65
2015-06-16,4.85
2015-06-17,5.05
2015-06-18,4.8
2015-06-19,4.6
2015-06-22,4.55
2015-06-23,4.35
2015-06-24,4.15
2015-06-25,4.15
2015-06-26,3.95
2015-06-29,3.8
2015-06-30,3.65
2015-07-01,3.5
2015-07-02,3.35
2015-07-03,3.2
2015-07-06,3.1
2015-07-07,3.2
2015-07-08,3.35
2015-07-09,3.5
2015-07-10,3.5
2015-07-13,3.55
2015-07-14,3.7
2015-07-15,3.85
2015-07-16,4.0
2015-07-17,4.15
2015-07-20,4.35
2015-07-21,4.55
2015-07-22,4.75
2015-07-23,4.95
2015-07-24,4.75
2015-07-27,4.9
2015-07-28,5.05
2015-07-29,5.25
2015-07-30,5.0
2015-07-31,5.25
2015-08-03,5.2
2015-08-04,5.35
2015-08-05,5.25
2015-08-06,5.25
2015-08-07,5.25
2015-08-10,5.0
2015-09-08,4.0
2015-09-09,4.2
2015-09-10,4.35
2015-09-11,4.3
2015-09-14,4.2
2015-09-15,4.4
2015-09-16,4.35
2015-09-18,4.3
2015-09-21,4.3
2015-09-22,4.15
2015-09-23,4.0
2015-09-24,4.2
2015-09-28,4.0
2015-09-29,4.0
2015-09-30,4.2
2015-10-01,4.15
2015-10-05,4.1
