Date,MANAKSIA
2013-01-01,55.7
2013-01-02,53.1
2013-01-03,52.15
2013-03-01,42.45
2013-03-04,41.55
2013-03-05,41.35
2013-03-06,42.15
2013-03-07,43.95
2013-03-08,45.9
2013-03-11,44.5
2013-03-12,43.05
2013-03-13,41.95
2013-03-14,42.4
2013-03-15,42.1
2013-03-18,40.9
2013-03-19,40.2
2013-03-20,40.05
2013-03-21,39.15
2013-03-22,39.55
2013-03-25,40.95
2013-03-26,40.55
2013-03-28,42.15
2013-04-01,41.7
2013-04-02,41.3
2013-04-03,41.45
2013-04-04,40.7
2013-04-05,40.4
2013-04-08,40.25
2013-04-09,39.65
2013-04-10,39.8
2013-04-11,39.75
2013-04-12,38.95
2013-04-15,38.75
2013-04-16,38.85
2013-04-17,39.8
2013-04-18,39.75
2013-04-22,40.3
2013-04-23,39.3
2013-04-25,41.85
2013-04-26,40.2
2013-04-29,40.2
2013-04-30,39.75
2013-05-02,40.15
2013-05-03,38.25
2013-05-06,40.0
2013-05-07,40.2
2013-05-08,39.9
2013-05-09,39.95
2013-05-10,39.75
2013-05-11,40.0
2013-05-13,40.05
2013-05-14,41.6
2013-05-15,40.15
2013-05-16,39.7
2013-05-17,39.95
2013-05-20,38.85
2013-05-21,41.4
2013-05-22,42.75
2013-05-23,42.7
2013-05-24,43.4
2013-05-27,42.3
2013-05-28,41.6
2013-05-29,43.7
2013-05-30,44.9
2013-05-31,45.8
2013-06-03,46.2
2013-06-04,46.05
2013-06-05,45.5
2013-06-06,45.55
2013-06-07,49.55
2013-06-10,49.1
2013-06-11,46.05
2013-06-12,45.0
2013-06-13,44.75
2013-06-14,50.05
2013-06-17,52.95
2013-06-18,52.0
2013-06-19,51.9
2013-06-20,51.3
2013-06-21,49.65
2013-06-24,48.9
2013-06-25,49.85
2013-06-26,47.85
2013-06-27,48.85
2013-06-28,49.3
2013-07-01,54.25
2013-07-02,53.85
2013-07-03,51.8
2013-07-04,52.35
2013-07-05,54.9
2013-07-08,52.75
2013-07-09,52.55
2013-07-10,51.05
2013-07-11,51.3
2013-07-12,50.75
2013-07-15,51.0
2013-07-16,51.1
2013-07-17,50.5
2013-07-18,50.1
2013-07-19,54.4
2013-07-22,52.15
2013-07-23,51.8
2013-07-24,52.35
2013-07-25,51.45
2013-07-26,51.15
2013-07-29,51.1
2013-07-30,49.35
2013-07-31,48.8
2013-08-01,47.75
2013-08-02,50.3
2013-08-05,52.55
2013-08-06,49.9
2013-08-07,52.8
2013-08-08,54.35
2013-08-12,57.1
2013-08-13,56.9
2013-08-14,58.0
2013-08-16,53.35
2013-08-19,51.35
2013-08-20,51.7
2013-08-21,50.75
2013-08-22,51.6
2013-08-23,51.8
2013-08-26,51.6
2013-08-27,50.1
2013-08-28,49.45
2013-08-29,49.8
2013-08-30,49.05
2013-09-02,49.15
2013-09-03,48.8
2013-09-04,48.2
2013-09-05,48.75
2013-09-06,48.95
2013-09-10,48.4
2013-09-11,50.1
2013-09-12,49.95
2013-09-13,47.65
2013-09-16,48.6
2013-09-17,48.0
2013-09-18,47.4
2013-09-19,47.6
2013-09-20,47.65
2013-09-23,46.7
2013-09-24,47.4
2013-09-25,47.9
2013-09-26,47.75
2013-09-27,47.2
2013-09-30,45.5
2013-10-01,47.0
2013-10-03,47.05
2013-10-04,46.45
2013-10-07,46.05
2013-10-08,46.4
2013-10-09,46.75
2013-10-10,46.8
2013-10-11,45.85
2013-10-14,45.8
2013-10-15,46.1
2013-10-17,46.0
2013-10-18,46.25
2013-10-21,45.65
2013-10-22,46.4
2013-10-23,46.8
2013-10-24,46.5
2013-10-25,46.8
2013-10-28,46.6
2013-10-29,46.2
2013-10-30,45.95
2013-10-31,46.3
2013-11-01,46.4
2013-11-03,46.85
2013-11-05,47.95
2013-11-06,48.25
2013-11-07,48.55
2013-11-08,48.6
2013-11-11,49.7
2013-11-12,50.7
2013-11-13,48.7
2013-11-14,49.4
2013-11-18,50.25
2013-11-19,50.5
2013-11-20,49.95
2013-11-21,49.4
2013-11-22,49.25
2013-11-25,49.85
2013-11-26,49.0
2013-11-27,48.9
2013-11-28,49.35
2013-11-29,50.2
2013-12-02,51.75
2013-12-03,51.75
2013-12-04,52.55
2013-12-05,53.3
2013-12-06,54.2
2013-12-09,56.4
2013-12-10,60.1
2013-12-11,62.1
2013-12-12,61.1
2013-12-13,60.35
2013-12-16,61.6
2013-12-17,61.8
2013-12-18,68.7
2013-12-19,65.5
2013-12-20,65.4
2013-12-23,66.4
2013-12-24,66.1
2013-12-26,65.5
2013-12-27,66.65
2013-12-30,69.2
2013-12-31,68.75
2014-01-01,72.3
2014-01-02,68.4
2014-01-03,69.85
2014-01-06,70.9
2014-01-07,71.85
2014-01-08,68.15
2014-01-09,64.95
2014-01-10,64.6
2014-01-13,63.85
2014-01-14,63.25
2014-01-15,63.25
2014-01-16,62.8
2014-01-17,63.55
2014-01-20,61.55
2014-01-21,62.8
2014-01-22,61.4
2014-01-23,62.35
2014-01-24,63.6
2014-01-27,60.05
2014-01-28,58.95
2014-01-29,62.05
2014-01-30,60.1
2014-01-31,63.05
2014-02-03,61.95
2014-02-04,61.35
2014-02-05,61.7
2014-02-06,60.15
2014-02-07,60.3
2014-02-10,61.6
2014-02-11,63.8
2014-02-12,61.7
2014-02-13,60.6
2014-02-14,60.5
2014-02-17,59.0
2014-02-18,58.0
2014-02-19,57.05
2014-02-20,57.5
2014-02-21,57.15
2014-02-24,57.55
2014-02-25,56.55
2014-02-26,56.55
2014-02-28,56.3
2014-03-03,62.8
2014-03-04,60.45
2014-03-05,60.3
2014-03-06,61.0
2014-03-07,60.45
2014-03-10,61.05
2014-03-11,62.85
2014-03-12,61.0
2014-03-13,61.5
2014-03-14,60.55
2014-03-18,60.15
2014-03-19,59.95
2014-03-20,59.95
2014-03-21,60.05
2014-03-22,60.1
2014-03-24,60.05
2014-03-25,67.05
2014-03-26,67.05
2014-03-27,67.3
2014-03-28,67.8
2014-03-31,67.85
2014-04-01,67.55
2014-04-02,66.2
2014-04-03,67.0
2014-04-04,66.25
2014-04-07,66.9
2014-04-09,68.05
2014-04-10,67.95
2014-04-11,68.0
2014-04-15,67.3
2014-04-16,68.6
2014-04-17,72.7
2014-04-21,72.85
2014-04-22,71.55
2014-04-23,70.9
2014-04-25,70.0
2014-04-28,69.3
2014-04-29,69.85
2014-04-30,72.05
2014-05-02,72.6
2014-05-05,73.05
2014-05-06,73.05
2014-05-07,73.0
2014-05-08,73.0
2014-05-09,74.05
2014-05-12,73.5
2014-05-13,73.05
2014-05-14,73.5
2014-05-15,73.0
2014-05-16,73.0
2014-05-19,76.55
2014-05-20,84.3
2014-05-21,84.65
2014-05-22,87.0
2014-05-23,90.05
2014-05-26,88.0
2014-05-27,83.0
