Date,3PLAND
2013-01-02,12.5
2013-01-03,12.5
2013-01-08,13.0
2013-01-09,12.65
2013-01-15,12.5
2013-01-16,12.55
2013-01-21,12.55
2013-01-22,13.8
2013-01-23,13.4
2013-01-24,13.35
2013-01-25,12.9
2013-01-29,12.6
2013-01-30,12.65
2013-02-01,12.85
2013-02-04,12.5
2013-02-05,12.0
2013-02-06,11.85
2013-02-07,13.0
2013-02-11,13.0
2013-02-12,12.95
2013-02-13,11.85
2013-02-14,11.15
2013-02-26,12.0
2013-02-27,12.0
2013-03-04,10.8
2013-03-05,10.3
2013-03-06,10.8
2013-03-07,11.05
2013-03-08,11.5
2013-03-11,10.35
2013-03-13,10.0
2013-03-14,10.25
2013-03-15,10.0
2013-03-20,10.0
2013-03-22,9.7
2013-03-25,9.0
2013-04-01,9.0
2013-04-02,9.0
2013-04-04,9.9
2013-05-21,9.95
2013-07-01,9.5
2013-07-12,9.05
2013-08-08,8.6
2013-08-19,8.2
2013-09-02,7.8
2013-09-16,7.45
2013-09-17,7.1
2013-09-18,7.1
2013-09-19,6.75
2013-10-04,6.45
2013-10-08,6.7
2013-10-17,7.0
2013-10-18,6.65
2013-10-24,6.9
2013-10-25,7.0
2013-10-28,7.0
2013-10-29,7.0
2013-10-30,6.8
2013-11-06,7.0
2013-11-12,6.85
2013-11-14,6.75
2013-11-20,6.6
2013-12-10,6.8
2013-12-26,7.0
2014-01-03,7.0
2014-01-06,7.35
2014-01-07,7.1
2014-01-08,7.0
2014-01-09,7.35
2014-01-10,7.6
2014-01-13,7.95
2014-01-14,8.25
2014-01-16,7.85
2014-01-20,7.6
2014-01-22,7.3
2014-01-27,7.3
2014-01-28,7.15
2014-01-29,7.15
2014-01-30,7.0
2014-02-04,7.0
2014-02-05,6.9
2014-02-18,6.9
2014-03-04,7.2
2014-03-05,7.0
2014-03-06,7.35
2014-03-07,7.2
2014-03-11,7.5
2014-03-12,7.05
2014-03-13,7.05
2014-03-22,7.05
2014-03-25,7.3
2014-03-31,7.35
2014-04-01,8.0
2014-04-02,7.75
2014-04-22,7.55
2014-04-23,8.25
2014-04-25,9.0
2014-04-28,9.0
2014-05-05,8.95
2014-05-08,8.55
2014-05-12,8.15
2014-05-13,8.4
2014-05-14,8.7
2014-05-15,8.45
2014-05-16,8.1
2014-05-19,7.9
2014-05-20,7.7
2014-05-21,8.05
2014-05-22,8.45
2014-05-26,8.85
2014-05-29,9.25
2014-05-30,9.7
2014-06-02,10.15
2014-06-03,10.65
2014-06-05,11.15
2014-06-10,11.7
2014-06-11,11.65
2014-06-30,13.0
2014-07-01,12.55
2014-07-02,12.0
2014-07-08,12.0
2014-07-09,12.6
2014-07-10,12.4
2014-07-14,12.7
2014-07-16,13.3
2014-07-17,13.8
2014-07-18,13.95
2014-07-22,14.6
2014-07-23,14.55
2014-07-24,15.2
2014-07-25,15.75
2014-07-28,15.95
2014-07-30,15.2
2014-08-04,14.45
2014-08-05,13.75
2014-09-09,12.5
2014-09-11,13.0
2014-09-12,12.9
2014-09-15,12.35
2014-09-16,11.9
2014-09-17,11.35
2014-09-18,11.25
2014-09-19,11.65
2014-09-22,11.15
2014-09-24,11.7
2014-09-25,11.15
2014-09-26,10.9
2014-09-30,11.1
2014-10-09,10.55
2014-10-10,10.65
2014-10-14,11.15
2014-10-16,11.35
2014-10-17,10.4
2014-10-20,10.3
2014-10-22,11.3
2014-10-28,11.95
2014-10-31,11.0
2014-11-03,11.0
2014-11-05,11.45
2014-11-10,10.95
2014-11-14,11.0
2014-11-17,11.4
2014-11-19,10.85
2014-11-24,10.85
2014-11-25,10.35
2014-11-27,9.85
2014-11-28,9.95
2014-12-02,9.75
2014-12-03,9.7
2014-12-04,9.75
2014-12-05,10.2
2014-12-08,10.65
2014-12-09,10.9
2014-12-10,10.9
2014-12-11,10.4
2014-12-29,9.9
2015-01-01,10.35
2015-01-06,10.3
2015-01-09,9.9
2015-01-13,10.6
2015-01-14,10.3
2015-01-15,10.25
2015-01-19,10.5
2015-01-21,10.95
2015-01-22,10.35
2015-01-23,9.9
2015-01-27,9.75
2015-01-29,10.45
2015-01-30,10.2
2015-02-02,9.85
2015-02-03,10.4
2015-02-09,10.4
2015-02-10,9.45
2015-02-11,10.35
2015-02-12,10.0
2015-02-13,10.3
2015-02-16,10.3
2015-02-18,9.45
2015-02-20,10.0
2015-02-23,10.0
2015-02-25,11.0
2015-02-26,11.0
2015-03-02,10.6
2015-03-04,11.5
2015-03-05,12.0
2015-03-09,12.65
2015-03-10,13.25
2015-03-11,12.65
2015-03-13,13.25
2015-03-16,12.6
2015-03-18,13.0
2015-03-23,12.75
2015-03-25,13.25
2015-03-31,13.5
2015-04-06,13.95
2015-04-13,13.8
2015-04-15,13.0
2015-04-17,12.6
2015-04-21,12.55
2015-04-22,12.0
2015-04-23,13.2
2015-04-24,13.4
2015-05-04,13.3
2015-05-19,12.65
2015-05-21,12.65
2015-05-22,12.05
