Date,HESTERBIO
2015-03-13,461.95
2015-03-16,419.45
2015-03-17,420.25
2015-03-18,444.05
2015-03-19,488.45
2015-03-20,475.15
2015-03-23,437.0
2015-03-24,426.2
2015-03-25,430.0
2015-03-26,418.75
2015-03-27,425.3
2015-03-30,434.25
2015-03-31,470.3
2015-04-01,485.55
2015-04-06,534.1
2015-04-07,560.8
2015-04-08,588.8
2015-04-09,618.2
2015-04-10,649.1
2015-04-13,681.55
2015-04-15,715.6
2015-04-16,698.4
2015-04-17,665.55
2015-04-20,634.8
2015-04-21,639.95
2015-04-22,639.85
2015-04-23,667.8
2015-04-24,652.55
2015-04-27,619.95
2015-04-28,600.5
2015-04-29,601.85
2015-04-30,590.0
2015-05-04,609.9
2015-05-05,587.15
2015-05-06,563.5
2015-05-07,573.2
2015-05-08,597.1
2015-05-11,590.95
2015-05-12,575.25
2015-05-13,578.0
2015-05-14,597.4
2015-05-15,593.7
2015-05-18,599.4
2015-05-19,587.25
2015-05-20,594.0
2015-05-21,587.9
2015-05-22,565.8
2015-05-25,558.8
2015-05-26,553.5
2015-05-27,555.0
2015-05-28,548.4
2015-05-29,600.0
2015-06-01,599.25
2015-06-02,582.25
2015-06-03,578.2
2015-06-04,571.8
2015-06-05,584.75
2015-06-08,565.5
2015-06-09,566.95
2015-06-10,561.0
2015-06-11,566.9
2015-06-12,547.75
2015-06-15,555.0
2015-06-16,558.4
2015-06-17,576.9
2015-06-18,589.5
2015-06-19,612.65
2015-06-22,629.6
2015-06-23,667.45
2015-06-24,655.1
2015-06-25,631.65
2015-06-26,623.45
2015-06-29,623.2
2015-06-30,622.55
2015-07-01,625.2
2015-07-02,640.25
2015-07-03,639.95
2015-07-06,706.8
2015-07-07,695.9
2015-07-08,703.5
2015-07-09,697.15
2015-07-10,710.9
2015-07-13,822.75
2015-07-14,811.3
2015-07-15,780.7
2015-07-16,803.1
2015-07-17,794.6
2015-07-20,790.75
2015-07-21,797.9
2015-07-22,755.4
2015-07-23,762.25
2015-07-24,751.8
2015-07-27,718.9
2015-07-28,718.05
