Date,SUMMITSEC
2013-01-01,91.65
2013-01-02,90.55
2013-01-03,91.3
2013-01-04,91.85
2013-01-07,90.0
2013-01-08,89.45
2013-01-09,90.75
2013-01-10,89.35
2013-01-11,86.45
2013-01-14,86.7
2013-01-15,86.85
2013-01-16,87.15
2013-01-17,85.4
2013-01-18,84.2
2013-01-21,83.95
2013-01-22,81.15
2013-01-23,82.8
2013-01-24,82.95
2013-01-25,80.0
2013-01-28,79.5
2013-01-29,77.75
2013-01-30,77.15
2013-01-31,76.75
2013-02-01,75.7
2013-02-04,70.15
2013-02-05,68.5
2013-02-06,69.2
2013-02-07,70.65
2013-02-08,68.5
2013-02-11,69.2
2013-02-12,69.0
2013-02-13,68.85
2013-02-14,67.0
2013-02-15,72.8
2013-02-18,68.95
2013-02-19,69.65
2013-02-20,68.4
2013-02-21,69.75
2013-02-22,70.4
2013-02-25,69.15
2013-02-26,67.5
2013-02-27,67.9
2013-02-28,66.15
2013-03-01,66.5
2013-03-04,63.55
2013-03-05,71.65
2013-03-06,72.0
2013-03-07,70.15
2013-03-08,72.3
2013-03-11,70.3
2013-03-12,68.5
2013-03-13,68.0
2013-03-14,67.35
2013-03-15,70.15
2013-03-18,67.65
2013-03-19,66.75
2013-03-20,64.6
2013-03-21,65.65
2013-03-22,65.9
2013-03-25,64.45
2013-03-26,66.55
2013-03-28,63.9
2013-04-01,66.85
2013-04-02,65.3
2013-04-03,65.1
2013-04-04,63.4
2013-04-05,68.8
2013-04-08,68.6
2013-04-09,62.55
2013-04-10,60.6
2013-04-11,63.55
2013-04-12,60.0
2013-04-17,55.6
2013-04-18,64.45
2013-04-22,65.0
2013-04-23,69.9
2013-04-25,67.95
2013-04-26,63.0
2013-04-29,55.55
2013-04-30,59.8
2013-05-02,60.0
2013-05-03,51.1
2013-05-06,56.55
2013-05-07,53.0
2013-05-08,55.5
2013-05-09,62.95
2013-05-10,57.0
2013-05-11,56.4
2013-05-13,54.45
2013-05-14,64.95
2013-05-15,54.25
2013-05-16,55.4
2013-05-17,56.1
2013-05-20,57.25
2013-05-21,58.0
2013-05-22,57.1
2013-05-23,55.25
2013-05-27,53.05
2013-05-28,55.95
2013-05-29,54.0
2013-05-30,53.0
2013-05-31,52.05
2013-06-03,50.0
2013-06-04,53.0
2013-06-06,51.05
2013-06-07,51.5
2013-06-10,43.0
2013-06-11,51.6
2013-06-12,51.6
2013-06-13,48.0
2013-06-14,45.0
2013-06-17,44.1
2013-06-18,45.05
2013-06-19,52.0
2013-06-20,45.25
2013-06-21,51.8
2013-06-24,42.0
2013-06-25,45.0
2013-06-26,44.05
2013-06-27,42.55
2013-06-28,41.0
2013-07-01,49.2
2013-07-02,55.0
2013-07-03,53.05
2013-07-04,55.0
2013-07-05,58.0
2013-07-08,60.0
2013-07-09,63.0
2013-07-10,63.0
2013-07-11,63.0
2013-07-12,64.95
2013-07-15,65.0
2013-07-16,65.0
2013-07-17,65.0
2013-07-18,65.0
2013-07-19,59.05
2013-07-22,54.05
2013-07-23,53.55
2013-07-24,52.05
2013-07-25,57.25
2013-07-26,58.1
2013-07-29,57.05
2013-07-30,56.0
2013-07-31,51.0
2013-08-01,54.1
2013-08-02,50.05
2013-08-05,50.0
2013-08-06,54.0
2013-08-07,50.35
2013-08-08,50.0
2013-08-12,46.0
2013-08-13,48.3
2013-08-14,49.0
2013-08-16,49.0
2013-08-19,47.5
2013-08-20,46.55
2013-08-21,45.5
2013-08-22,45.55
2013-08-23,45.25
2013-08-27,46.95
2013-08-28,45.0
2013-08-29,45.25
2013-08-30,46.7
2013-09-02,45.5
2013-09-03,44.55
2013-09-04,45.25
2013-09-05,44.55
2013-09-06,45.9
2013-09-10,44.5
2013-09-11,48.0
2013-09-12,49.6
2013-09-13,53.0
2013-09-16,48.05
2013-09-17,47.0
2013-09-18,48.5
2013-09-19,47.5
2013-09-20,45.55
2013-09-23,45.1
2013-09-24,49.6
2013-09-25,48.0
2013-09-26,47.3
2013-09-30,45.0
2013-10-01,49.0
2013-10-03,46.15
2013-10-04,50.75
2013-10-07,55.0
2013-10-08,60.45
2013-10-09,63.45
2013-10-10,60.35
2013-10-11,58.05
2013-10-14,56.0
2013-10-15,56.05
2013-10-17,58.85
2013-10-18,61.7
2013-10-21,60.0
2013-10-22,60.05
2013-10-23,63.0
2013-10-24,61.0
2013-10-25,62.0
2013-10-28,59.0
2013-10-29,61.0
2013-10-30,58.0
2013-10-31,60.9
2013-11-01,61.55
2013-11-03,63.1
2013-11-05,66.25
2013-11-06,69.2
2013-11-07,75.0
2013-11-08,77.0
2013-11-11,80.0
2013-11-12,81.5
2013-11-13,81.0
2013-11-14,81.0
2013-11-18,77.05
2013-11-19,76.0
2013-11-20,79.8
2013-11-21,80.95
2013-11-22,78.05
2013-11-25,80.0
2013-11-26,80.0
2013-11-27,80.0
2013-11-28,81.0
2013-11-29,83.0
2013-12-02,82.0
2013-12-03,80.3
2013-12-04,81.1
2013-12-05,82.0
2013-12-06,83.0
2013-12-09,80.5
