Date,SUNCLAYLTD
2013-01-01,351.3
2013-01-02,351.85
2013-01-03,346.15
2013-01-04,371.25
2013-01-07,369.55
2013-01-08,374.9
2013-01-09,374.75
2013-01-10,374.35
2013-01-11,377.75
2013-01-14,388.35
2013-01-15,384.4
2013-01-16,388.15
2013-01-17,391.15
2013-01-18,399.45
2013-01-21,400.4
2013-01-22,385.75
2013-01-23,382.65
2013-01-24,373.9
2013-01-25,372.9
2013-01-28,365.2
2013-01-29,365.0
2013-01-30,362.1
2013-01-31,369.9
2013-02-01,372.3
2013-02-04,365.85
2013-02-05,361.95
2013-02-06,356.1
2013-02-07,356.15
2013-02-08,344.15
2013-02-11,339.75
2013-02-12,345.0
2013-02-13,328.0
2013-02-14,323.0
2013-02-15,319.25
2013-02-18,327.0
2013-02-19,337.95
2013-02-20,332.95
2013-02-21,335.05
2013-02-22,339.55
2013-02-25,332.7
2013-02-26,324.0
2013-02-27,323.65
2013-02-28,311.0
2013-03-01,322.7
2013-03-04,313.75
2013-03-05,325.2
2013-03-06,333.5
2013-03-07,326.6
2013-03-08,328.05
2013-03-11,323.4
2013-03-12,316.85
2013-03-13,313.05
2013-03-14,323.35
2013-03-15,311.75
2013-03-18,320.6
2013-03-19,315.8
2013-03-20,314.65
2013-03-21,312.9
2013-03-22,315.9
2013-03-25,317.8
2013-03-26,320.5
2013-03-28,351.15
2013-04-01,335.8
2013-04-02,330.35
2013-04-03,336.45
2013-04-04,328.85
2013-04-05,324.25
2013-04-08,349.85
2013-04-09,333.75
2013-04-10,335.35
2013-04-11,332.6
2013-04-12,329.45
2013-04-16,341.65
2013-04-17,332.3
2013-04-18,329.8
2013-04-22,333.7
2013-04-23,342.55
2013-04-25,338.9
2013-04-26,336.45
2013-04-29,336.75
2013-04-30,335.0
2013-05-02,333.0
2013-05-03,335.0
2013-05-06,331.9
2013-05-07,334.85
2013-05-08,338.55
2013-05-09,345.9
2013-05-10,339.2
2013-05-11,348.45
2013-05-13,332.95
2013-05-14,330.5
2013-05-15,327.75
2013-05-16,320.05
2013-05-17,317.6
2013-05-20,322.3
2013-05-21,318.0
2013-05-22,317.2
2013-05-23,312.2
2013-05-24,315.35
2013-05-27,316.1
2013-05-28,315.05
2013-05-29,316.85
2013-05-30,314.0
2013-05-31,305.2
2013-06-03,310.35
2013-06-04,304.3
2013-06-05,301.35
2013-06-06,301.5
2013-06-07,299.85
2013-06-10,295.05
2013-06-11,291.8
2013-06-12,290.05
2013-06-13,290.0
2013-06-14,295.85
2013-06-17,288.2
2013-06-18,288.55
2013-06-19,284.15
2013-06-20,285.0
2013-06-21,296.6
2013-06-24,280.95
2013-06-25,287.95
2013-06-26,291.9
2013-06-27,294.2
2013-06-28,323.0
2013-07-01,318.9
2013-07-02,308.05
2013-07-03,304.25
2013-07-04,302.0
2013-07-05,312.4
2013-07-08,304.8
2013-07-09,304.75
2013-07-10,307.9
2013-07-11,306.75
2013-07-12,314.3
2013-07-15,301.35
2013-07-16,301.25
2013-07-17,304.15
2013-07-18,297.1
2013-07-19,295.0
2013-07-22,292.65
2013-07-23,300.7
2013-07-24,295.0
2013-07-25,296.8
2013-07-26,292.0
2013-07-29,286.15
2013-07-30,277.35
2013-07-31,288.1
2013-08-01,275.3
2013-08-02,293.25
2013-08-05,288.75
2013-08-06,286.3
2013-08-07,284.0
2013-08-08,301.25
2013-08-12,274.5
2013-08-13,288.7
2013-08-14,305.5
2013-08-16,292.2
2013-08-19,298.55
2013-08-20,297.8
2013-08-21,293.4
2013-08-22,296.2
2013-08-23,294.75
2013-08-26,295.5
2013-08-27,287.25
2013-08-28,281.3
2013-08-29,285.85
2013-08-30,291.35
2013-09-02,288.25
2013-09-03,278.55
2013-09-04,289.2
2013-09-05,290.35
2013-09-06,289.4
2013-09-10,292.8
2013-09-11,292.95
2013-09-12,304.6
2013-09-13,300.3
